subject,PTE
3001,.5713575
3004,.9191796
3008,.5713575
3009,.9191796
3010,.9191796
3011,1.085069
3014,.9191796
3015,.8134173
4003,1.085069
4006,.8134173
4010,1.085069
4011,1.085069
4013,.5713575
4016,1.085069
4022,.8134173
4024,1.085069
11006,1.085069
11008,1.085069
11009,1.085069
11010,1.085069
11012,.5713575
11016,.9191796
11022,1.085069
11032,1.085069
11034,.9191796
12001,.8134173
12002,.9191796
12014,.8134173
12029,.8134173
12036,.9191796
12037,1.085069
12041,.9191796
12054,.5713575
13001,.5713575
13003,1.085069
13004,1.085069
13007,.9191796
13010,1.085069
13012,1.085069
13013,1.085069
13019,1.085069
15005,.5713575
15012,.9191796
15016,.8134173
15023,1.085069
15024,.9191796
15026,.8134173
15027,.5713575
15030,1.085069
23003,.8134173
23007,.9191796
23016,.5713575
23027,1.085069
23031,.9191796
23035,1.085069
23036,.5713575
23039,.8134173
27001,.9191796
27003,1.085069
27006,.5713575
27009,.5713575
27011,1.085069
27029,.5713575
27030,.9191796
27039,1.085069
31001,1.085069
31002,1.085069
31003,.5713575
31004,1.085069
31005,.9191796
31009,1.085069
31012,1.085069
31014,.8134173
36002,1.085069
36011,1.085069
36013,1.085069
36018,1.085069
36021,1.085069
36040,1.085069
36046,1.085069
36053,.9191796
38001,.5713575
38002,1.085069
38003,1.085069
38005,1.085069
38006,.8134173
38007,.9191796
38010,.5713575
38013,1.085069
39004,.5713575
39006,.8134173
39007,.9191796
39011,1.085069
39012,.9191796
39013,.9191796
39018,.8134173
39023,1.085069
40001,.8134173
40003,.9191796
40004,.9191796
40005,.8134173
40006,.9191796
40008,.9191796
40009,.9191796
40011,.5713575
42001,1.085069
42007,1.085069
42008,.9191796
42010,.5713575
42011,.8134173
42012,.9191796
42013,.9191796
42018,.9191796
42025,.8134173
44003,1.085069
44006,.8134173
44007,.5713575
44008,.9191796
44013,.5713575
44019,.8134173
44027,.5713575
44028,.5713575
45001,.9191796
45002,.5713575
45009,.9191796
45010,.8134173
45011,.8134173
45012,.8134173
45016,.5713575
45019,.8134173
51002,1.085069
51006,1.085069
51009,.5713575
51011,.9191796
51022,.9191796
51027,.5713575
51030,.8134173
57001,.5713575
57003,.9191796
57004,.5713575
57005,1.085069
57006,.5713575
57007,.9191796
57008,1.085069
57009,.5713575
57010,.9191796
66001,.8134173
66002,.9191796
66003,.9191796
66004,1.085069
66006,.8134173
66009,.9191796
66010,.5713575
74003,.9191796
74007,.5713575
74008,.8134173
74013,.8134173
74015,.8134173
74016,.5713575
74019,.5713575
74026,.5713575
95002,.5713575
95003,.5713575
95008,.5713575
95020,.5713575
95025,1.085069
95028,.8134173
95030,.8134173
95032,.8134173
98006,.5713575
98008,.9191796
98009,.8134173
98010,.9191796
98011,.9191796
98017,.8134173
98018,.5713575
98026,.9191796
99002,.5713575
99003,.5713575
99004,.8134173
99007,.5713575
99009,.9191796
99011,.9191796
99012,.5713575
99013,.8134173
100001,.9191796
100003,1.085069
100006,.5713575
100007,.8134173
100011,.5713575
100016,.8134173
100017,.8134173
102002,.9191796
102003,.9191796
102005,.5713575
102007,1.085069
102013,1.085069
102016,1.085069
102017,.5713575
102018,1.085069
103002,.9191796
103003,.9191796
103007,.5713575
103010,.8134173
103012,1.085069
103013,.5713575
103016,.8134173
103022,1.085069
109001,.9191796
109005,.9191796
109006,.9191796
109007,.9191796
109011,.9191796
109014,.9191796
109018,.9191796
109025,.8134173
111001,.5713575
111002,1.085069
111004,.5713575
111006,.5713575
111009,.8134173
111011,1.085069
111012,.5713575
111016,.8134173
112006,.5713575
112009,1.085069
112012,1.085069
112016,1.085069
112030,1.085069
112031,1.085069
112037,.5713575
112040,1.085069
114002,1.085069
114003,.5713575
114006,.9191796
114007,.5713575
114010,.8134173
114012,.9191796
114015,.9191796
114016,1.085069
117003,.8134173
117009,.5713575
117012,.5713575
117015,.5713575
117020,.8134173
117026,.8134173
117028,.8134173
117029,.8134173
121004,.5713575
121007,1.085069
121008,.5713575
121009,1.085069
121013,.5713575
121018,1.085069
