subject,PTE
3001,.5652338
3004,.9832904
3008,.5652338
3009,.9310333
3010,.9310333
3011,.9832904
3014,.9310333
3015,.8265192
4003,.9310333
4006,.5652338
4010,.9310333
4011,.9310333
4013,.5652338
4016,.9832904
4022,.5652338
4024,.8265192
11006,.9310333
11008,.8265192
11009,.9832904
11010,.9310333
11012,.5652338
11016,.8265192
11022,.8265192
11032,.9310333
11034,.8265192
12001,.8265192
12002,.9310333
12014,.8265192
12029,.8265192
12036,.9310333
12037,.9832904
12041,.9310333
12054,.5652338
13001,.5652338
13003,.8265192
13004,.9832904
13007,.5652338
13010,.9310333
13012,.9310333
13013,.9310333
13019,.9832904
15005,.5652338
15012,.9310333
15016,.8265192
15023,.9832904
15024,.8265192
15026,.8265192
15027,.5652338
15030,.9832904
23003,.8265192
23007,.9310333
23016,.5652338
23027,.9832904
23031,.9310333
23035,.9832904
23036,.5652338
23039,.8265192
27001,.8265192
27003,.9832904
27006,.5652338
27009,.5652338
27011,.9310333
27029,.5652338
27030,.9310333
27039,.9832904
31001,.9310333
31002,.9832904
31003,.5652338
31004,.9832904
31005,.8265192
31009,.9832904
31012,.9832904
31014,.8265192
36002,.9832904
36011,.8265192
36013,.8265192
36018,.9310333
36021,.9832904
36040,.9832904
36046,.9832904
36053,.8265192
38001,.5652338
38002,.9832904
38003,.9310333
38005,.9832904
38006,.8265192
38007,.8265192
38010,.5652338
38013,.9310333
39004,.5652338
39006,.8265192
39007,.9310333
39011,.9832904
39012,.9310333
39013,.9310333
39018,.8265192
39023,.9832904
40001,.8265192
40003,.9832904
40004,.9310333
40005,.8265192
40006,.9310333
40008,.9832904
40009,.9310333
40011,.5652338
42001,.9832904
42007,.9832904
42008,.9310333
42010,.5652338
42011,.8265192
42012,.9310333
42013,.9310333
42018,.9310333
42025,.8265192
44003,.9832904
44006,.5652338
44007,.5652338
44008,.9310333
44013,.5652338
44019,.8265192
44027,.5652338
44028,.5652338
45001,.9832904
45002,.5652338
45009,.9832904
45010,.9310333
45011,.9310333
45012,.9310333
45016,.5652338
45019,.8265192
51002,.9832904
51006,.9832904
51009,.8265192
51011,.9832904
51022,.9832904
51027,.5652338
51030,.9310333
57001,.5652338
57003,.9310333
57004,.5652338
57005,.9832904
57006,.5652338
57007,.9310333
57008,.9832904
57009,.5652338
57010,.9310333
66001,.8265192
66002,.9310333
66003,.9310333
66004,.9832904
66006,.8265192
66009,.9310333
66010,.5652338
74003,.9832904
74007,.5652338
74008,.8265192
74013,.9310333
74015,.8265192
74016,.5652338
74019,.5652338
74026,.8265192
95002,.8265192
95003,.5652338
95008,.5652338
95020,.5652338
95025,.9832904
95028,.9310333
95030,.8265192
95032,.9310333
98006,.8265192
98008,.9832904
98009,.9310333
98010,.9832904
98011,.9832904
98017,.8265192
98018,.5652338
98026,.9832904
99002,.5652338
99003,.5652338
99004,.8265192
99007,.5652338
99009,.9310333
99011,.9310333
99012,.5652338
99013,.8265192
100001,.9832904
100003,.9832904
100006,.5652338
100007,.9310333
100011,.5652338
100016,.9310333
100017,.9310333
102002,.9310333
102003,.9310333
102005,.5652338
102007,.9832904
102013,.9310333
102016,.9832904
102017,.5652338
102018,.9310333
103002,.9832904
103003,.9832904
