subject,PTE
3001,.722005
3004,.9832904
3008,.5652338
3009,.9310333
3010,.8787763
3011,1.087805
3014,.8787763
3015,.7742621
4003,.9310333
4006,.5652338
4010,.9310333
4011,.8787763
4013,.5652338
4016,1.192319
4022,.5652338
4024,.8621392
11006,.8787763
11008,.8621392
11009,1.087805
11010,.9310333
11012,.5652338
11016,.8265192
11022,.8621392
11032,.8787763
11034,.8265192
12001,.8621392
12002,.9310333
12014,.7742621
12029,.8621392
12036,.9310333
12037,.9832904
12041,.9310333
12054,.722005
13001,.5652338
13003,.8621392
13004,.9832904
13007,.722005
13010,.8787763
13012,.9310333
13013,.8787763
13019,.9832904
15005,.5652338
15012,.8787763
15016,.7742621
15023,1.140062
15024,.8265192
15026,.7742621
15027,.5652338
15030,.9832904
23003,.7742621
23007,.9310333
23016,.722005
23027,1.140062
23031,.9310333
23035,1.140062
23036,.5652338
23039,.7742621
27001,.8621392
27003,.9832904
27006,.5652338
27009,.5652338
27011,.9310333
27029,.5652338
27030,.8787763
27039,1.192319
31001,.9310333
31002,.9832904
31003,.5652338
31004,1.192319
31005,.8621392
31009,1.192319
31012,1.192319
31014,.7742621
36002,1.140062
36011,.8621392
36013,.8621392
36018,.8787763
36021,.9832904
36040,.9832904
36046,.9832904
36053,.8265192
38001,.5652338
38002,1.087805
38003,.9310333
38005,.9832904
38006,.7742621
38007,.8265192
38010,.5652338
38013,.9310333
39004,.5652338
39006,.8621392
39007,.8787763
39011,.9832904
39012,.9310333
39013,.9310333
39018,.8265192
39023,1.035547
40001,.8265192
40003,.9832904
40004,.9310333
40005,.8265192
40006,.9310333
40008,.9832904
40009,.8787763
40011,.5652338
42001,1.192319
42007,1.192319
42008,.9310333
42010,.5652338
42011,.8621392
42012,.8787763
42013,.9310333
42018,.9310333
42025,.8621392
44003,.9832904
44006,.722005
44007,.5652338
44008,.8787763
44013,.5652338
44019,.7742621
44027,.5652338
44028,.5652338
45001,.9832904
45002,.6697479
45009,.9832904
45010,.9310333
45011,.9310333
45012,.8787763
45016,.5652338
45019,.8621392
51002,1.140062
51006,1.140062
51009,.7742621
51011,.9832904
51022,.9832904
51027,.5652338
51030,.9310333
57001,.5652338
57003,.9310333
57004,.5913624
57005,.9832904
57006,.5652338
57007,.8787763
57008,.9832904
57009,.5652338
57010,.8787763
66001,.8265192
66002,.9310333
66003,.9310333
66004,1.087805
66006,.7742621
66009,.8787763
66010,.722005
74003,.9832904
74007,.5652338
74008,.8265192
74013,.8787763
74015,.8621392
74016,.722005
74019,.5652338
74026,.7742621
95002,.7742621
95003,.6697479
95008,.6697479
95020,.5652338
95025,1.192319
95028,.9310333
95030,.8265192
95032,.9310333
98006,.7742621
98008,.9832904
98009,.8787763
98010,.9832904
98011,.9832904
98017,.8621392
98018,.722005
98026,1.035547
99002,.5652338
99003,.5652338
99004,.7742621
99007,.5652338
99009,.8787763
99011,.8787763
99012,.5652338
99013,.8621392
100001,.9832904
100003,1.140062
100006,.6697479
100007,.9310333
100011,.5652338
100016,.8787763
100017,.9310333
102002,.8787763
102003,.8787763
102005,.6697479
102007,.9832904
102013,.9310333
102016,.9832904
102017,.5652338
102018,.9310333
103002,.9832904
103003,.9832904
103007,.5652338
103010,.9310333
103012,1.140062
103013,.7742621
103016,.8621392
103022,1.087805
109001,.9310333
109005,.9832904
109006,.9832904
109007,.9832904
109011,.8787763
109014,.9832904
109018,.9832904
109025,.8265192
111001,.5652338
111002,.9832904
111004,.5652338
111006,.5652338
111009,.7742621
111011,.9832904
111012,.5652338
111016,.8621392
112006,.5652338
112009,.9832904
112012,.9832904
112016,.8621392
112030,.8787763
112031,.9310333
112037,.5652338
112040,.8787763
114002,1.192319
114003,.5652338
114006,.9310333
114007,.5652338
114010,.7742621
114012,.9310333
114015,.9310333
114016,1.087805
117003,.8621392
117009,.5652338
117012,.5652338
117015,.5652338
117020,.8787763
117026,.8787763
117028,.9310333
117029,.9310333
121004,.5652338
121007,.9832904
121008,.5652338
121009,.9832904
121013,.5652338
121018,.8787763
121021,.8787763
122001,.9310333
122003,.722005
122009,.5652338
122012,.8621392
122018,.5652338
122021,.5652338
122027,.8265192
122031,.722005
123001,1.296833
123005,.8787763
123006,.5652338
123008,1.087805
123015,.9832904
123025,.5652338
123026,.7742621
123028,.8265192
126001,1.192319
126003,1.087805
126006,.9310333
126008,.9832904
126009,.8265192
126010,1.087805
126011,.8621392
126014,1.087805
127004,.5652338
127006,.7742621
127007,.8787763
127008,.9310333
127012,.9310333
127018,.5652338
127020,.5652338
128001,.9310333
128003,1.296833
128007,.8621392
128008,.722005
128010,.9310333
128012,.9310333
128013,1.140062
128017,1.192319
132009,.7742621
132014,1.192319
132018,.8787763
132019,.6697479
132025,.9310333
132026,.8621392
132029,1.34909
132030,.8621392
132031,.7742621
134004,.5652338
134005,.9310333
134015,.5652338
134020,.5652338
134021,.5652338
134029,.7742621
134039,.5652338
134042,.5652338
137002,.9310333
137003,.8621392
137004,.7742621
137006,1.035547
137014,.722005
137017,.5652338
137021,.8787763
137025,.9310333
148004,.8787763
148005,1.087805
148009,.9310333
148011,.6697479
148012,.9832904
148013,1.035547
148019,.8787763
148034,.5652338
160001,.5652338
160003,.5652338
160005,.5652338
160008,.9310333
160017,.9832904
160018,.9832904
160021,.5652338
160027,.8265192
161003,.5652338
161018,.9310333
161022,.9310333
161025,.9310333
161040,.9310333
161049,.5652338
161052,.5652338
161055,.9832904
165007,.8265192
165010,.9310333
165013,.8787763
165015,.5652338
165021,.6174909
165022,.9310333
165023,.9832904
165041,.5652338
167003,.9832904
167004,.9310333
167009,.5652338
167013,.9832904
167014,.6697479
167015,.6174909
167020,.5652338
167021,.5652338
172001,.9832904
172008,.6174909
172012,.7742621
172017,.5652338
172018,.8787763
172019,.8787763
172022,.9310333
172031,.5652338
180001,.9832904
180002,1.192319
180003,.7742621
180004,.7742621
180006,.8621392
180007,.8787763
180009,.5652338
180012,.9310333
182001,.8787763
182005,.9832904
182006,.7742621
182008,.9832904
182025,1.192319
