subject,PTE
3001,.869597
3004,.869597
3008,.869597
3009,.869597
3010,.869597
3011,.869597
3014,.869597
3015,.869597
4003,.8651907
4006,.8651907
4010,.8651907
4011,.8651907
4013,.8651907
4016,.8651907
4022,.8651907
4024,.8651907
11006,.8651907
11008,.8651907
11009,.8651907
11010,.8651907
11012,.8651907
11016,.8651907
11022,.8651907
11032,.8651907
11034,.8651907
12001,.8693378
12002,.8693378
12014,.8693378
12029,.8693378
12036,.8693378
12037,.8693378
12041,.8693378
12054,.8693378
13001,.8651907
13003,.8651907
13004,.8651907
13007,.8651907
13010,.8651907
13012,.8651907
13013,.8651907
13019,.8651907
15005,.8693378
15012,.8693378
15016,.8693378
15023,.8693378
15024,.8693378
15026,.8693378
15027,.8693378
15030,.8693378
23003,.869597
23007,.869597
23016,.869597
23027,.869597
23031,.869597
23035,.869597
23036,.869597
23039,.869597
27001,.8651907
27003,.8651907
27006,.8651907
27009,.8651907
27011,.8651907
27029,.8651907
27030,.8651907
27039,.8651907
31001,.8651907
31002,.8651907
31003,.8651907
31004,.8651907
31005,.8651907
31009,.8651907
31012,.8651907
31014,.8651907
36002,.8651907
36011,.8651907
36013,.8651907
36018,.8651907
36021,.8651907
36040,.8651907
36046,.8651907
36053,.8651907
38001,.8693378
38002,.8693378
38003,.8693378
38005,.8693378
38006,.8693378
38007,.8693378
38010,.8693378
38013,.8693378
39004,.8693378
39006,.8693378
39007,.8693378
39011,.8693378
39012,.8693378
39013,.8693378
39018,.8693378
39023,.8693378
40001,.869597
40003,.869597
40004,.869597
40005,.869597
40006,.869597
40008,.869597
40009,.869597
40011,.869597
42001,.8693378
42007,.8693378
42008,.8693378
42010,.8693378
42011,.8693378
42012,.8693378
42013,.8693378
42018,.8693378
42025,.8693378
44003,.8693378
44006,.8693378
44007,.8693378
44008,.8693378
44013,.8693378
44019,.8693378
44027,.8693378
44028,.8693378
45001,.8714113
45002,.8714113
45009,.8714113
45010,.8714113
45011,.8714113
45012,.8714113
45016,.8714113
45019,.8714113
51002,.8714113
51006,.8714113
51009,.8714113
51011,.8714113
51022,.8714113
51027,.8714113
51030,.8714113
57001,.8693378
57003,.8693378
57004,.8693378
57005,.8693378
57006,.8693378
57007,.8693378
57008,.8693378
57009,.8693378
57010,.8693378
66001,.8693378
66002,.8693378
66003,.8693378
66004,.8693378
66006,.8693378
66009,.8693378
66010,.8693378
74003,.8714113
74007,.8714113
74008,.8714113
74013,.8714113
74015,.8714113
74016,.8714113
74019,.8714113
74026,.8714113
95002,.8714113
95003,.8714113
95008,.8714113
95020,.8714113
95025,.8714113
95028,.8714113
95030,.8714113
95032,.8714113
98006,.8714113
98008,.8714113
98009,.8714113
98010,.8714113
98011,.8714113
98017,.8714113
98018,.8714113
98026,.8714113
99002,.8693378
99003,.8693378
99004,.8693378
99007,.8693378
99009,.8693378
99011,.8693378
99012,.8693378
99013,.8693378
100001,.8714113
100003,.8714113
100006,.8714113
100007,.8714113
100011,.8714113
100016,.8714113
100017,.8714113
102002,.8693378
102003,.8693378
102005,.8693378
102007,.8693378
102013,.8693378
102016,.8693378
102017,.8693378
102018,.8693378
103002,.8714113
103003,.8714113
103007,.8714113
103010,.8714113
103012,.8714113
103013,.8714113
103016,.8714113
103022,.8714113
109001,.869597
109005,.869597
109006,.869597
109007,.869597
109011,.869597
109014,.869597
109018,.869597
109025,.869597
111001,.8693378
111002,.8693378
111004,.8693378
111006,.8693378
111009,.8693378
111011,.8693378
111012,.8693378
111016,.8693378
112006,.8651907
112009,.8651907
112012,.8651907
112016,.8651907
112030,.8651907
112031,.8651907
112037,.8651907
112040,.8651907
114002,.869597
114003,.869597
114006,.869597
114007,.869597
114010,.869597
114012,.869597
114015,.869597
114016,.869597
117003,.8714113
117009,.8714113
117012,.8714113
117015,.8714113
117020,.8714113
117026,.8714113
117028,.8714113
117029,.8714113
121004,.8651907
121007,.8651907
121008,.8651907
121009,.8651907
121013,.8651907
121018,.8651907
121021,.8651907
122001,.8693378
122003,.8693378
122009,.8693378
122012,.8693378
122018,.8693378
122021,.8693378
122027,.8693378
122031,.8693378
123001,.869597
123005,.869597
123006,.869597
123008,.869597
123015,.869597
123025,.869597
123026,.869597
123028,.869597
126001,.8693378
126003,.8693378
126006,.8693378
126008,.8693378
126009,.8693378
126010,.8693378
126011,.8693378
126014,.8693378
127004,.8714113
127006,.8714113
127007,.8714113
127008,.8714113
127012,.8714113
127018,.8714113
127020,.8714113
128001,.8714113
128003,.8714113
128007,.8714113
128008,.8714113
128010,.8714113
128012,.8714113
128013,.8714113
128017,.8714113
132009,.8693378
132014,.8693378
132018,.8693378
132019,.8693378
132025,.8693378
132026,.8693378
132029,.8693378
132030,.8693378
132031,.8693378
134004,.8714113
134005,.8714113
134015,.8714113
134020,.8714113
134021,.8714113
134029,.8714113
134039,.8714113
134042,.8714113
137002,.8714113
137003,.8714113
137004,.8714113
137006,.8714113
137014,.8714113
137017,.8714113
137021,.8714113
137025,.8714113
148004,.869597
148005,.869597
148009,.869597
148011,.869597
148012,.869597
148013,.869597
148019,.869597
148034,.869597
160001,.869597
160003,.869597
160005,.869597
160008,.869597
160017,.869597
160018,.869597
160021,.869597
160027,.869597
161003,.8714113
161018,.8714113
161022,.8714113
161025,.8714113
161040,.8714113
161049,.8714113
161052,.8714113
161055,.8714113
165007,.869597
165010,.869597
165013,.869597
165015,.869597
165021,.869597
165022,.869597
165023,.869597
165041,.869597
167003,.8651907
167004,.8651907
167009,.8651907
167013,.8651907
167014,.8651907
167015,.8651907
167020,.8651907
167021,.8651907
172001,.8693378
172008,.8693378
172012,.8693378
172017,.8693378
172018,.8693378
172019,.8693378
172022,.8693378
172031,.8693378
180001,.8693378
180002,.8693378
180003,.8693378
180004,.8693378
180006,.8693378
180007,.8693378
180009,.8693378
180012,.8693378
182001,.8714113
182005,.8714113
182006,.8714113
182008,.8714113
182025,.8714113
182028,.8714113
182030,.8714113
182047,.8714113
184003,.8714113
184019,.8714113
184021,.8714113
184024,.8714113
184025,.8714113
184035,.8714113
184040,.8714113
184049,.8714113
201001,.8651907
201004,.8651907
201005,.8651907
201006,.8651907
201008,.8651907
201009,.8651907
201011,.8651907
