subject,WTP
3001,-5.951129
3004,27.51986
3008,-5.951129
3009,-5.951129
3010,10.2457
3011,27.51986
3014,10.2457
3015,-5.951129
4003,10.2457
4006,1.113271
4010,10.2457
4011,10.2457
4013,1.113271
4016,10.2457
4022,-5.951129
4024,10.2457
11006,27.51986
11008,1.113271
11009,10.2457
11010,27.51986
11012,-5.951129
11016,-5.951129
11022,1.113271
11032,1.113271
11034,-5.951129
12001,10.2457
12002,27.51986
12014,-5.951129
12029,1.113271
12036,-5.951129
12037,10.2457
12041,-5.951129
12054,1.113271
13001,1.113271
13003,1.113271
13004,10.2457
13007,1.113271
13010,1.113271
13012,-5.951129
13013,1.113271
13019,1.113271
15005,-5.951129
15012,-5.951129
15016,1.113271
15023,1.113271
15024,-5.951129
15026,-5.951129
15027,-5.951129
15030,-5.951129
23003,27.51986
23007,10.2457
23016,-5.951129
23027,27.51986
23031,27.51986
23035,27.51986
23036,-5.951129
23039,1.113271
27001,1.113271
27003,27.51986
27006,10.2457
27009,-5.951129
27011,27.51986
27029,10.2457
27030,27.51986
27039,27.51986
31001,10.2457
31002,27.51986
31003,10.2457
31004,27.51986
31005,1.113271
31009,27.51986
31012,27.51986
31014,10.2457
36002,1.113271
36011,-5.951129
36013,1.113271
36018,10.2457
36021,1.113271
36040,1.113271
36046,10.2457
36053,-5.951129
38001,-5.951129
38002,10.2457
38003,10.2457
38005,10.2457
38006,27.51986
38007,1.113271
38010,-5.951129
38013,27.51986
39004,27.51986
39006,10.2457
39007,27.51986
39011,10.2457
39012,-5.951129
39013,27.51986
39018,27.51986
39023,27.51986
40001,-5.951129
40003,1.113271
40004,10.2457
40005,1.113271
40006,10.2457
40008,10.2457
40009,27.51986
40011,-5.951129
42001,27.51986
42007,27.51986
42008,-5.951129
42010,-5.951129
42011,10.2457
42012,10.2457
42013,1.113271
42018,-5.951129
42025,10.2457
44003,10.2457
44006,-5.951129
44007,1.113271
44008,-5.951129
44013,-5.951129
44019,27.51986
44027,10.2457
44028,-5.951129
45001,1.113271
45002,-5.951129
45009,27.51986
45010,-5.951129
45011,1.113271
45012,27.51986
45016,10.2457
45019,10.2457
51002,27.51986
51006,27.51986
51009,27.51986
51011,27.51986
51022,27.51986
51027,-5.951129
51030,1.113271
57001,-5.951129
57003,10.2457
57004,1.113271
57005,10.2457
57006,10.2457
57007,10.2457
57008,10.2457
57009,-5.951129
57010,27.51986
66001,1.113271
66002,-5.951129
66003,-5.951129
66004,27.51986
66006,10.2457
66009,10.2457
66010,1.113271
74003,27.51986
74007,1.113271
74008,10.2457
74013,10.2457
74015,10.2457
74016,27.51986
74019,1.113271
74026,27.51986
95002,-5.951129
95003,-5.951129
95008,-5.951129
95020,1.113271
95025,27.51986
95028,1.113271
95030,-5.951129
95032,1.113271
98006,27.51986
98008,1.113271
98009,1.113271
98010,1.113271
98011,27.51986
98017,10.2457
98018,10.2457
98026,10.2457
99002,-5.951129
99003,1.113271
99004,1.113271
99007,27.51986
99009,27.51986
99011,10.2457
99012,-5.951129
99013,10.2457
100001,27.51986
100003,27.51986
100006,1.113271
100007,-5.951129
100011,-5.951129
100016,1.113271
100017,1.113271
102002,-5.951129
102003,10.2457
102005,-5.951129
102007,27.51986
102013,10.2457
102016,-5.951129
102017,-5.951129
102018,27.51986
103002,27.51986
103003,1.113271
103007,1.113271
103010,-5.951129
103012,10.2457
103013,27.51986
103016,10.2457
103022,-5.951129
109001,27.51986
109005,27.51986
109006,27.51986
109007,27.51986
109011,10.2457
109014,10.2457
109018,10.2457
109025,-5.951129
111001,1.113271
111002,27.51986
111004,27.51986
111006,10.2457
111009,-5.951129
111011,10.2457
111012,1.113271
111016,10.2457
112006,10.2457
112009,27.51986
112012,10.2457
112016,1.113271
112030,10.2457
112031,10.2457
112037,10.2457
112040,27.51986
114002,27.51986
114003,-5.951129
114006,10.2457
114007,-5.951129
114010,10.2457
114012,1.113271
114015,27.51986
114016,10.2457
117003,10.2457
117009,1.113271
117012,-5.951129
117015,-5.951129
117020,1.113271
117026,27.51986
117028,-5.951129
117029,-5.951129
121004,10.2457
121007,27.51986
121008,10.2457
121009,1.113271
121013,10.2457
121018,1.113271
121021,10.2457
122001,-5.951129
122003,10.2457
122009,1.113271
122012,10.2457
122018,1.113271
122021,27.51986
122027,27.51986
122031,1.113271
123001,10.2457
123005,1.113271
123006,-5.951129
123008,27.51986
123015,10.2457
123025,-5.951129
123026,-5.951129
123028,1.113271
126001,1.113271
126003,27.51986
126006,-5.951129
126008,1.113271
126009,1.113271
126010,-5.951129
126011,10.2457
126014,10.2457
127004,1.113271
127006,27.51986
127007,1.113271
127008,1.113271
127012,1.113271
127018,1.113271
127020,1.113271
128001,-5.951129
128003,10.2457
128007,10.2457
128008,10.2457
128010,1.113271
128012,-5.951129
128013,27.51986
128017,27.51986
132009,-5.951129
132014,1.113271
132018,27.51986
132019,27.51986
132025,27.51986
132026,10.2457
132029,10.2457
132030,10.2457
132031,-5.951129
134004,-5.951129
134005,27.51986
134015,1.113271
134020,-5.951129
134021,-5.951129
134029,27.51986
134039,1.113271
134042,-5.951129
137002,1.113271
137003,10.2457
137004,27.51986
137006,10.2457
137014,10.2457
137017,-5.951129
137021,1.113271
137025,1.113271
148004,27.51986
148005,27.51986
148009,10.2457
148011,1.113271
148012,27.51986
148013,27.51986
148019,10.2457
148034,-5.951129
160001,-5.951129
160003,-5.951129
160005,-5.951129
160008,-5.951129
160017,27.51986
160018,10.2457
160021,-5.951129
160027,27.51986
161003,-5.951129
161018,-5.951129
161022,1.113271
161025,-5.951129
161040,27.51986
161049,10.2457
161052,10.2457
161055,1.113271
165007,1.113271
165010,10.2457
165013,1.113271
165015,-5.951129
165021,-5.951129
165022,-5.951129
165023,27.51986
165041,-5.951129
167003,10.2457
167004,27.51986
167009,10.2457
167013,10.2457
167014,1.113271
167015,-5.951129
167020,10.2457
167021,10.2457
172001,27.51986
172008,-5.951129
172012,10.2457
172017,-5.951129
172018,1.113271
172019,1.113271
172022,1.113271
172031,27.51986
180001,27.51986
180002,27.51986
180003,1.113271
180004,10.2457
180006,10.2457
180007,1.113271
180009,10.2457
180012,-5.951129
182001,1.113271
182005,27.51986
182006,27.51986
182008,1.113271
182025,27.51986
182028,27.51986
182030,-5.951129
182047,27.51986
184003,10.2457
184019,27.51986
184021,1.113271
184024,1.113271
184025,10.2457
184035,10.2457
184040,10.2457
184049,1.113271
201001,1.113271
201004,10.2457
201005,1.113271
201006,27.51986
201008,1.113271
201009,27.51986
201011,27.51986
201012,27.51986
215002,27.51986
215005,-5.951129
215006,-5.951129
215008,1.113271
215015,10.2457
215017,10.2457
215018,27.51986
215025,10.2457
217001,-5.951129
217003,1.113271
217006,1.113271
217012,-5.951129
217015,1.113271
217016,-5.951129
217019,10.2457
217023,-5.951129
219012,27.51986
219022,1.113271
219024,1.113271
219033,27.51986
219038,-5.951129
219046,10.2457
219048,1.113271
219054,-5.951129
220002,-5.951129
220010,-5.951129
220013,1.113271
220019,27.51986
220022,27.51986
220023,27.51986
220029,-5.951129
220031,27.51986
227008,10.2457
227013,10.2457
227016,27.51986
227017,1.113271
227019,-5.951129
227026,10.2457
227031,1.113271
227035,10.2457
229004,1.113271
229008,10.2457
229012,-5.951129
229024,10.2457
229025,27.51986
229027,-5.951129
229031,10.2457
229032,1.113271
231002,1.113271
231006,27.51986
231011,27.51986
231013,-5.951129
231032,1.113271
231035,1.113271
231036,27.51986
231037,1.113271
232010,10.2457
232011,1.113271
232013,10.2457
232017,10.2457
232036,27.51986
232041,10.2457
232049,-5.951129
232057,27.51986
243001,27.51986
243002,-5.951129
243003,10.2457
243008,10.2457
243011,1.113271
243015,-5.951129
243016,10.2457
243022,1.113271
249001,-5.951129
249002,27.51986
249003,1.113271
249004,-5.951129
249005,10.2457
249007,27.51986
249008,10.2457
249009,10.2457
253002,10.2457
253003,27.51986
253004,-5.951129
253007,-5.951129
253015,10.2457
253017,10.2457
253021,27.51986
253028,27.51986
286005,27.51986
286007,1.113271
286015,-5.951129
286026,27.51986
286028,1.113271
286029,10.2457
286034,-5.951129
286041,-5.951129
286044,-5.951129
287001,1.113271
287005,27.51986
287006,-5.951129
287013,27.51986
287014,1.113271
287017,27.51986
287023,-5.951129
287026,-5.951129
294005,27.51986
294011,27.51986
294013,27.51986
294018,10.2457
294019,27.51986
294022,10.2457
294048,10.2457
294051,-5.951129
299014,1.113271
299016,27.51986
299017,-5.951129
299033,27.51986
299045,-5.951129
299047,10.2457
299048,27.51986
299058,27.51986
500011,27.51986
500012,27.51986
500016,-5.951129
500018,10.2457
500019,10.2457
500022,1.113271
500023,-5.951129
500024,-5.951129
502003,27.51986
502004,27.51986
502006,27.51986
502011,-5.951129
502012,-5.951129
502013,27.51986
502015,-5.951129
502033,1.113271
508002,27.51986
508004,27.51986
508007,-5.951129
508008,-5.951129
508011,27.51986
508013,10.2457
508017,1.113271
508027,27.51986
510007,10.2457
510010,10.2457
510011,10.2457
510012,10.2457
510023,27.51986
510025,10.2457
510026,10.2457
510029,1.113271
513001,1.113271
513003,1.113271
513005,27.51986
513007,10.2457
513014,-5.951129
513017,-5.951129
513019,1.113271
513021,10.2457
516009,1.113271
516011,-5.951129
516014,1.113271
516015,27.51986
516018,27.51986
516020,-5.951129
516023,27.51986
516026,27.51986
517005,27.51986
517010,-5.951129
517013,27.51986
517024,27.51986
517038,-5.951129
517041,-5.951129
517044,10.2457
517047,1.113271
519006,-5.951129
519008,27.51986
519009,1.113271
519013,10.2457
519022,10.2457
519027,10.2457
519035,-5.951129
519038,-5.951129
524002,1.113271
524004,10.2457
524005,27.51986
524008,-5.951129
524010,-5.951129
524011,-5.951129
524014,1.113271
524023,27.51986
526001,-5.951129
526002,-5.951129
526011,27.51986
526021,-5.951129
526022,-5.951129
526023,1.113271
526025,27.51986
526035,10.2457
529001,1.113271
529006,-5.951129
529010,10.2457
529011,27.51986
529016,-5.951129
529020,1.113271
529023,-5.951129
529024,27.51986
531002,10.2457
531005,27.51986
531013,10.2457
531020,-5.951129
531026,27.51986
531029,1.113271
531032,1.113271
532002,1.113271
532009,27.51986
532010,10.2457
532011,1.113271
532017,1.113271
532020,27.51986
532024,10.2457
537001,27.51986
537005,-5.951129
537006,27.51986
537007,27.51986
537009,10.2457
537012,-5.951129
537019,27.51986
537026,1.113271
538002,1.113271
538008,27.51986
538010,-5.951129
538020,10.2457
538022,1.113271
538023,27.51986
538032,27.51986
538038,10.2457
550001,-5.951129
550002,1.113271
550006,10.2457
550007,1.113271
550011,1.113271
550013,1.113271
550014,27.51986
550015,27.51986
552001,-5.951129
552002,27.51986
552005,27.51986
552008,1.113271
552022,27.51986
552035,27.51986
552040,-5.951129
552043,27.51986
554008,10.2457
554010,1.113271
554011,27.51986
554017,27.51986
554018,27.51986
554020,-5.951129
554027,-5.951129
554028,27.51986
557001,1.113271
557002,27.51986
557003,10.2457
557005,27.51986
557006,1.113271
557010,1.113271
557011,10.2457
557014,27.51986
566005,1.113271
566006,27.51986
566009,27.51986
566010,-5.951129
566015,-5.951129
566021,10.2457
566023,1.113271
566031,27.51986
569001,1.113271
569002,10.2457
569003,10.2457
569004,-5.951129
569006,-5.951129
569007,10.2457
569008,-5.951129
569010,27.51986
570006,1.113271
570007,-5.951129
570008,27.51986
570017,10.2457
570019,-5.951129
570034,27.51986
570041,27.51986
603002,10.2457
603008,-5.951129
603009,1.113271
603012,10.2457
603013,27.51986
603015,-5.951129
603020,10.2457
603022,27.51986
631022,-5.951129
631024,27.51986
631029,-5.951129
631032,10.2457
631034,1.113271
631037,27.51986
631038,10.2457
631045,1.113271
633001,10.2457
633004,1.113271
633005,-5.951129
633007,-5.951129
633009,27.51986
633010,27.51986
633014,27.51986
633019,27.51986
634001,1.113271
634002,27.51986
634003,10.2457
634004,-5.951129
634005,1.113271
634010,1.113271
634014,10.2457
634017,-5.951129
659001,-5.951129
659002,-5.951129
659005,-5.951129
659012,10.2457
659014,1.113271
659021,27.51986
659022,-5.951129
659026,27.51986
662001,-5.951129
662004,-5.951129
662007,10.2457
662009,-5.951129
662021,-5.951129
662030,-5.951129
662039,-5.951129
662040,-5.951129
702005,27.51986
702006,27.51986
702007,1.113271
702008,1.113271
702011,1.113271
702019,10.2457
702026,27.51986
702035,1.113271
704002,10.2457
704008,10.2457
704009,1.113271
704013,-5.951129
704014,1.113271
704015,27.51986
704016,10.2457
704021,1.113271
718001,27.51986
718002,1.113271
718003,27.51986
718005,1.113271
718006,1.113271
718007,1.113271
718010,10.2457
718011,10.2457
720004,-5.951129
720005,-5.951129
720007,1.113271
720009,27.51986
720011,1.113271
720014,27.51986
720025,27.51986
720029,27.51986
740002,10.2457
740003,27.51986
740006,10.2457
740007,1.113271
740008,10.2457
740010,27.51986
740011,-5.951129
740016,1.113271
741001,-5.951129
741002,1.113271
741004,10.2457
741007,10.2457
741010,-5.951129
741011,27.51986
741013,27.51986
742001,10.2457
742003,27.51986
742008,1.113271
742010,10.2457
742011,1.113271
742014,-5.951129
742015,10.2457
742017,1.113271
743001,1.113271
743002,-5.951129
743003,1.113271
743004,1.113271
743005,27.51986
743006,10.2457
743008,1.113271
743009,10.2457
744001,-5.951129
744002,-5.951129
744003,10.2457
744004,-5.951129
744006,1.113271
744007,-5.951129
744008,27.51986
744009,27.51986
746001,27.51986
746002,10.2457
746003,10.2457
746005,10.2457
746006,27.51986
746008,1.113271
746012,1.113271
746013,27.51986
747001,1.113271
747002,10.2457
747003,-5.951129
747004,10.2457
747005,10.2457
747008,27.51986
747012,1.113271
747014,27.51986
752003,1.113271
752011,-5.951129
752012,27.51986
752015,1.113271
752017,1.113271
752021,-5.951129
752024,10.2457
752025,-5.951129
753001,10.2457
753004,1.113271
753005,-5.951129
753007,1.113271
753008,-5.951129
753012,10.2457
753014,27.51986
753016,-5.951129
756001,10.2457
756002,1.113271
756007,10.2457
756014,10.2457
756015,-5.951129
756016,10.2457
756018,-5.951129
756019,10.2457
764001,27.51986
764003,27.51986
764006,-5.951129
764016,-5.951129
764023,1.113271
764027,1.113271
764029,1.113271
764032,-5.951129
767001,1.113271
767002,-5.951129
767003,27.51986
767005,10.2457
767006,1.113271
767011,10.2457
767012,27.51986
768001,27.51986
768002,1.113271
768005,10.2457
768007,27.51986
768009,-5.951129
768015,-5.951129
768018,1.113271
768022,-5.951129
769001,27.51986
769002,10.2457
769004,-5.951129
769005,10.2457
769010,27.51986
769011,1.113271
769017,10.2457
769018,1.113271
770004,1.113271
770005,1.113271
770006,-5.951129
770009,10.2457
770011,-5.951129
770012,10.2457
770015,1.113271
770023,-5.951129
771001,27.51986
771003,10.2457
771006,10.2457
771007,1.113271
771008,27.51986
771009,27.51986
771010,27.51986
771011,-5.951129
773001,-5.951129
773003,-5.951129
773005,-5.951129
773006,1.113271
773010,1.113271
773016,1.113271
773018,27.51986
773020,-5.951129
774001,1.113271
774017,-5.951129
774032,1.113271
774036,1.113271
774038,27.51986
774040,10.2457
774047,1.113271
774048,-5.951129
775003,10.2457
775004,-5.951129
775005,-5.951129
775011,-5.951129
775012,10.2457
775013,-5.951129
775030,-5.951129
775034,-5.951129
776007,1.113271
776010,1.113271
776012,10.2457
776018,27.51986
776022,27.51986
776024,27.51986
776034,10.2457
776036,10.2457
777001,27.51986
777005,10.2457
777006,-5.951129
777007,1.113271
777008,1.113271
777016,27.51986
777024,-5.951129
777030,-5.951129
778002,-5.951129
778003,27.51986
