subject,WTP
3001,-9.71234
3004,61.93113
3008,7.674472
3009,27.19302
3010,-2.088125
3011,-.1248632
3014,14.02432
3015,5.500947
4003,26.4364
4006,-5.262602
4010,26.4364
4011,-25.79197
4013,-35.28148
4016,35.80807
4022,-22.82211
4024,-6.140195
11006,14.73116
11008,5.78024
11009,4.891893
11010,-16.87281
11012,-41.41245
11016,-19.02629
11022,27.22294
11032,9.800735
11034,7.607435
12001,-5.700267
12002,25.64273
12014,7.004101
12029,12.41033
12036,-2.22926
12037,-3.418207
12041,-2.22926
12054,-18.18971
13001,-4.707285
13003,27.22294
13004,14.07464
13007,-57.13535
13010,9.800735
13012,10.6436
13013,3.20708
13019,-4.840804
15005,64.04079
15012,9.91447
15016,-36.77003
15023,17.50373
15024,16.42768
15026,-9.97389
15027,-5.399528
15030,2.970645
23003,10.88919
23007,3.624802
23016,5.555236
23027,25.61301
23031,2.814331
23035,25.61301
23036,-6.407513
23039,10.7553
27001,119.1845
27003,17.14707
27006,17.49572
27009,7.505538
27011,10.97158
27029,17.49572
27030,7.849852
27039,119.303
31001,2.442496
31002,11.5402
31003,17.49572
31004,-7.738888
31005,119.1845
31009,119.303
31012,119.303
31014,20.57604
36002,55.14334
36011,16.67822
36013,27.22294
36018,2.036976
36021,-4.840804
36040,-4.840804
36046,14.07464
36053,7.607435
38001,-5.399528
38002,1.659651
38003,12.25492
38005,12.523
38006,-6.160089
38007,-10.02094
38010,-5.399528
38013,48.9117
39004,-8.470451
39006,-5.700267
39007,8.345044
39011,-3.418207
39012,-3.885987
39013,-6.412806
39018,47.58071
39023,4.222594
40001,6.800594
40003,4.959664
40004,14.25539
40005,2.460274
40006,29.17231
40008,15.16573
40009,6.674359
40011,7.674472
42001,39.46716
42007,39.46716
42008,19.79601
42010,17.58834
42011,-5.700267
42012,14.52421
42013,12.53009
42018,-2.22926
42025,-5.700267
44003,12.523
44006,19.57546
44007,2.625273
44008,9.91447
44013,3.287463
44019,-6.160089
44027,1.05859
44028,3.287463
45001,5.897034
45002,8.58612
45009,33.54768
45010,43.05763
45011,-8.273783
45012,14.12679
45016,12.63974
45019,4.3411
51002,25.58198
51006,32.83854
51009,7.722291
51011,-11.42513
51022,22.7732
51027,-4.498715
51030,-8.273783
57001,16.81887
57003,-35.20451
57004,-.8291904
57005,13.25218
57006,-10.93001
57007,1.506209
57008,13.25218
57009,-2.56981
57010,-8.561674
66001,-40.33606
66002,-2.22926
66003,-3.885987
66004,12.64464
66006,3.654165
66009,14.52421
66010,-18.18971
74003,33.54768
74007,14.40258
74008,2.546971
74013,7.242389
74015,4.3411
74016,-5.286815
74019,14.40258
74026,5.345886
95002,25.61394
95003,48.4104
95008,48.4104
95020,14.40258
95025,6.4961
95028,9.969239
95030,5.737295
95032,9.969239
98006,5.345886
98008,5.897034
98009,-13.23115
98010,5.897034
98011,22.7732
98017,4.3411
98018,-7.046614
98026,12.63494
99002,-14.15326
99003,-1.570811
99004,-6.617893
99007,1.974812
99009,34.18609
99011,14.52421
99012,17.58834
99013,-5.700267
100001,33.54768
100003,32.83854
100006,5.960852
100007,23.77608
100011,27.05746
100016,-13.23115
100017,9.969239
102002,9.91447
102003,-.9882199
102005,-.0506665
102007,8.544142
102013,37.37889
102016,2.970645
102017,64.04079
102018,48.69687
103002,33.54768
103003,5.897034
103007,14.40258
103010,43.05763
103012,-5.952445
103013,7.722291
103016,4.3411
103022,28.32992
109001,2.814331
109005,7.82955
109006,7.82955
109007,7.82955
109011,14.02432
109014,15.16573
109018,15.16573
109025,6.800594
111001,-1.570811
111002,11.28554
111004,1.974812
111006,7.330508
111009,5.309081
111011,16.99548
111012,1.120335
111016,-5.700267
112006,7.989294
112009,34.00562
112012,14.07464
112016,27.22294
112030,2.036976
112031,6.478245
112037,-17.60009
112040,14.73116
114002,9.981985
114003,7.674472
114006,14.25539
114007,7.674472
114010,10.92164
114012,-1.69744
114015,83.09837
114016,25.67719
117003,4.3411
117009,14.40258
117012,-1.074265
117015,-1.074265
117020,19.12228
117026,-31.13508
117028,23.77608
117029,23.77608
121004,-17.60009
121007,18.92344
121008,-17.60009
121009,4.946685
121013,-17.60009
121018,3.20708
121021,2.036976
122001,19.79601
122003,11.75819
122009,1.120335
122012,-5.700267
122018,1.120335
122021,-8.470451
122027,-10.61649
122031,19.23767
123001,35.14241
123005,-6.936173
123006,-6.407513
123008,-5.53975
123015,15.16573
123025,5.67256
123026,5.500947
123028,9.264739
126001,68.64526
126003,12.64464
126006,-2.22926
126008,15.60316
126009,-3.214958
126010,6.172522
126011,-5.700267
126014,-3.82178
127004,14.40258
127006,7.722291
127007,19.12228
127008,9.969239
127012,-8.273783
127018,14.40258
127020,14.40258
128001,43.05763
128003,-.5282657
128007,4.3411
128008,-7.046614
128010,14.84176
128012,23.77608
128013,43.99116
128017,21.22436
132009,5.309081
132014,68.64526
132018,34.18609
132019,9.668641
132025,22.0914
132026,-5.700267
132029,21.14792
132030,-5.700267
132031,7.004101
134004,-4.498715
134005,7.928063
134015,14.40258
134020,4.995645
134021,1.928477
134029,7.722291
134039,14.40258
134042,4.995645
137002,-8.273783
137003,4.3411
137004,5.345886
137006,-3.735012
137014,-7.046614
137017,-1.074265
137021,23.32385
137025,9.969239
148004,6.674359
148005,28.18027
148009,3.624802
148011,40.27913
148012,7.82955
148013,8.706755
148019,14.02432
148034,7.674472
160001,6.489448
160003,5.67256
160005,5.67256
160008,9.981302
160017,61.93113
160018,15.16573
160021,7.674472
160027,9.556578
161003,-1.074265
161018,43.05763
161022,-8.273783
161025,15.47165
161040,5.041515
161049,12.63974
161052,12.63974
161055,-10.14154
165007,2.460274
165010,3.624802
165013,-6.936173
165015,47.93207
165021,-.7172313
165022,9.981302
165023,4.153059
165041,-6.407513
167003,58.6698
167004,13.29734
167009,3.609053
167013,25.7308
167014,1.833534
167015,-12.85748
167020,3.609053
167021,-15.89425
172001,11.28554
172008,-.9126405
172012,3.654165
172017,17.58834
172018,.6703171
172019,5.65579
172022,12.53009
172031,1.974812
180001,25.32319
180002,9.789343
180003,-6.617893
180004,3.654165
180006,-5.700267
180007,.6703171
180009,7.683599
180012,19.79601
182001,19.12228
182005,-.0415304
182006,18.20521
182008,5.897034
182025,9.694906
182028,7.019835
182030,43.05763
182047,7.722291
184003,12.63974
