subject,WTP
3001,3.597523
3004,-47.41878
3008,3.597523
3009,3.597523
3010,33.43206
3011,13.70538
3014,13.70538
3015,3.597523
4003,3.597523
4006,-47.41878
4010,3.597523
4011,33.43206
4013,3.597523
4016,13.70538
4022,13.70538
4024,3.597523
11006,13.70538
11008,3.597523
11009,33.43206
11010,13.70538
11012,3.597523
11016,3.597523
11022,3.597523
11032,-47.41878
11034,33.43206
12001,3.597523
12002,33.43206
12014,3.597523
12029,3.597523
12036,13.70538
12037,33.43206
12041,13.70538
12054,33.43206
13001,3.597523
13003,3.597523
13004,13.70538
13007,13.70538
13010,-47.41878
13012,33.43206
13013,33.43206
13019,33.43206
15005,3.597523
15012,13.70538
15016,-47.41878
15023,33.43206
15024,-47.41878
15026,33.43206
15027,3.597523
15030,13.70538
23003,33.43206
23007,33.43206
23016,-47.41878
23027,33.43206
23031,33.43206
23035,33.43206
23036,3.597523
23039,13.70538
27001,3.597523
27003,33.43206
27006,33.43206
27009,3.597523
27011,3.597523
27029,33.43206
27030,-47.41878
27039,13.70538
31001,33.43206
31002,33.43206
31003,33.43206
31004,33.43206
31005,3.597523
31009,13.70538
31012,13.70538
31014,3.597523
36002,13.70538
36011,3.597523
36013,3.597523
36018,13.70538
36021,33.43206
36040,33.43206
36046,13.70538
36053,33.43206
38001,3.597523
38002,3.597523
38003,33.43206
38005,-47.41878
38006,13.70538
38007,3.597523
38010,3.597523
38013,33.43206
39004,33.43206
39006,3.597523
39007,33.43206
39011,33.43206
39012,3.597523
39013,-47.41878
39018,33.43206
39023,-47.41878
40001,13.70538
40003,3.597523
40004,33.43206
40005,13.70538
40006,3.597523
40008,13.70538
40009,13.70538
40011,3.597523
42001,13.70538
42007,13.70538
42008,33.43206
42010,3.597523
42011,3.597523
42012,-47.41878
42013,3.597523
42018,13.70538
42025,3.597523
44003,-47.41878
44006,-47.41878
44007,-47.41878
44008,13.70538
44013,33.43206
44019,13.70538
44027,13.70538
44028,33.43206
45001,33.43206
45002,3.597523
45009,13.70538
45010,13.70538
45011,3.597523
45012,13.70538
45016,33.43206
45019,3.597523
51002,33.43206
51006,33.43206
51009,3.597523
51011,33.43206
51022,33.43206
51027,33.43206
51030,3.597523
57001,-47.41878
57003,-47.41878
57004,3.597523
57005,-47.41878
57006,3.597523
57007,3.597523
57008,-47.41878
57009,33.43206
57010,3.597523
66001,13.70538
66002,13.70538
66003,3.597523
66004,33.43206
66006,13.70538
66009,-47.41878
66010,33.43206
74003,13.70538
74007,3.597523
74008,13.70538
74013,33.43206
74015,3.597523
74016,33.43206
74019,3.597523
74026,33.43206
95002,13.70538
95003,-47.41878
95008,-47.41878
95020,3.597523
95025,33.43206
95028,-47.41878
95030,3.597523
95032,-47.41878
98006,33.43206
98008,33.43206
98009,33.43206
98010,33.43206
98011,33.43206
98017,3.597523
98018,3.597523
98026,33.43206
99002,33.43206
99003,-47.41878
99004,3.597523
99007,13.70538
99009,33.43206
99011,-47.41878
99012,3.597523
99013,3.597523
100001,13.70538
100003,33.43206
100006,33.43206
100007,33.43206
100011,13.70538
100016,33.43206
100017,-47.41878
102002,13.70538
102003,-47.41878
102005,33.43206
102007,13.70538
102013,33.43206
102016,13.70538
102017,3.597523
102018,33.43206
103002,13.70538
103003,33.43206
103007,3.597523
103010,13.70538
103012,33.43206
103013,3.597523
103016,3.597523
103022,-47.41878
109001,33.43206
109005,13.70538
109006,13.70538
109007,13.70538
109011,13.70538
109014,13.70538
109018,13.70538
109025,13.70538
111001,-47.41878
111002,33.43206
111004,13.70538
111006,33.43206
111009,33.43206
111011,13.70538
