subject,WTP
3001,2.408677
3004,8.031386
3008,.5276045
3009,.5276045
3010,4.015693
3011,-7.962606
3014,-6.655141
3015,2.408677
4003,2.408677
4006,8.031386
4010,2.408677
4011,-12.50424
4013,.5276045
4016,-6.655141
4022,-7.962606
4024,-1.775866
11006,-6.655141
11008,.5276045
11009,-12.50424
11010,-7.962606
11012,.5276045
11016,.5276045
11022,-1.775866
11032,8.031386
11034,-12.50424
12001,-1.775866
12002,4.015693
12014,.5276045
12029,2.408677
12036,-7.962606
12037,-12.50424
12041,-7.962606
12054,-12.50424
13001,2.408677
13003,-1.775866
13004,-7.962606
13007,-7.962606
13010,8.031386
13012,-12.50424
13013,-12.50424
13019,-12.50424
15005,2.408677
15012,-7.962606
15016,8.031386
15023,-12.50424
15024,8.031386
15026,-12.50424
15027,.5276045
15030,-6.655141
23003,-12.50424
23007,4.015693
23016,8.031386
23027,-12.50424
23031,17.11019
23035,-12.50424
23036,2.408677
23039,-7.962606
27001,-1.775866
27003,4.015693
27006,-12.50424
27009,2.408677
27011,.5276045
27029,-12.50424
27030,8.031386
27039,-7.962606
31001,-12.50424
31002,-12.50424
31003,-12.50424
31004,4.015693
31005,-1.775866
31009,-7.962606
31012,-7.962606
31014,2.408677
36002,-7.962606
36011,2.408677
36013,-1.775866
36018,-7.962606
36021,-12.50424
36040,-12.50424
36046,-7.962606
36053,-12.50424
38001,.5276045
38002,2.408677
38003,-12.50424
38005,8.031386
38006,-6.655141
38007,2.408677
38010,.5276045
38013,4.015693
39004,4.015693
39006,-1.775866
39007,.5270007
39011,-12.50424
39012,.5276045
39013,8.031386
39018,.5270007
39023,8.031386
40001,-6.655141
40003,2.408677
40004,-12.50424
40005,-7.962606
40006,2.408677
40008,-6.655141
40009,-7.962606
40011,.5276045
42001,-6.655141
42007,-6.655141
42008,-12.50424
42010,2.408677
42011,-1.775866
42012,8.031386
42013,2.408677
42018,-7.962606
42025,-1.775866
44003,8.031386
44006,8.031386
44007,8.031386
44008,-7.962606
44013,-12.50424
44019,-6.655141
44027,-6.655141
44028,-12.50424
45001,-12.50424
45002,2.408677
45009,-6.655141
45010,-6.655141
45011,2.408677
45012,-7.962606
45016,4.015693
45019,-1.775866
51002,-.9208073
51006,-12.50424
51009,2.408677
51011,17.11019
51022,.5270007
51027,.5270007
51030,2.408677
57001,8.031386
57003,8.031386
57004,.5276045
57005,8.031386
57006,.5276045
57007,.5276045
57008,8.031386
57009,-12.50424
57010,2.408677
66001,-6.655141
66002,-7.962606
66003,.5276045
66004,.5270007
66006,-7.962606
66009,8.031386
66010,-12.50424
74003,-6.655141
74007,.5276045
74008,-6.655141
74013,4.015693
74015,-1.775866
74016,-12.50424
74019,.5276045
74026,-12.50424
95002,-6.655141
95003,8.031386
95008,8.031386
95020,.5276045
95025,-12.50424
95028,8.031386
95030,2.408677
95032,8.031386
98006,-12.50424
98008,-12.50424
98009,-12.50424
98010,-12.50424
98011,.5270007
98017,-1.775866
98018,.5276045
98026,4.015693
99002,17.11019
99003,8.031386
99004,2.408677
99007,-7.962606
99009,4.015693
99011,8.031386
99012,2.408677
99013,-1.775866
100001,-6.655141
100003,-12.50424
100006,-.9208073
100007,-12.50424
100011,-6.655141
100016,-12.50424
100017,8.031386
102002,-7.962606
102003,8.031386
102005,-12.50424
102007,-7.962606
102013,-.9208073
102016,-6.655141
102017,2.408677
102018,.5270007
103002,-6.655141
103003,-12.50424
103007,.5276045
103010,-6.655141
103012,.5270007
103013,2.408677
103016,-1.775866
103022,8.031386
109001,17.11019
109005,-7.962606
109006,-7.962606
109007,-7.962606
109011,-6.655141
109014,-6.655141
109018,-6.655141
109025,-6.655141
111001,8.031386
