subject,WTP
3001,6.875117
3004,45.89048
3008,-2.550593
3009,-8.524069
3010,6.749704
3011,3.299501
3014,6.749704
3015,8.358347
4003,-8.524069
4006,-2.550593
4010,-8.524069
4011,6.749704
4013,-2.550593
4016,14.90978
4022,-2.550593
4024,4.813503
11006,6.749704
11008,4.813503
11009,3.299501
11010,-8.524069
11012,-2.550593
11016,7.584478
11022,4.813503
11032,6.749704
11034,7.584478
12001,4.813503
12002,-8.524069
12014,8.358347
12029,4.813503
12036,-8.524069
12037,45.89048
12041,-8.524069
12054,6.875117
13001,-2.550593
13003,4.813503
13004,45.89048
13007,6.875117
13010,6.749704
13012,-8.524069
13013,6.749704
13019,45.89048
15005,-2.550593
15012,6.749704
15016,8.358347
15023,4.456232
15024,7.584478
15026,8.358347
15027,-2.550593
15030,45.89048
23003,8.358347
23007,-8.524069
23016,6.875117
23027,4.456232
23031,-8.524069
23035,4.456232
23036,-2.550593
23039,8.358347
27001,4.813503
27003,45.89048
27006,-2.550593
27009,-2.550593
27011,-8.524069
27029,-2.550593
27030,6.749704
27039,14.90978
31001,-8.524069
31002,45.89048
31003,-2.550593
31004,14.90978
31005,4.813503
31009,14.90978
31012,14.90978
31014,8.358347
36002,4.456232
36011,4.813503
36013,4.813503
36018,6.749704
36021,45.89048
36040,45.89048
36046,45.89048
36053,7.584478
38001,-2.550593
38002,3.299501
38003,-8.524069
38005,45.89048
38006,8.358347
38007,7.584478
38010,-2.550593
38013,-8.524069
39004,-2.550593
39006,4.813503
39007,6.749704
39011,45.89048
39012,-8.524069
39013,-8.524069
39018,7.584478
39023,25.69927
40001,7.584478
40003,45.89048
40004,-8.524069
40005,7.584478
40006,-8.524069
40008,45.89048
40009,6.749704
40011,-2.550593
42001,14.90978
42007,14.90978
42008,-8.524069
42010,-2.550593
42011,4.813503
42012,6.749704
42013,-8.524069
42018,-8.524069
42025,4.813503
44003,45.89048
44006,6.875117
44007,-2.550593
44008,6.749704
44013,-2.550593
44019,8.358347
44027,-2.550593
44028,-2.550593
45001,45.89048
45002,-6.235224
45009,45.89048
45010,-8.524069
45011,-8.524069
45012,6.749704
45016,-2.550593
45019,4.813503
51002,4.456232
51006,4.456232
51009,8.358347
51011,45.89048
51022,45.89048
51027,-2.550593
51030,-8.524069
57001,-2.550593
57003,-8.524069
57004,-13.44743
57005,45.89048
57006,-2.550593
57007,6.749704
57008,45.89048
57009,-2.550593
57010,6.749704
66001,7.584478
66002,-8.524069
66003,-8.524069
66004,3.299501
66006,8.358347
66009,6.749704
66010,6.875117
74003,45.89048
74007,-2.550593
74008,7.584478
74013,6.749704
74015,4.813503
74016,6.875117
74019,-2.550593
74026,8.358347
95002,8.358347
95003,-6.235224
95008,-6.235224
95020,-2.550593
95025,14.90978
95028,-8.524069
95030,7.584478
95032,-8.524069
98006,8.358347
98008,45.89048
98009,6.749704
98010,45.89048
98011,45.89048
98017,4.813503
98018,6.875117
98026,25.69927
99002,-2.550593
99003,-2.550593
99004,8.358347
99007,-2.550593
99009,6.749704
99011,6.749704
99012,-2.550593
99013,4.813503
100001,45.89048
100003,4.456232
100006,-6.235224
100007,-8.524069
100011,-2.550593
100016,6.749704
100017,-8.524069
102002,6.749704
102003,6.749704
102005,-6.235224
102007,45.89048
102013,-8.524069
102016,45.89048
102017,-2.550593
102018,-8.524069
103002,45.89048
103003,45.89048
103007,-2.550593
103010,-8.524069
103012,4.456232
103013,8.358347
103016,4.813503
103022,3.299501
109001,-8.524069
109005,45.89048
109006,45.89048
109007,45.89048
109011,6.749704
109014,45.89048
109018,45.89048
109025,7.584478
