subject,WTP
3001,-13.14945
3004,-.3647227
3008,20.00603
3009,-.3647227
3010,13.41143
3011,20.00603
3014,13.41143
3015,13.41143
4003,-.3647227
4006,20.00603
4010,-.3647227
4011,13.41143
4013,20.00603
4016,13.41143
4022,20.00603
4024,20.00603
11006,13.41143
11008,20.00603
11009,20.00603
11010,-.3647227
11012,20.00603
11016,-.3647227
11022,20.00603
11032,13.41143
11034,-.3647227
12001,20.00603
12002,-.3647227
12014,13.41143
12029,20.00603
12036,-.3647227
12037,-.3647227
12041,-.3647227
12054,-13.14945
13001,20.00603
13003,20.00603
13004,-.3647227
13007,-13.14945
13010,13.41143
13012,-.3647227
13013,13.41143
13019,-.3647227
15005,20.00603
15012,13.41143
15016,13.41143
15023,13.41143
15024,-.3647227
15026,13.41143
15027,20.00603
15030,-.3647227
23003,13.41143
23007,-.3647227
23016,-13.14945
23027,13.41143
23031,-.3647227
23035,13.41143
23036,20.00603
23039,13.41143
27001,20.00603
27003,-.3647227
27006,20.00603
27009,20.00603
27011,-.3647227
27029,20.00603
27030,13.41143
27039,13.41143
31001,-.3647227
31002,-.3647227
31003,20.00603
31004,13.41143
31005,20.00603
31009,13.41143
31012,13.41143
31014,13.41143
36002,13.41143
36011,20.00603
36013,20.00603
36018,13.41143
36021,-.3647227
36040,-.3647227
36046,-.3647227
36053,-.3647227
38001,20.00603
38002,20.00603
38003,-.3647227
38005,-.3647227
38006,13.41143
38007,-.3647227
38010,20.00603
38013,-.3647227
39004,20.00603
39006,20.00603
39007,13.41143
39011,-.3647227
39012,-.3647227
39013,-.3647227
39018,-.3647227
39023,-13.14945
40001,-.3647227
40003,-.3647227
40004,-.3647227
40005,-.3647227
40006,-.3647227
40008,-.3647227
40009,13.41143
40011,20.00603
42001,13.41143
42007,13.41143
42008,-.3647227
42010,20.00603
42011,20.00603
42012,13.41143
42013,-.3647227
42018,-.3647227
42025,20.00603
44003,-.3647227
44006,-13.14945
44007,20.00603
44008,13.41143
44013,20.00603
44019,13.41143
44027,20.00603
44028,20.00603
45001,-.3647227
45002,-13.14945
45009,-.3647227
45010,-.3647227
45011,-.3647227
45012,13.41143
45016,20.00603
45019,20.00603
51002,13.41143
51006,13.41143
51009,13.41143
51011,-.3647227
51022,-.3647227
51027,20.00603
51030,-.3647227
57001,20.00603
57003,-.3647227
57004,-13.14945
57005,-.3647227
57006,20.00603
57007,13.41143
57008,-.3647227
57009,20.00603
57010,13.41143
66001,-.3647227
66002,-.3647227
66003,-.3647227
66004,20.00603
66006,13.41143
66009,13.41143
66010,-13.14945
74003,-.3647227
74007,20.00603
74008,-.3647227
74013,13.41143
74015,20.00603
74016,-13.14945
74019,20.00603
74026,13.41143
95002,13.41143
95003,-13.14945
95008,-13.14945
95020,20.00603
95025,13.41143
95028,-.3647227
95030,-.3647227
95032,-.3647227
98006,13.41143
98008,-.3647227
98009,13.41143
98010,-.3647227
98011,-.3647227
98017,20.00603
98018,-13.14945
98026,-13.14945
99002,20.00603
99003,20.00603
99004,13.41143
99007,20.00603
99009,13.41143
99011,13.41143
99012,20.00603
99013,20.00603
100001,-.3647227
100003,13.41143
100006,-13.14945
100007,-.3647227
100011,20.00603
100016,13.41143
100017,-.3647227
102002,13.41143
102003,13.41143
102005,-13.14945
102007,-.3647227
102013,-.3647227
102016,-.3647227
102017,20.00603
102018,-.3647227
103002,-.3647227
103003,-.3647227
103007,20.00603
103010,-.3647227
103012,13.41143
103013,13.41143
103016,20.00603
103022,20.00603
109001,-.3647227
109005,-.3647227
109006,-.3647227
109007,-.3647227
109011,13.41143
109014,-.3647227
109018,-.3647227
109025,-.3647227
111001,20.00603
111002,-.3647227
111004,20.00603
111006,20.00603
111009,13.41143
111011,-.3647227
111012,20.00603
111016,20.00603
112006,20.00603
112009,-.3647227
112012,-.3647227
112016,20.00603
112030,13.41143
112031,-.3647227
112037,20.00603
112040,13.41143
114002,13.41143
114003,20.00603
114006,-.3647227
114007,20.00603
114010,13.41143
114012,-.3647227
114015,-.3647227
114016,20.00603
117003,20.00603
117009,20.00603
117012,20.00603
117015,20.00603
117020,13.41143
117026,13.41143
117028,-.3647227
117029,-.3647227
121004,20.00603
121007,-.3647227
121008,20.00603
121009,-.3647227
121013,20.00603
121018,13.41143
121021,13.41143
122001,-.3647227
122003,-13.14945
122009,20.00603
122012,20.00603
122018,20.00603
122021,20.00603
122027,-.3647227
122031,-13.14945
