subject,WTP
3001,3.360785
3004,3.360785
3008,3.360785
3009,3.360785
3010,3.360785
3011,3.360785
3014,3.360785
3015,3.360785
4003,48.94586
4006,48.94586
4010,48.94586
4011,48.94586
4013,48.94586
4016,48.94586
4022,48.94586
4024,48.94586
11006,5.244689
11008,5.244689
11009,5.244689
11010,5.244689
11012,5.244689
11016,5.244689
11022,5.244689
11032,5.244689
11034,5.244689
12001,21.23361
12002,21.23361
12014,21.23361
12029,21.23361
12036,21.23361
12037,21.23361
12041,21.23361
12054,21.23361
13001,5.244689
13003,5.244689
13004,5.244689
13007,5.244689
13010,5.244689
13012,5.244689
13013,5.244689
13019,5.244689
15005,2.40544
15012,2.40544
15016,2.40544
15023,2.40544
15024,2.40544
15026,2.40544
15027,2.40544
15030,2.40544
23003,3.360785
23007,3.360785
23016,3.360785
23027,3.360785
23031,3.360785
23035,3.360785
23036,3.360785
23039,3.360785
27001,-1.051245
27003,-1.051245
27006,-1.051245
27009,-1.051245
27011,-1.051245
27029,-1.051245
27030,-1.051245
27039,-1.051245
31001,-1.051245
31002,-1.051245
31003,-1.051245
31004,-1.051245
31005,-1.051245
31009,-1.051245
31012,-1.051245
31014,-1.051245
36002,5.244689
36011,5.244689
36013,5.244689
36018,5.244689
36021,5.244689
36040,5.244689
36046,5.244689
36053,5.244689
38001,2.40544
38002,2.40544
38003,2.40544
38005,2.40544
38006,2.40544
38007,2.40544
38010,2.40544
38013,2.40544
39004,21.23361
39006,21.23361
39007,21.23361
39011,21.23361
39012,21.23361
39013,21.23361
39018,21.23361
39023,21.23361
40001,3.360785
40003,3.360785
40004,3.360785
40005,3.360785
40006,3.360785
40008,3.360785
40009,3.360785
40011,3.360785
42001,21.23361
42007,21.23361
42008,21.23361
42010,21.23361
42011,21.23361
42012,21.23361
42013,21.23361
42018,21.23361
42025,21.23361
44003,2.40544
44006,2.40544
44007,2.40544
44008,2.40544
44013,2.40544
44019,2.40544
44027,2.40544
44028,2.40544
45001,20.58498
45002,20.58498
45009,20.58498
45010,20.58498
45011,20.58498
45012,20.58498
45016,20.58498
45019,20.58498
51002,20.58498
51006,20.58498
51009,20.58498
51011,20.58498
51022,20.58498
51027,20.58498
51030,20.58498
57001,9.153186
57003,9.153186
57004,9.153186
57005,9.153186
