subject,WTP
3001,21.16975
3004,21.16975
3008,21.16975
3009,21.16975
3010,21.16975
3011,21.16975
3014,21.16975
3015,21.16975
4003,-3.078397
4006,-3.078397
4010,-3.078397
4011,-3.078397
4013,-3.078397
4016,-3.078397
4022,-3.078397
4024,-3.078397
11006,8.712806
11008,8.712806
11009,8.712806
11010,8.712806
11012,8.712806
11016,8.712806
11022,8.712806
11032,8.712806
11034,8.712806
12001,8.712806
12002,8.712806
12014,8.712806
12029,8.712806
12036,8.712806
12037,8.712806
12041,8.712806
12054,8.712806
13001,8.712806
13003,8.712806
13004,8.712806
13007,8.712806
13010,8.712806
13012,8.712806
13013,8.712806
13019,8.712806
15005,21.16975
15012,21.16975
15016,21.16975
15023,21.16975
15024,21.16975
15026,21.16975
15027,21.16975
15030,21.16975
23003,21.16975
23007,21.16975
23016,21.16975
23027,21.16975
23031,21.16975
23035,21.16975
23036,21.16975
23039,21.16975
27001,-3.078397
27003,-3.078397
27006,-3.078397
27009,-3.078397
27011,-3.078397
27029,-3.078397
27030,-3.078397
27039,-3.078397
31001,-3.078397
31002,-3.078397
31003,-3.078397
31004,-3.078397
31005,-3.078397
31009,-3.078397
31012,-3.078397
31014,-3.078397
36002,8.712806
36011,8.712806
36013,8.712806
36018,8.712806
36021,8.712806
36040,8.712806
36046,8.712806
36053,8.712806
38001,21.16975
38002,21.16975
38003,21.16975
38005,21.16975
38006,21.16975
38007,21.16975
38010,21.16975
38013,21.16975
39004,8.712806
39006,8.712806
39007,8.712806
39011,8.712806
39012,8.712806
39013,8.712806
39018,8.712806
39023,8.712806
40001,21.16975
40003,21.16975
40004,21.16975
40005,21.16975
40006,21.16975
40008,21.16975
40009,21.16975
40011,21.16975
42001,8.712806
42007,8.712806
42008,8.712806
42010,8.712806
42011,8.712806
42012,8.712806
42013,8.712806
42018,8.712806
42025,8.712806
44003,21.16975
44006,21.16975
44007,21.16975
44008,21.16975
44013,21.16975
44019,21.16975
44027,21.16975
44028,21.16975
45001,8.712806
45002,8.712806
45009,8.712806
45010,8.712806
45011,8.712806
45012,8.712806
45016,8.712806
45019,8.712806
51002,8.712806
51006,8.712806
51009,8.712806
51011,8.712806
51022,8.712806
51027,8.712806
51030,8.712806
57001,21.16975
57003,21.16975
57004,21.16975
57005,21.16975
57006,21.16975
57007,21.16975
57008,21.16975
57009,21.16975
57010,21.16975
66001,8.712806
66002,8.712806
66003,8.712806
66004,8.712806
66006,8.712806
66009,8.712806
66010,8.712806
74003,8.712806
74007,8.712806
74008,8.712806
74013,8.712806
74015,8.712806
74016,8.712806
74019,8.712806
74026,8.712806
95002,8.712806
95003,8.712806
95008,8.712806
95020,8.712806
95025,8.712806
95028,8.712806
95030,8.712806
95032,8.712806
98006,8.712806
98008,8.712806
98009,8.712806
98010,8.712806
98011,8.712806
98017,8.712806
98018,8.712806
98026,8.712806
99002,8.712806
99003,8.712806
99004,8.712806
99007,8.712806
99009,8.712806
99011,8.712806
99012,8.712806
99013,8.712806
100001,8.712806
100003,8.712806
100006,8.712806
100007,8.712806
100011,8.712806
100016,8.712806
100017,8.712806
102002,21.16975
102003,21.16975
102005,21.16975
102007,21.16975
102013,21.16975
102016,21.16975
102017,21.16975
102018,21.16975
103002,8.712806
103003,8.712806
103007,8.712806
103010,8.712806
103012,8.712806
103013,8.712806
103016,8.712806
103022,8.712806
109001,21.16975
109005,21.16975
109006,21.16975
109007,21.16975
109011,21.16975
109014,21.16975
109018,21.16975
109025,21.16975
111001,8.712806
111002,8.712806
111004,8.712806
111006,8.712806
111009,8.712806
111011,8.712806
111012,8.712806
111016,8.712806
112006,8.712806
112009,8.712806
112012,8.712806
112016,8.712806
112030,8.712806
112031,8.712806
112037,8.712806
112040,8.712806
114002,21.16975
114003,21.16975
114006,21.16975
114007,21.16975
114010,21.16975
114012,21.16975
114015,21.16975
114016,21.16975
117003,8.712806
117009,8.712806
117012,8.712806
117015,8.712806
117020,8.712806
117026,8.712806
117028,8.712806
117029,8.712806
121004,8.712806
121007,8.712806
121008,8.712806
121009,8.712806
121013,8.712806
121018,8.712806
121021,8.712806
122001,8.712806
122003,8.712806
122009,8.712806
122012,8.712806
122018,8.712806
122021,8.712806
122027,8.712806
122031,8.712806
123001,21.16975
123005,21.16975
123006,21.16975
123008,21.16975
123015,21.16975
123025,21.16975
123026,21.16975
123028,21.16975
126001,8.712806
126003,8.712806
126006,8.712806
126008,8.712806
126009,8.712806
126010,8.712806
126011,8.712806
126014,8.712806
127004,8.712806
127006,8.712806
127007,8.712806
127008,8.712806
127012,8.712806
127018,8.712806
127020,8.712806
128001,8.712806
128003,8.712806
128007,8.712806
128008,8.712806
128010,8.712806
128012,8.712806
128013,8.712806
128017,8.712806
132009,8.712806
132014,8.712806
132018,8.712806
132019,8.712806
132025,8.712806
132026,8.712806
132029,8.712806
132030,8.712806
132031,8.712806
134004,8.712806
134005,8.712806
134015,8.712806
134020,8.712806
134021,8.712806
134029,8.712806
134039,8.712806
134042,8.712806
137002,8.712806
137003,8.712806
137004,8.712806
137006,8.712806
137014,8.712806
137017,8.712806
137021,8.712806
137025,8.712806
148004,21.16975
148005,21.16975
148009,21.16975
148011,21.16975
148012,21.16975
148013,21.16975
148019,21.16975
148034,21.16975
160001,21.16975
160003,21.16975
160005,21.16975
160008,21.16975
160017,21.16975
160018,21.16975
160021,21.16975
160027,21.16975
161003,8.712806
161018,8.712806
161022,8.712806
161025,8.712806
161040,8.712806
161049,8.712806
161052,8.712806
161055,8.712806
165007,21.16975
165010,21.16975
165013,21.16975
165015,21.16975
165021,21.16975
165022,21.16975
165023,21.16975
165041,21.16975
167003,21.16975
167004,21.16975
167009,21.16975
167013,21.16975
167014,21.16975
167015,21.16975
167020,21.16975
167021,21.16975
172001,8.712806
172008,8.712806
172012,8.712806
172017,8.712806
172018,8.712806
172019,8.712806
172022,8.712806
172031,8.712806
180001,8.712806
180002,8.712806
180003,8.712806
180004,8.712806
180006,8.712806
180007,8.712806
180009,8.712806
180012,8.712806
182001,8.712806
182005,8.712806
182006,8.712806
182008,8.712806
182025,8.712806
182028,8.712806
182030,8.712806
182047,8.712806
184003,8.712806
184019,8.712806
184021,8.712806
184024,8.712806
184025,8.712806
184035,8.712806
184040,8.712806
184049,8.712806
201001,8.712806
201004,8.712806
201005,8.712806
201006,8.712806
201008,8.712806
201009,8.712806
201011,8.712806
201012,8.712806
215002,8.712806
215005,8.712806
215006,8.712806
215008,8.712806
215015,8.712806
215017,8.712806
215018,8.712806
215025,8.712806
217001,8.712806
217003,8.712806
217006,8.712806
217012,8.712806
217015,8.712806
217016,8.712806
217019,8.712806
217023,8.712806
219012,8.712806
219022,8.712806
219024,8.712806
219033,8.712806
219038,8.712806
219046,8.712806
219048,8.712806
219054,8.712806
220002,8.712806
220010,8.712806
220013,8.712806
220019,8.712806
220022,8.712806
220023,8.712806
220029,8.712806
220031,8.712806
227008,8.712806
227013,8.712806
227016,8.712806
227017,8.712806
227019,8.712806
227026,8.712806
227031,8.712806
227035,8.712806
229004,21.16975
229008,21.16975
229012,21.16975
229024,21.16975
229025,21.16975
229027,21.16975
229031,21.16975
229032,21.16975
231002,8.712806
231006,8.712806
231011,8.712806
231013,8.712806
231032,8.712806
231035,8.712806
231036,8.712806
231037,8.712806
232010,-3.078397
232011,-3.078397
232013,-3.078397
232017,-3.078397
232036,-3.078397
232041,-3.078397
232049,-3.078397
232057,-3.078397
243001,8.712806
243002,8.712806
243003,8.712806
243008,8.712806
243011,8.712806
243015,8.712806
243016,8.712806
243022,8.712806
249001,21.16975
249002,21.16975
249003,21.16975
249004,21.16975
249005,21.16975
249007,21.16975
249008,21.16975
249009,21.16975
253002,8.712806
253003,8.712806
253004,8.712806
253007,8.712806
253015,8.712806
253017,8.712806
253021,8.712806
253028,8.712806
286005,8.712806
286007,8.712806
286015,8.712806
286026,8.712806
286028,8.712806
286029,8.712806
286034,8.712806
286041,8.712806
286044,8.712806
287001,8.712806
287005,8.712806
287006,8.712806
287013,8.712806
287014,8.712806
287017,8.712806
287023,8.712806
287026,8.712806
294005,21.16975
294011,21.16975
294013,21.16975
294018,21.16975
294019,21.16975
294022,21.16975
294048,21.16975
294051,21.16975
299014,21.16975
299016,21.16975
299017,21.16975
299033,21.16975
299045,21.16975
299047,21.16975
299048,21.16975
299058,21.16975
500011,8.712806
500012,8.712806
500016,8.712806
500018,8.712806
500019,8.712806
500022,8.712806
500023,8.712806
500024,8.712806
502003,21.16975
502004,21.16975
502006,21.16975
502011,21.16975
502012,21.16975
502013,21.16975
502015,21.16975
502033,21.16975
508002,-3.078397
508004,-3.078397
508007,-3.078397
508008,-3.078397
508011,-3.078397
508013,-3.078397
508017,-3.078397
508027,-3.078397
510007,21.16975
510010,21.16975
510011,21.16975
510012,21.16975
510023,21.16975
510025,21.16975
510026,21.16975
510029,21.16975
513001,8.712806
513003,8.712806
513005,8.712806
513007,8.712806
513014,8.712806
513017,8.712806
513019,8.712806
513021,8.712806
516009,-3.078397
516011,-3.078397
516014,-3.078397
516015,-3.078397
516018,-3.078397
516020,-3.078397
516023,-3.078397
516026,-3.078397
517005,21.16975
517010,21.16975
517013,21.16975
517024,21.16975
517038,21.16975
517041,21.16975
517044,21.16975
517047,21.16975
519006,21.16975
519008,21.16975
519009,21.16975
519013,21.16975
519022,21.16975
519027,21.16975
519035,21.16975
519038,21.16975
524002,8.712806
524004,8.712806
524005,8.712806
524008,8.712806
524010,8.712806
524011,8.712806
524014,8.712806
524023,8.712806
526001,8.712806
526002,8.712806
526011,8.712806
526021,8.712806
526022,8.712806
526023,8.712806
526025,8.712806
526035,8.712806
529001,8.712806
529006,8.712806
529010,8.712806
529011,8.712806
529016,8.712806
529020,8.712806
529023,8.712806
529024,8.712806
531002,-3.078397
531005,-3.078397
531013,-3.078397
531020,-3.078397
531026,-3.078397
531029,-3.078397
531032,-3.078397
532002,8.712806
532009,8.712806
532010,8.712806
532011,8.712806
532017,8.712806
532020,8.712806
532024,8.712806
537001,8.712806
537005,8.712806
537006,8.712806
537007,8.712806
537009,8.712806
537012,8.712806
537019,8.712806
537026,8.712806
538002,8.712806
538008,8.712806
538010,8.712806
538020,8.712806
538022,8.712806
538023,8.712806
538032,8.712806
538038,8.712806
550001,8.712806
550002,8.712806
550006,8.712806
550007,8.712806
550011,8.712806
550013,8.712806
550014,8.712806
550015,8.712806
552001,8.712806
552002,8.712806
552005,8.712806
552008,8.712806
552022,8.712806
552035,8.712806
552040,8.712806
552043,8.712806
554008,21.16975
554010,21.16975
554011,21.16975
554017,21.16975
554018,21.16975
554020,21.16975
554027,21.16975
554028,21.16975
557001,8.712806
557002,8.712806
557003,8.712806
557005,8.712806
557006,8.712806
557010,8.712806
557011,8.712806
557014,8.712806
566005,8.712806
566006,8.712806
566009,8.712806
566010,8.712806
566015,8.712806
566021,8.712806
566023,8.712806
566031,8.712806
569001,8.712806
569002,8.712806
569003,8.712806
569004,8.712806
569006,8.712806
569007,8.712806
569008,8.712806
569010,8.712806
570006,8.712806
570007,8.712806
570008,8.712806
570017,8.712806
570019,8.712806
570034,8.712806
570041,8.712806
603002,21.16975
603008,21.16975
603009,21.16975
603012,21.16975
603013,21.16975
603015,21.16975
603020,21.16975
603022,21.16975
631022,8.712806
631024,8.712806
631029,8.712806
631032,8.712806
631034,8.712806
631037,8.712806
631038,8.712806
631045,8.712806
633001,21.16975
633004,21.16975
633005,21.16975
633007,21.16975
633009,21.16975
633010,21.16975
633014,21.16975
633019,21.16975
634001,8.712806
634002,8.712806
634003,8.712806
634004,8.712806
634005,8.712806
634010,8.712806
634014,8.712806
634017,8.712806
659001,21.16975
659002,21.16975
659005,21.16975
659012,21.16975
659014,21.16975
659021,21.16975
659022,21.16975
659026,21.16975
662001,21.16975
662004,21.16975
662007,21.16975
662009,21.16975
662021,21.16975
662030,21.16975
662039,21.16975
662040,21.16975
702005,-3.078397
702006,-3.078397
702007,-3.078397
702008,-3.078397
702011,-3.078397
702019,-3.078397
702026,-3.078397
702035,-3.078397
704002,-3.078397
704008,-3.078397
704009,-3.078397
704013,-3.078397
704014,-3.078397
704015,-3.078397
704016,-3.078397
704021,-3.078397
718001,8.712806
718002,8.712806
718003,8.712806
718005,8.712806
718006,8.712806
718007,8.712806
718010,8.712806
