subject,WTP
3001,7.065705
3004,.4955216
3008,.4955216
3009,.4955216
3010,.4955216
3011,7.065705
3014,7.065705
3015,-2.086917
4003,7.065705
4006,-2.086917
4010,7.065705
4011,.4955216
4013,-2.086917
4016,-2.086917
4022,.4955216
4024,7.065705
11006,2.727306
11008,2.727306
11009,2.727306
11010,.4955216
11012,.4955216
11016,-2.086917
11022,2.727306
11032,-2.086917
11034,.4955216
12001,7.065705
12002,7.065705
12014,2.727306
12029,7.065705
12036,.4955216
12037,.4955216
12041,.4955216
12054,-2.086917
13001,.4955216
13003,2.727306
13004,2.727306
13007,7.065705
13010,-2.086917
13012,7.065705
13013,.4955216
13019,-2.086917
15005,-2.086917
15012,2.727306
15016,2.727306
15023,2.727306
15024,.4955216
15026,7.065705
15027,.4955216
15030,-2.086917
23003,2.727306
23007,2.727306
23016,.4955216
23027,-2.086917
23031,2.727306
23035,-2.086917
23036,-2.086917
23039,.4955216
27001,2.727306
27003,2.727306
27006,-2.086917
27009,-2.086917
27011,7.065705
27029,-2.086917
27030,2.727306
27039,-2.086917
31001,.4955216
31002,.4955216
31003,-2.086917
31004,2.727306
31005,2.727306
31009,-2.086917
31012,-2.086917
31014,2.727306
36002,7.065705
36011,2.727306
36013,2.727306
36018,.4955216
36021,-2.086917
36040,-2.086917
36046,2.727306
36053,.4955216
38001,.4955216
38002,2.727306
38003,2.727306
38005,2.727306
38006,7.065705
38007,2.727306
38010,.4955216
38013,.4955216
39004,-2.086917
39006,7.065705
39007,-2.086917
39011,.4955216
39012,7.065705
39013,2.727306
39018,-2.086917
39023,7.065705
40001,7.065705
40003,.4955216
40004,7.065705
40005,2.727306
40006,2.727306
40008,-2.086917
40009,2.727306
40011,.4955216
42001,2.727306
42007,2.727306
42008,2.727306
42010,2.727306
42011,7.065705
42012,7.065705
42013,2.727306
42018,.4955216
42025,7.065705
44003,2.727306
44006,2.727306
44007,-2.086917
44008,2.727306
44013,-2.086917
44019,7.065705
44027,2.727306
44028,-2.086917
45001,7.065705
45002,-2.086917
45009,-2.086917
45010,-2.086917
45011,.4955216
45012,.4955216
45016,-2.086917
45019,.4955216
51002,7.065705
51006,7.065705
51009,-2.086917
51011,7.065705
51022,-2.086917
51027,-2.086917
51030,.4955216
57001,.4955216
57003,2.727306
57004,-2.086917
57005,2.727306
57006,2.727306
57007,7.065705
57008,2.727306
57009,.4955216
57010,-2.086917
66001,2.727306
66002,.4955216
66003,7.065705
66004,2.727306
66006,-2.086917
66009,7.065705
66010,-2.086917
74003,-2.086917
74007,.4955216
74008,.4955216
74013,7.065705
74015,.4955216
74016,2.727306
74019,.4955216
74026,-2.086917
95002,7.065705
95003,7.065705
95008,7.065705
95020,.4955216
95025,7.065705
95028,-2.086917
95030,.4955216
95032,-2.086917
98006,-2.086917
98008,7.065705
98009,7.065705
98010,7.065705
98011,-2.086917
98017,.4955216
98018,-2.086917
98026,7.065705
99002,2.727306
99003,.4955216
99004,-2.086917
99007,.4955216
99009,-2.086917
99011,7.065705
99012,2.727306
99013,7.065705
100001,-2.086917
100003,7.065705
100006,7.065705
100007,-2.086917
100011,-2.086917
100016,7.065705
100017,-2.086917
102002,2.727306
102003,.4955216
102005,-2.086917
102007,7.065705
102013,2.727306
102016,-2.086917
102017,-2.086917
102018,7.065705
