subject,WTP
3001,-2.793187
3004,6.619105
3008,-.0944879
3009,3.268944
3010,4.248269
3011,2.171123
3014,26.77319
3015,-1.388159
4003,.3122931
4006,2.547856
4010,.3122931
4011,20.83061
4013,-5.549252
4016,4.265822
4022,-1.757358
4024,2.565405
11006,1.564579
11008,-.2628661
11009,5.646084
11010,-1.153846
11012,2.027507
11016,-13.04547
11022,2.60003
11032,-5.359244
11034,5.19628
12001,-.5631058
12002,2.820653
12014,-3.663575
12029,.0998663
12036,6.21174
12037,3.017976
12041,6.21174
12054,3.268
13001,-.2280505
13003,2.60003
13004,1.130103
13007,2.882043
13010,-5.359244
13012,-1.130392
13013,3.951405
13019,-.1271836
15005,.1878302
15012,1.238261
15016,5.448261
15023,1.033875
15024,.9180661
15026,10.26219
15027,.31653
15030,-.8279022
23003,3.375866
23007,1.849289
23016,.5470513
23027,6.26883
23031,8.278031
23035,6.26883
23036,.0597883
23039,2.092548
27001,1.916295
27003,3.756135
27006,-.8814827
27009,-2.60791
27011,13.28028
27029,-.8814827
27030,-1.685047
27039,-4.080034
31001,6.728696
31002,4.08
31003,-.8814827
31004,1.441728
31005,1.916295
31009,-4.080034
31012,-4.080034
31014,9.559192
36002,.1721167
36011,3.105294
36013,2.60003
36018,1.493702
36021,-.1271836
36040,-.1271836
36046,1.130103
36053,5.19628
38001,.31653
38002,3.169932
38003,2.874431
38005,12.08607
38006,2.238947
38007,-1.414915
38010,.31653
38013,3.249348
39004,-4.299232
39006,-.5631058
39007,.1657992
39011,3.017976
39012,-1.466761
39013,.0215472
39018,-2.702347
39023,2.413496
40001,9.086106
40003,2.382437
40004,4.064333
40005,5.615361
40006,1.145866
40008,2.419597
40009,1.38546
40011,-.0944879
42001,3.515242
42007,3.515242
42008,4.927361
42010,1.469106
42011,-.5631058
42012,.2087679
42013,-2.325477
42018,6.21174
42025,-.5631058
44003,12.08607
44006,-.4329977
44007,.8699121
44008,1.238261
44013,-.6778961
44019,2.238947
44027,.6925437
44028,-.6778961
45001,2.653503
45002,-.0151201
45009,6.548696
45010,4.683899
45011,-2.63074
45012,7.065051
45016,2.877185
45019,24.57992
51002,5.515213
51006,1.507032
51009,3.733749
51011,-2.085123
51022,6.515986
51027,2.338321
51030,-2.63074
57001,-1.271109
57003,-2.247892
57004,-4.687976
57005,3.11707
57006,-1.655513
57007,4.749333
57008,3.11707
57009,-6.843488
