subject,WTP
3001,4.493801
3004,-6.189287
3008,2.252045
3009,2.252045
3010,2.688934
3011,5.357878
3014,9.095151
3015,4.493801
4003,4.493801
4006,-6.189287
4010,4.493801
4011,49.71307
4013,2.252045
4016,9.095151
4022,5.357878
4024,1.819631
11006,9.095151
11008,2.252045
11009,49.71307
11010,5.357878
11012,2.252045
11016,2.252045
11022,1.819631
11032,-6.189287
11034,49.71307
12001,1.819631
12002,2.688934
12014,2.252045
12029,4.493801
12036,5.357878
12037,49.71307
12041,5.357878
12054,49.71307
13001,4.493801
13003,1.819631
13004,5.357878
13007,5.357878
13010,-6.189287
13012,49.71307
13013,49.71307
13019,49.71307
15005,4.493801
15012,5.357878
15016,-6.189287
15023,49.71307
15024,-6.189287
15026,49.71307
15027,2.252045
15030,9.095151
23003,49.71307
23007,2.688934
23016,-6.189287
23027,49.71307
23031,5.6885
23035,49.71307
23036,4.493801
23039,5.357878
27001,1.819631
27003,2.688934
27006,49.71307
27009,4.493801
27011,2.252045
27029,49.71307
27030,-6.189287
27039,5.357878
31001,49.71307
31002,49.71307
31003,49.71307
31004,2.688934
31005,1.819631
31009,5.357878
31012,5.357878
31014,4.493801
36002,5.357878
36011,4.493801
36013,1.819631
36018,5.357878
36021,49.71307
36040,49.71307
36046,5.357878
36053,49.71307
38001,2.252045
38002,4.493801
38003,49.71307
38005,-6.189287
38006,9.095151
38007,4.493801
38010,2.252045
38013,2.688934
39004,2.688934
39006,1.819631
39007,-.0376557
39011,49.71307
39012,2.252045
39013,-6.189287
39018,-.0376557
39023,-6.189287
40001,9.095151
40003,4.493801
40004,49.71307
40005,5.357878
40006,4.493801
40008,9.095151
40009,5.357878
40011,2.252045
42001,9.095151
42007,9.095151
42008,49.71307
42010,4.493801
42011,1.819631
42012,-6.189287
42013,4.493801
42018,5.357878
42025,1.819631
44003,-6.189287
44006,-6.189287
44007,-6.189287
44008,5.357878
44013,49.71307
44019,9.095151
44027,9.095151
44028,49.71307
45001,49.71307
45002,4.493801
45009,9.095151
45010,9.095151
45011,4.493801
45012,5.357878
45016,2.688934
45019,1.819631
51002,7.723388
51006,49.71307
51009,4.493801
51011,5.6885
51022,-.0376557
51027,-.0376557
51030,4.493801
57001,-6.189287
57003,-6.189287
57004,2.252045
57005,-6.189287
57006,2.252045
57007,2.252045
57008,-6.189287
57009,49.71307
57010,4.493801
66001,9.095151
66002,5.357878
66003,2.252045
66004,-.0376557
66006,5.357878
66009,-6.189287
66010,49.71307
74003,9.095151
74007,2.252045
74008,9.095151
74013,2.688934
74015,1.819631
74016,49.71307
74019,2.252045
74026,49.71307
95002,9.095151
95003,-6.189287
95008,-6.189287
95020,2.252045
95025,49.71307
95028,-6.189287
95030,4.493801
95032,-6.189287
98006,49.71307
98008,49.71307
98009,49.71307
98010,49.71307
98011,-.0376557
98017,1.819631
98018,2.252045
98026,2.688934
99002,5.6885
99003,-6.189287
99004,4.493801
99007,5.357878
99009,2.688934
99011,-6.189287
99012,4.493801
99013,1.819631
100001,9.095151
100003,49.71307
100006,7.723388
100007,49.71307
100011,9.095151
100016,49.71307
100017,-6.189287
102002,5.357878
102003,-6.189287
102005,49.71307
102007,5.357878
102013,7.723388
102016,9.095151
102017,4.493801
102018,-.0376557
103002,9.095151
103003,49.71307
103007,2.252045
103010,9.095151
103012,-.0376557
103013,4.493801
103016,1.819631
103022,-6.189287
109001,5.6885
109005,5.357878
109006,5.357878
109007,5.357878
109011,9.095151
109014,9.095151
109018,9.095151
109025,9.095151
111001,-6.189287
111002,-.0376557
111004,5.357878
111006,-.0376557
111009,-.0376557
111011,5.357878
111012,49.71307
111016,1.819631
