subject,WTP
3001,4.014454
3004,-2.977489
3008,-1.690054
3009,-.2585283
3010,-.2585283
3011,4.014454
3014,-.2585283
3015,4.014454
4003,-.2585283
4006,-1.690054
4010,-.2585283
4011,-.2585283
4013,-1.690054
4016,4.014454
4022,-1.690054
4024,-.2585283
11006,-.2585283
11008,-.2585283
11009,4.014454
11010,-.2585283
11012,-1.690054
11016,4.014454
11022,-.2585283
11032,-.2585283
11034,4.014454
12001,-.2585283
12002,-.2585283
12014,4.014454
12029,-.2585283
12036,-.2585283
12037,-2.977489
12041,-.2585283
12054,4.014454
13001,-1.690054
13003,-.2585283
13004,-2.977489
13007,4.014454
13010,-.2585283
13012,-.2585283
13013,-.2585283
13019,-2.977489
15005,-1.690054
15012,-.2585283
15016,4.014454
15023,4.014454
15024,4.014454
15026,4.014454
15027,-1.690054
15030,-2.977489
23003,4.014454
23007,-.2585283
23016,4.014454
23027,4.014454
23031,-.2585283
23035,4.014454
23036,-1.690054
23039,4.014454
27001,-.2585283
27003,-2.977489
27006,-1.690054
27009,-1.690054
27011,-.2585283
27029,-1.690054
27030,-.2585283
27039,4.014454
31001,-.2585283
31002,-2.977489
31003,-1.690054
31004,4.014454
31005,-.2585283
31009,4.014454
31012,4.014454
31014,4.014454
36002,4.014454
36011,-.2585283
36013,-.2585283
36018,-.2585283
36021,-2.977489
36040,-2.977489
36046,-2.977489
36053,4.014454
38001,-1.690054
38002,4.014454
38003,-.2585283
38005,-2.977489
38006,4.014454
38007,4.014454
38010,-1.690054
38013,-.2585283
39004,-1.690054
39006,-.2585283
39007,-.2585283
39011,-2.977489
39012,-.2585283
39013,-.2585283
39018,4.014454
39023,4.014454
40001,4.014454
40003,-2.977489
40004,-.2585283
40005,4.014454
40006,-.2585283
40008,-2.977489
40009,-.2585283
40011,-1.690054
42001,4.014454
42007,4.014454
42008,-.2585283
42010,-1.690054
42011,-.2585283
42012,-.2585283
42013,-.2585283
42018,-.2585283
42025,-.2585283
44003,-2.977489
44006,4.014454
44007,-1.690054
44008,-.2585283
44013,-1.690054
44019,4.014454
44027,-1.690054
44028,-1.690054
45001,-2.977489
45002,-.2585283
45009,-2.977489
45010,-.2585283
45011,-.2585283
45012,-.2585283
45016,-1.690054
45019,-.2585283
51002,4.014454
51006,4.014454
51009,4.014454
51011,-2.977489
51022,-2.977489
51027,-1.690054
51030,-.2585283
57001,-1.690054
57003,-.2585283
57004,-.2585283
57005,-2.977489
57006,-1.690054
57007,-.2585283
57008,-2.977489
57009,-1.690054
57010,-.2585283
66001,4.014454
66002,-.2585283
66003,-.2585283
66004,4.014454
66006,4.014454
66009,-.2585283
66010,4.014454
74003,-2.977489
74007,-1.690054
74008,4.014454
74013,-.2585283
74015,-.2585283
74016,4.014454
74019,-1.690054
74026,4.014454
95002,4.014454
95003,-.2585283
95008,-.2585283
95020,-1.690054
95025,4.014454
95028,-.2585283
95030,4.014454
95032,-.2585283
98006,4.014454
98008,-2.977489
98009,-.2585283
98010,-2.977489
98011,-2.977489
98017,-.2585283
98018,4.014454
98026,4.014454
99002,-1.690054
99003,-1.690054
99004,4.014454
99007,-1.690054
99009,-.2585283
99011,-.2585283
99012,-1.690054
99013,-.2585283
100001,-2.977489
100003,4.014454
100006,-.2585283
100007,-.2585283
100011,-1.690054
100016,-.2585283
100017,-.2585283
102002,-.2585283
102003,-.2585283
102005,-.2585283
102007,-2.977489
102013,-.2585283
102016,-2.977489
102017,-1.690054
102018,-.2585283
103002,-2.977489
103003,-2.977489
103007,-1.690054
103010,-.2585283
103012,4.014454
103013,4.014454
103016,-.2585283
103022,4.014454
109001,-.2585283
109005,-2.977489
109006,-2.977489
109007,-2.977489
109011,-.2585283
109014,-2.977489
109018,-2.977489
109025,4.014454
111001,-1.690054
111002,-2.977489
111004,-1.690054
111006,-1.690054
111009,4.014454
111011,-2.977489
111012,-1.690054
111016,-.2585283
112006,-1.690054
112009,-2.977489
112012,-2.977489
112016,-.2585283
112030,-.2585283
112031,-.2585283
112037,-1.690054
112040,-.2585283
114002,4.014454
114003,-1.690054
114006,-.2585283
114007,-1.690054
114010,4.014454
114012,-.2585283
114015,-.2585283
114016,4.014454
117003,-.2585283
117009,-1.690054
117012,-1.690054
117015,-1.690054
117020,-.2585283
117026,-.2585283
117028,-.2585283
117029,-.2585283
121004,-1.690054
121007,-2.977489
121008,-1.690054
121009,-2.977489
121013,-1.690054
121018,-.2585283
121021,-.2585283
122001,-.2585283
122003,4.014454
122009,-1.690054
122012,-.2585283
122018,-1.690054
122021,-1.690054
122027,4.014454
122031,4.014454
123001,4.014454
123005,-.2585283
123006,-1.690054
123008,4.014454
123015,-2.977489
123025,-1.690054
123026,4.014454
123028,4.014454
126001,4.014454
126003,4.014454
126006,-.2585283
126008,-2.977489
126009,4.014454
126010,4.014454
126011,-.2585283
126014,4.014454
127004,-1.690054
127006,4.014454
127007,-.2585283
127008,-.2585283
127012,-.2585283
127018,-1.690054
127020,-1.690054
128001,-.2585283
128003,4.014454
128007,-.2585283
128008,4.014454
128010,-.2585283
128012,-.2585283
128013,4.014454
128017,4.014454
132009,4.014454
132014,4.014454
132018,-.2585283
132019,-.2585283
132025,-.2585283
132026,-.2585283
132029,4.014454
132030,-.2585283
132031,4.014454
134004,-1.690054
134005,-.2585283
134015,-1.690054
134020,-1.690054
134021,-1.690054
134029,4.014454
134039,-1.690054
134042,-1.690054
137002,-.2585283
137003,-.2585283
137004,4.014454
137006,4.014454
137014,4.014454
137017,-1.690054
137021,-.2585283
137025,-.2585283
148004,-.2585283
148005,4.014454
148009,-.2585283
148011,-.2585283
148012,-2.977489
148013,4.014454
148019,-.2585283
148034,-1.690054
