subject,WTP
3001,-2.099319
3004,-1.502556
3008,-3.099525
3009,4.074182
3010,2.220027
3011,2.739051
3014,2.220027
3015,-2.239847
4003,4.074182
4006,-3.099525
4010,4.074182
4011,2.220027
4013,-3.099525
4016,.7676596
4022,-3.099525
4024,3.675145
11006,2.220027
11008,3.675145
11009,2.739051
11010,4.074182
11012,-3.099525
11016,6.111408
11022,3.675145
11032,2.220027
11034,6.111408
12001,3.675145
12002,4.074182
12014,-2.239847
12029,3.675145
12036,4.074182
12037,-1.502556
12041,4.074182
12054,-2.099319
13001,-3.099525
13003,3.675145
13004,-1.502556
13007,-2.099319
13010,2.220027
13012,4.074182
13013,2.220027
13019,-1.502556
15005,-3.099525
15012,2.220027
15016,-2.239847
15023,.9677525
15024,6.111408
15026,-2.239847
15027,-3.099525
15030,-1.502556
23003,-2.239847
23007,4.074182
23016,-2.099319
23027,.9677525
23031,4.074182
23035,.9677525
23036,-3.099525
23039,-2.239847
27001,3.675145
27003,-1.502556
27006,-3.099525
27009,-3.099525
27011,4.074182
27029,-3.099525
27030,2.220027
27039,.7676596
31001,4.074182
31002,-1.502556
31003,-3.099525
31004,.7676596
31005,3.675145
31009,.7676596
31012,.7676596
31014,-2.239847
36002,.9677525
36011,3.675145
36013,3.675145
36018,2.220027
36021,-1.502556
36040,-1.502556
36046,-1.502556
36053,6.111408
38001,-3.099525
38002,2.739051
38003,4.074182
38005,-1.502556
38006,-2.239847
38007,6.111408
38010,-3.099525
38013,4.074182
39004,-3.099525
39006,3.675145
39007,2.220027
39011,-1.502556
39012,4.074182
39013,4.074182
39018,6.111408
39023,5.711614
40001,6.111408
40003,-1.502556
40004,4.074182
40005,6.111408
40006,4.074182
40008,-1.502556
40009,2.220027
40011,-3.099525
42001,.7676596
42007,.7676596
42008,4.074182
42010,-3.099525
42011,3.675145
42012,2.220027
42013,4.074182
42018,4.074182
42025,3.675145
44003,-1.502556
44006,-2.099319
44007,-3.099525
44008,2.220027
44013,-3.099525
44019,-2.239847
44027,-3.099525
44028,-3.099525
45001,-1.502556
45002,3.06135
45009,-1.502556
45010,4.074182
45011,4.074182
45012,2.220027
45016,-3.099525
45019,3.675145
51002,.9677525
51006,.9677525
51009,-2.239847
51011,-1.502556
51022,-1.502556
51027,-3.099525
51030,4.074182
57001,-3.099525
57003,4.074182
57004,3.150559
57005,-1.502556
57006,-3.099525
57007,2.220027
57008,-1.502556
57009,-3.099525
57010,2.220027
66001,6.111408
66002,4.074182
66003,4.074182
66004,2.739051
66006,-2.239847
66009,2.220027
66010,-2.099319
74003,-1.502556
74007,-3.099525
74008,6.111408
74013,2.220027
74015,3.675145
74016,-2.099319
74019,-3.099525
74026,-2.239847
95002,-2.239847
95003,3.06135
95008,3.06135
95020,-3.099525
95025,.7676596
95028,4.074182
95030,6.111408
95032,4.074182
98006,-2.239847
98008,-1.502556
98009,2.220027
98010,-1.502556
98011,-1.502556
98017,3.675145
98018,-2.099319
98026,5.711614
99002,-3.099525
99003,-3.099525
99004,-2.239847
99007,-3.099525
99009,2.220027
99011,2.220027
99012,-3.099525
99013,3.675145
100001,-1.502556
100003,.9677525
100006,3.06135
100007,4.074182
100011,-3.099525
100016,2.220027
100017,4.074182
102002,2.220027
102003,2.220027
102005,3.06135
102007,-1.502556
102013,4.074182
102016,-1.502556
102017,-3.099525
102018,4.074182
103002,-1.502556
103003,-1.502556
103007,-3.099525
103010,4.074182
103012,.9677525
103013,-2.239847
103016,3.675145
103022,2.739051
109001,4.074182
109005,-1.502556
109006,-1.502556
109007,-1.502556
109011,2.220027
109014,-1.502556
109018,-1.502556
109025,6.111408
111001,-3.099525
111002,-1.502556
111004,-3.099525
111006,-3.099525
111009,-2.239847
111011,-1.502556
111012,-3.099525
111016,3.675145
112006,-3.099525
112009,-1.502556
112012,-1.502556
112016,3.675145
112030,2.220027
112031,4.074182
112037,-3.099525
112040,2.220027
114002,.7676596
114003,-3.099525
114006,4.074182
114007,-3.099525
114010,-2.239847
114012,4.074182
114015,4.074182
114016,2.739051
117003,3.675145
117009,-3.099525
117012,-3.099525
117015,-3.099525
117020,2.220027
117026,2.220027
117028,4.074182
117029,4.074182
121004,-3.099525
121007,-1.502556
121008,-3.099525
121009,-1.502556
121013,-3.099525
121018,2.220027
121021,2.220027
122001,4.074182
122003,-2.099319
122009,-3.099525
122012,3.675145
122018,-3.099525
122021,-3.099525
122027,6.111408
122031,-2.099319
123001,3.603909
123005,2.220027
123006,-3.099525
123008,2.739051
123015,-1.502556
123025,-3.099525
123026,-2.239847
123028,6.111408
126001,.7676596
126003,2.739051
126006,4.074182
126008,-1.502556
126009,6.111408
126010,2.739051
126011,3.675145
126014,2.739051
127004,-3.099525
127006,-2.239847
127007,2.220027
127008,4.074182
127012,4.074182
127018,-3.099525
127020,-3.099525
128001,4.074182
128003,3.603909
128007,3.675145
128008,-2.099319
128010,4.074182
128012,4.074182
128013,.9677525
128017,.7676596
132009,-2.239847
132014,.7676596
132018,2.220027
132019,3.06135
132025,4.074182
132026,3.675145
132029,3.661603
132030,3.675145
132031,-2.239847
134004,-3.099525
134005,4.074182
134015,-3.099525
134020,-3.099525
134021,-3.099525
134029,-2.239847
134039,-3.099525
134042,-3.099525
137002,4.074182
137003,3.675145
137004,-2.239847
137006,5.711614
137014,-2.099319
137017,-3.099525
137021,2.220027
137025,4.074182
148004,2.220027
148005,2.739051
148009,4.074182
148011,3.06135
148012,-1.502556
148013,5.711614
148019,2.220027
148034,-3.099525
160001,-3.099525
160003,-3.099525
160005,-3.099525
160008,4.074182
160017,-1.502556
160018,-1.502556
160021,-3.099525
160027,6.111408
161003,-3.099525
161018,4.074182
161022,4.074182
161025,4.074182
161040,4.074182
161049,-3.099525
161052,-3.099525
161055,-1.502556
165007,6.111408
165010,4.074182
165013,2.220027
165015,-3.099525
165021,3.202599
165022,4.074182
165023,-1.502556
165041,-3.099525
167003,-1.502556
167004,4.074182
167009,-3.099525
167013,-1.502556
167014,3.06135
167015,3.202599
167020,-3.099525
167021,-3.099525
172001,-1.502556
172008,3.202599
172012,-2.239847
172017,-3.099525
172018,2.220027
172019,2.220027
172022,4.074182
172031,-3.099525
180001,-1.502556
180002,.7676596
180003,-2.239847
180004,-2.239847
180006,3.675145
180007,2.220027
180009,-3.099525
180012,4.074182
182001,2.220027
182005,-1.502556
