subject,WTP
3001,3.203876
3004,3.203876
3008,3.203876
3009,3.203876
3010,3.203876
3011,3.203876
3014,3.203876
3015,3.203876
4003,-2.67297
4006,-2.67297
4010,-2.67297
4011,-2.67297
4013,-2.67297
4016,-2.67297
4022,-2.67297
4024,-2.67297
11006,-1.435804
11008,-1.435804
11009,-1.435804
11010,-1.435804
11012,-1.435804
11016,-1.435804
11022,-1.435804
11032,-1.435804
11034,-1.435804
12001,13.93673
12002,13.93673
12014,13.93673
12029,13.93673
12036,13.93673
12037,13.93673
12041,13.93673
12054,13.93673
13001,-1.435804
13003,-1.435804
13004,-1.435804
13007,-1.435804
13010,-1.435804
13012,-1.435804
13013,-1.435804
13019,-1.435804
15005,-1.992496
15012,-1.992496
15016,-1.992496
15023,-1.992496
15024,-1.992496
15026,-1.992496
15027,-1.992496
15030,-1.992496
23003,3.203876
23007,3.203876
23016,3.203876
23027,3.203876
23031,3.203876
23035,3.203876
23036,3.203876
23039,3.203876
27001,.4405038
27003,.4405038
27006,.4405038
27009,.4405038
27011,.4405038
27029,.4405038
27030,.4405038
27039,.4405038
31001,.4405038
31002,.4405038
31003,.4405038
31004,.4405038
31005,.4405038
31009,.4405038
31012,.4405038
31014,.4405038
36002,-1.435804
36011,-1.435804
36013,-1.435804
36018,-1.435804
36021,-1.435804
36040,-1.435804
36046,-1.435804
36053,-1.435804
38001,-1.992496
38002,-1.992496
38003,-1.992496
38005,-1.992496
38006,-1.992496
38007,-1.992496
38010,-1.992496
38013,-1.992496
39004,13.93673
39006,13.93673
39007,13.93673
39011,13.93673
39012,13.93673
39013,13.93673
39018,13.93673
39023,13.93673
40001,3.203876
40003,3.203876
40004,3.203876
40005,3.203876
40006,3.203876
40008,3.203876
40009,3.203876
40011,3.203876
42001,13.93673
42007,13.93673
42008,13.93673
42010,13.93673
42011,13.93673
42012,13.93673
42013,13.93673
42018,13.93673
42025,13.93673
44003,-1.992496
44006,-1.992496
44007,-1.992496
44008,-1.992496
44013,-1.992496
44019,-1.992496
44027,-1.992496
44028,-1.992496
45001,2.654763
45002,2.654763
45009,2.654763
45010,2.654763
45011,2.654763
45012,2.654763
45016,2.654763
45019,2.654763
51002,2.654763
51006,2.654763
51009,2.654763
51011,2.654763
51022,2.654763
51027,2.654763
51030,2.654763
57001,8.224296
57003,8.224296
57004,8.224296
57005,8.224296
57006,8.224296
57007,8.224296
57008,8.224296
57009,8.224296
57010,8.224296
66001,13.93673
66002,13.93673
66003,13.93673
66004,13.93673
66006,13.93673
66009,13.93673
66010,13.93673
74003,2.654763
74007,2.654763
74008,2.654763
74013,2.654763
74015,2.654763
74016,2.654763
74019,2.654763
74026,2.654763
95002,2.654763
95003,2.654763
95008,2.654763
95020,2.654763
95025,2.654763
95028,2.654763
95030,2.654763
95032,2.654763
98006,2.654763
98008,2.654763
98009,2.654763
98010,2.654763
98011,2.654763
98017,2.654763
98018,2.654763
98026,2.654763
99002,13.93673
99003,13.93673
99004,13.93673
99007,13.93673
99009,13.93673
99011,13.93673
99012,13.93673
99013,13.93673
100001,2.654763
100003,2.654763
100006,2.654763
100007,2.654763
100011,2.654763
100016,2.654763
100017,2.654763
102002,-1.992496
102003,-1.992496
102005,-1.992496
102007,-1.992496
102013,-1.992496
102016,-1.992496
102017,-1.992496
102018,-1.992496
103002,2.654763
103003,2.654763
103007,2.654763
103010,2.654763
103012,2.654763
103013,2.654763
103016,2.654763
103022,2.654763
109001,3.203876
109005,3.203876
109006,3.203876
109007,3.203876
109011,3.203876
109014,3.203876
109018,3.203876
109025,3.203876
111001,13.93673
111002,13.93673
111004,13.93673
111006,13.93673
111009,13.93673
111011,13.93673
111012,13.93673
111016,13.93673
112006,-1.435804
112009,-1.435804
112012,-1.435804
112016,-1.435804
112030,-1.435804
112031,-1.435804
112037,-1.435804
112040,-1.435804
114002,3.203876
114003,3.203876
114006,3.203876
114007,3.203876
114010,3.203876
114012,3.203876
114015,3.203876
114016,3.203876
117003,2.654763
117009,2.654763
117012,2.654763
117015,2.654763
117020,2.654763
117026,2.654763
117028,2.654763
117029,2.654763
121004,-1.435804
121007,-1.435804
121008,-1.435804
121009,-1.435804
121013,-1.435804
121018,-1.435804
121021,-1.435804
122001,13.93673
122003,13.93673
122009,13.93673
122012,13.93673
122018,13.93673
122021,13.93673
122027,13.93673
122031,13.93673
123001,3.203876
123005,3.203876
123006,3.203876
123008,3.203876
123015,3.203876
123025,3.203876
123026,3.203876
123028,3.203876
126001,13.93673
126003,13.93673
126006,13.93673
126008,13.93673
126009,13.93673
126010,13.93673
126011,13.93673
126014,13.93673
127004,2.654763
127006,2.654763
127007,2.654763
127008,2.654763
127012,2.654763
127018,2.654763
127020,2.654763
128001,2.654763
128003,2.654763
128007,2.654763
128008,2.654763
128010,2.654763
128012,2.654763
128013,2.654763
128017,2.654763
132009,13.93673
132014,13.93673
132018,13.93673
132019,13.93673
132025,13.93673
132026,13.93673
132029,13.93673
132030,13.93673
132031,13.93673
134004,2.654763
134005,2.654763
134015,2.654763
134020,2.654763
134021,2.654763
134029,2.654763
134039,2.654763
134042,2.654763
137002,2.654763
137003,2.654763
137004,2.654763
137006,2.654763
137014,2.654763
137017,2.654763
137021,2.654763
137025,2.654763
148004,3.203876
148005,3.203876
148009,3.203876
148011,3.203876
148012,3.203876
148013,3.203876
148019,3.203876
148034,3.203876
160001,3.203876
160003,3.203876
160005,3.203876
160008,3.203876
160017,3.203876
160018,3.203876
160021,3.203876
160027,3.203876
161003,2.654763
161018,2.654763
161022,2.654763
161025,2.654763
161040,2.654763
161049,2.654763
161052,2.654763
161055,2.654763
165007,3.203876
165010,3.203876
165013,3.203876
165015,3.203876
165021,3.203876
165022,3.203876
165023,3.203876
165041,3.203876
167003,.821945
167004,.821945
167009,.821945
