subject,WTP
3001,4.172521
3004,4.172521
3008,4.172521
3009,4.172521
3010,4.172521
3011,4.172521
3014,4.172521
3015,4.172521
4003,-.1876154
4006,-.1876154
4010,-.1876154
4011,-.1876154
4013,-.1876154
4016,-.1876154
4022,-.1876154
4024,-.1876154
11006,-.1876154
11008,-.1876154
11009,-.1876154
11010,-.1876154
11012,-.1876154
11016,-.1876154
11022,-.1876154
11032,-.1876154
11034,-.1876154
12001,4.172521
12002,4.172521
12014,4.172521
12029,4.172521
12036,4.172521
12037,4.172521
12041,4.172521
12054,4.172521
13001,-.1876154
13003,-.1876154
13004,-.1876154
13007,-.1876154
13010,-.1876154
13012,-.1876154
13013,-.1876154
13019,-.1876154
15005,-.1876154
15012,-.1876154
15016,-.1876154
15023,-.1876154
15024,-.1876154
15026,-.1876154
15027,-.1876154
15030,-.1876154
23003,4.172521
23007,4.172521
23016,4.172521
23027,4.172521
23031,4.172521
23035,4.172521
23036,4.172521
23039,4.172521
27001,1.552876
27003,1.552876
27006,1.552876
27009,1.552876
27011,1.552876
27029,1.552876
27030,1.552876
27039,1.552876
31001,1.552876
31002,1.552876
31003,1.552876
31004,1.552876
31005,1.552876
31009,1.552876
31012,1.552876
31014,1.552876
36002,-.1876154
36011,-.1876154
36013,-.1876154
36018,-.1876154
36021,-.1876154
36040,-.1876154
36046,-.1876154
36053,-.1876154
38001,-.1876154
38002,-.1876154
38003,-.1876154
38005,-.1876154
38006,-.1876154
38007,-.1876154
38010,-.1876154
38013,-.1876154
39004,4.172521
39006,4.172521
39007,4.172521
39011,4.172521
39012,4.172521
39013,4.172521
39018,4.172521
39023,4.172521
40001,4.172521
40003,4.172521
40004,4.172521
40005,4.172521
40006,4.172521
40008,4.172521
40009,4.172521
40011,4.172521
42001,4.172521
42007,4.172521
42008,4.172521
42010,4.172521
42011,4.172521
42012,4.172521
42013,4.172521
42018,4.172521
42025,4.172521
44003,-.1876154
44006,-.1876154
44007,-.1876154
44008,-.1876154
44013,-.1876154
44019,-.1876154
44027,-.1876154
44028,-.1876154
45001,1.552876
45002,1.552876
45009,1.552876
45010,1.552876
45011,1.552876
45012,1.552876
45016,1.552876
45019,1.552876
51002,1.552876
51006,1.552876
51009,1.552876
51011,1.552876
51022,1.552876
51027,1.552876
51030,1.552876
57001,-.1876154
57003,-.1876154
57004,-.1876154
57005,-.1876154
57006,-.1876154
57007,-.1876154
57008,-.1876154
57009,-.1876154
57010,-.1876154
66001,4.172521
66002,4.172521
66003,4.172521
66004,4.172521
66006,4.172521
66009,4.172521
66010,4.172521
74003,1.552876
74007,1.552876
74008,1.552876
74013,1.552876
74015,1.552876
74016,1.552876
74019,1.552876
74026,1.552876
95002,1.552876
95003,1.552876
95008,1.552876
95020,1.552876
95025,1.552876
95028,1.552876
95030,1.552876
95032,1.552876
98006,1.552876
98008,1.552876
98009,1.552876
98010,1.552876
98011,1.552876
98017,1.552876
98018,1.552876
98026,1.552876
99002,4.172521
99003,4.172521
99004,4.172521
99007,4.172521
99009,4.172521
99011,4.172521
99012,4.172521
99013,4.172521
100001,1.552876
100003,1.552876
100006,1.552876
100007,1.552876
100011,1.552876
100016,1.552876
100017,1.552876
102002,-.1876154
102003,-.1876154
102005,-.1876154
102007,-.1876154
102013,-.1876154
102016,-.1876154
102017,-.1876154
102018,-.1876154
103002,1.552876
103003,1.552876
103007,1.552876
103010,1.552876
103012,1.552876
103013,1.552876
103016,1.552876
103022,1.552876
109001,4.172521
109005,4.172521
109006,4.172521
109007,4.172521
109011,4.172521
109014,4.172521
109018,4.172521
109025,4.172521
111001,4.172521
111002,4.172521
111004,4.172521
111006,4.172521
111009,4.172521
111011,4.172521
111012,4.172521
111016,4.172521
112006,-.1876154
112009,-.1876154
112012,-.1876154
112016,-.1876154
112030,-.1876154
112031,-.1876154
112037,-.1876154
112040,-.1876154
114002,4.172521
114003,4.172521
114006,4.172521
114007,4.172521
114010,4.172521
114012,4.172521
114015,4.172521
114016,4.172521
117003,1.552876
117009,1.552876
117012,1.552876
117015,1.552876
117020,1.552876
117026,1.552876
117028,1.552876
117029,1.552876
121004,-.1876154
121007,-.1876154
121008,-.1876154
121009,-.1876154
121013,-.1876154
121018,-.1876154
121021,-.1876154
122001,4.172521
122003,4.172521
122009,4.172521
122012,4.172521
122018,4.172521
122021,4.172521
122027,4.172521
122031,4.172521
123001,4.172521
123005,4.172521
123006,4.172521
123008,4.172521
123015,4.172521
123025,4.172521
123026,4.172521
123028,4.172521
126001,4.172521
126003,4.172521
126006,4.172521
126008,4.172521
126009,4.172521
126010,4.172521
126011,4.172521
126014,4.172521
127004,1.552876
127006,1.552876
127007,1.552876
127008,1.552876
127012,1.552876
127018,1.552876
127020,1.552876
128001,1.552876
128003,1.552876
128007,1.552876
128008,1.552876
128010,1.552876
128012,1.552876
128013,1.552876
128017,1.552876
132009,4.172521
132014,4.172521
132018,4.172521
132019,4.172521
132025,4.172521
132026,4.172521
132029,4.172521
132030,4.172521
132031,4.172521
134004,1.552876
134005,1.552876
134015,1.552876
134020,1.552876
134021,1.552876
134029,1.552876
134039,1.552876
134042,1.552876
137002,1.552876
137003,1.552876
137004,1.552876
137006,1.552876
137014,1.552876
137017,1.552876
137021,1.552876
137025,1.552876
148004,4.172521
148005,4.172521
148009,4.172521
148011,4.172521
148012,4.172521
148013,4.172521
148019,4.172521
148034,4.172521
160001,4.172521
160003,4.172521
160005,4.172521
160008,4.172521
160017,4.172521
160018,4.172521
160021,4.172521
160027,4.172521
161003,1.552876
161018,1.552876
161022,1.552876
161025,1.552876
161040,1.552876
161049,1.552876
161052,1.552876
161055,1.552876
165007,4.172521
165010,4.172521
165013,4.172521
165015,4.172521
165021,4.172521
165022,4.172521
165023,4.172521
165041,4.172521
167003,4.172521
167004,4.172521
167009,4.172521
167013,4.172521
167014,4.172521
167015,4.172521
167020,4.172521
167021,4.172521
172001,4.172521
172008,4.172521
172012,4.172521
172017,4.172521
172018,4.172521
172019,4.172521
172022,4.172521
172031,4.172521
180001,4.172521
180002,4.172521
180003,4.172521
180004,4.172521
180006,4.172521
180007,4.172521
180009,4.172521
180012,4.172521
182001,1.552876
182005,1.552876
182006,1.552876
182008,1.552876
182025,1.552876
182028,1.552876
182030,1.552876
182047,1.552876
184003,1.552876
184019,1.552876
184021,1.552876
184024,1.552876
184025,1.552876
184035,1.552876
184040,1.552876
184049,1.552876
201001,-.1876154
201004,-.1876154
201005,-.1876154
201006,-.1876154
201008,-.1876154
201009,-.1876154
201011,-.1876154
201012,-.1876154
215002,1.552876
215005,1.552876
215006,1.552876
215008,1.552876
215015,1.552876
215017,1.552876
215018,1.552876
215025,1.552876
217001,4.172521
217003,4.172521
217006,4.172521
217012,4.172521
217015,4.172521
217016,4.172521
217019,4.172521
217023,4.172521
219012,1.552876
219022,1.552876
219024,1.552876
219033,1.552876
219038,1.552876
219046,1.552876
219048,1.552876
219054,1.552876
220002,1.552876
220010,1.552876
220013,1.552876
220019,1.552876
220022,1.552876
220023,1.552876
220029,1.552876
220031,1.552876
227008,1.552876
227013,1.552876
227016,1.552876
227017,1.552876
227019,1.552876
227026,1.552876
227031,1.552876
227035,1.552876
229004,4.172521
229008,4.172521
229012,4.172521
229024,4.172521
229025,4.172521
229027,4.172521
229031,4.172521
229032,4.172521
231002,1.552876
231006,1.552876
231011,1.552876
231013,1.552876
231032,1.552876
231035,1.552876
231036,1.552876
231037,1.552876
232010,-.1876154
232011,-.1876154
232013,-.1876154
232017,-.1876154
232036,-.1876154
232041,-.1876154
232049,-.1876154
232057,-.1876154
243001,1.552876
243002,1.552876
243003,1.552876
243008,1.552876
243011,1.552876
243015,1.552876
243016,1.552876
243022,1.552876
249001,-.1876154
249002,-.1876154
249003,-.1876154
249004,-.1876154
249005,-.1876154
249007,-.1876154
249008,-.1876154
249009,-.1876154
253002,4.172521
253003,4.172521
253004,4.172521
253007,4.172521
253015,4.172521
253017,4.172521
253021,4.172521
253028,4.172521
286005,1.552876
286007,1.552876
286015,1.552876
286026,1.552876
286028,1.552876
286029,1.552876
286034,1.552876
286041,1.552876
286044,1.552876
287001,1.552876
287005,1.552876
287006,1.552876
287013,1.552876
287014,1.552876
287017,1.552876
287023,1.552876
287026,1.552876
294005,4.172521
294011,4.172521
294013,4.172521
294018,4.172521
294019,4.172521
294022,4.172521
294048,4.172521
294051,4.172521
299014,4.172521
299016,4.172521
299017,4.172521
299033,4.172521
299045,4.172521
299047,4.172521
299048,4.172521
299058,4.172521
500011,4.172521
500012,4.172521
500016,4.172521
500018,4.172521
500019,4.172521
500022,4.172521
500023,4.172521
500024,4.172521
502003,4.172521
502004,4.172521
502006,4.172521
502011,4.172521
502012,4.172521
502013,4.172521
502015,4.172521
502033,4.172521
508002,-.1876154
508004,-.1876154
508007,-.1876154
508008,-.1876154
508011,-.1876154
508013,-.1876154
508017,-.1876154
508027,-.1876154
510007,-.1876154
510010,-.1876154
510011,-.1876154
510012,-.1876154
510023,-.1876154
510025,-.1876154
510026,-.1876154
510029,-.1876154
513001,4.172521
513003,4.172521
513005,4.172521
513007,4.172521
513014,4.172521
513017,4.172521
513019,4.172521
513021,4.172521
516009,-.1876154
516011,-.1876154
516014,-.1876154
516015,-.1876154
516018,-.1876154
516020,-.1876154
516023,-.1876154
516026,-.1876154
517005,4.172521
517010,4.172521
517013,4.172521
517024,4.172521
517038,4.172521
517041,4.172521
517044,4.172521
517047,4.172521
519006,4.172521
519008,4.172521
519009,4.172521
519013,4.172521
519022,4.172521
519027,4.172521
519035,4.172521
519038,4.172521
524002,1.552876
524004,1.552876
524005,1.552876
524008,1.552876
524010,1.552876
524011,1.552876
524014,1.552876
524023,1.552876
526001,1.552876
526002,1.552876
526011,1.552876
526021,1.552876
526022,1.552876
526023,1.552876
526025,1.552876
526035,1.552876
529001,1.552876
529006,1.552876
529010,1.552876
529011,1.552876
529016,1.552876
529020,1.552876
529023,1.552876
529024,1.552876
531002,1.552876
531005,1.552876
531013,1.552876
531020,1.552876
531026,1.552876
531029,1.552876
531032,1.552876
532002,-.1876154
532009,-.1876154
532010,-.1876154
532011,-.1876154
532017,-.1876154
532020,-.1876154
532024,-.1876154
537001,4.172521
537005,4.172521
537006,4.172521
537007,4.172521
537009,4.172521
537012,4.172521
537019,4.172521
537026,4.172521
538002,1.552876
538008,1.552876
538010,1.552876
538020,1.552876
538022,1.552876
538023,1.552876
538032,1.552876
538038,1.552876
550001,1.552876
550002,1.552876
550006,1.552876
550007,1.552876
550011,1.552876
550013,1.552876
550014,1.552876
550015,1.552876
552001,1.552876
552002,1.552876
552005,1.552876
552008,1.552876
552022,1.552876
552035,1.552876
552040,1.552876
552043,1.552876
554008,4.172521
554010,4.172521
554011,4.172521
554017,4.172521
554018,4.172521
554020,4.172521
554027,4.172521
554028,4.172521
557001,1.552876
557002,1.552876
557003,1.552876
557005,1.552876
557006,1.552876
557010,1.552876
557011,1.552876
557014,1.552876
566005,1.552876
566006,1.552876
566009,1.552876
566010,1.552876
566015,1.552876
566021,1.552876
566023,1.552876
566031,1.552876
569001,1.552876
569002,1.552876
569003,1.552876
569004,1.552876
569006,1.552876
569007,1.552876
569008,1.552876
569010,1.552876
570006,4.172521
570007,4.172521
570008,4.172521
570017,4.172521
570019,4.172521
570034,4.172521
570041,4.172521
603002,4.172521
603008,4.172521
603009,4.172521
603012,4.172521
603013,4.172521
603015,4.172521
603020,4.172521
603022,4.172521
631022,1.552876
631024,1.552876
631029,1.552876
631032,1.552876
631034,1.552876
631037,1.552876
631038,1.552876
631045,1.552876
633001,4.172521
633004,4.172521
633005,4.172521
633007,4.172521
633009,4.172521
633010,4.172521
633014,4.172521
633019,4.172521
634001,1.552876
634002,1.552876
634003,1.552876
634004,1.552876
634005,1.552876
634010,1.552876
634014,1.552876
634017,1.552876
659001,4.172521
659002,4.172521
659005,4.172521
659012,4.172521
659014,4.172521
659021,4.172521
659022,4.172521
659026,4.172521
662001,4.172521
662004,4.172521
662007,4.172521
662009,4.172521
662021,4.172521
662030,4.172521
662039,4.172521
662040,4.172521
702005,-.1876154
702006,-.1876154
702007,-.1876154
702008,-.1876154
702011,-.1876154
702019,-.1876154
702026,-.1876154
702035,-.1876154
704002,-.1876154
704008,-.1876154
704009,-.1876154
704013,-.1876154
704014,-.1876154
704015,-.1876154
704016,-.1876154
704021,-.1876154
718001,1.552876
718002,1.552876
718003,1.552876
718005,1.552876
718006,1.552876
718007,1.552876
718010,1.552876
718011,1.552876
720004,4.172521
720005,4.172521
720007,4.172521
720009,4.172521
720011,4.172521
720014,4.172521
720025,4.172521
720029,4.172521
740002,1.552876
740003,1.552876
740006,1.552876
740007,1.552876
740008,1.552876
740010,1.552876
740011,1.552876
740016,1.552876
741001,1.552876
741002,1.552876
741004,1.552876
741007,1.552876
741010,1.552876
741011,1.552876
741013,1.552876
742001,1.552876
742003,1.552876
742008,1.552876
742010,1.552876
742011,1.552876
742014,1.552876
742015,1.552876
742017,1.552876
743001,1.552876
743002,1.552876
743003,1.552876
743004,1.552876
743005,1.552876
743006,1.552876
743008,1.552876
743009,1.552876
744001,1.552876
744002,1.552876
744003,1.552876
744004,1.552876
744006,1.552876
744007,1.552876
744008,1.552876
744009,1.552876
746001,1.552876
746002,1.552876
746003,1.552876
746005,1.552876
746006,1.552876
746008,1.552876
746012,1.552876
746013,1.552876
747001,1.552876
747002,1.552876
747003,1.552876
747004,1.552876
747005,1.552876
747008,1.552876
747012,1.552876
747014,1.552876
752003,1.552876
752011,1.552876
752012,1.552876
752015,1.552876
752017,1.552876
752021,1.552876
752024,1.552876
752025,1.552876
753001,1.552876
753004,1.552876
753005,1.552876
753007,1.552876
753008,1.552876
753012,1.552876
753014,1.552876
753016,1.552876
756001,4.172521
756002,4.172521
756007,4.172521
756014,4.172521
756015,4.172521
756016,4.172521
756018,4.172521
756019,4.172521
764001,1.552876
764003,1.552876
764006,1.552876
764016,1.552876
764023,1.552876
764027,1.552876
764029,1.552876
764032,1.552876
767001,1.552876
767002,1.552876
767003,1.552876
767005,1.552876
767006,1.552876
767011,1.552876
767012,1.552876
768001,4.172521
768002,4.172521
768005,4.172521
768007,4.172521
768009,4.172521
768015,4.172521
768018,4.172521
768022,4.172521
769001,1.552876
769002,1.552876
769004,1.552876
769005,1.552876
769010,1.552876
769011,1.552876
769017,1.552876
769018,1.552876
770004,4.172521
770005,4.172521
770006,4.172521
770009,4.172521
770011,4.172521
770012,4.172521
770015,4.172521
770023,4.172521
771001,1.552876
771003,1.552876
771006,1.552876
771007,1.552876
771008,1.552876
771009,1.552876
771010,1.552876
771011,1.552876
773001,1.552876
773003,1.552876
773005,1.552876
773006,1.552876
773010,1.552876
773016,1.552876
773018,1.552876
773020,1.552876
774001,4.172521
774017,4.172521
774032,4.172521
774036,4.172521
774038,4.172521
774040,4.172521
774047,4.172521
774048,4.172521
775003,4.172521
775004,4.172521
775005,4.172521
775011,4.172521
775012,4.172521
775013,4.172521
775030,4.172521
775034,4.172521
776007,-.1876154
776010,-.1876154
776012,-.1876154
776018,-.1876154
776022,-.1876154
776024,-.1876154
776034,-.1876154
776036,-.1876154
777001,-.1876154
777005,-.1876154
777006,-.1876154
777007,-.1876154
777008,-.1876154
777016,-.1876154
777024,-.1876154
777030,-.1876154
778002,-.1876154
778003,-.1876154
778010,-.1876154
778011,-.1876154
778012,-.1876154
778016,-.1876154
778038,-.1876154
778043,-.1876154
779001,1.552876
779003,1.552876
779004,1.552876
779005,1.552876
779006,1.552876
779007,1.552876
779008,1.552876
779011,1.552876
781002,4.172521
781003,4.172521
781004,4.172521
781005,4.172521
781006,4.172521
781009,4.172521
781015,4.172521
781019,4.172521
782001,1.552876
782006,1.552876
782008,1.552876
782018,1.552876
782023,1.552876
782026,1.552876
782027,1.552876
782028,1.552876
783001,1.552876
783002,1.552876
783006,1.552876
783013,1.552876
783015,1.552876
783016,1.552876
783017,1.552876
783019,1.552876
784001,4.172521
784002,4.172521
784003,4.172521
784004,4.172521
784005,4.172521
784006,4.172521
784007,4.172521
784009,4.172521
787001,-.1876154
787002,-.1876154
787003,-.1876154
787004,-.1876154
787018,-.1876154
787020,-.1876154
787024,-.1876154
787025,-.1876154
789001,1.552876
789002,1.552876
789004,1.552876
789006,1.552876
789016,1.552876
789017,1.552876
789018,1.552876
789019,1.552876
791002,4.172521
791003,4.172521
791004,4.172521
791005,4.172521
791008,4.172521
791009,4.172521
791011,4.172521
791014,4.172521
792003,-.1876154
792004,-.1876154
792005,-.1876154
792006,-.1876154
792008,-.1876154
792016,-.1876154
792017,-.1876154
792027,-.1876154
794012,4.172521
794014,4.172521
794018,4.172521
794021,4.172521
794032,4.172521
794033,4.172521
794035,4.172521
794056,4.172521
795001,1.552876
795002,1.552876
795003,1.552876
795004,1.552876
795006,1.552876
795007,1.552876
795015,1.552876
795018,1.552876
796002,1.552876
796005,1.552876
796009,1.552876
796010,1.552876
796011,1.552876
796017,1.552876
796025,1.552876
796026,1.552876
798002,1.552876
798003,1.552876
798004,1.552876
798006,1.552876
798007,1.552876
798009,1.552876
798011,1.552876
798013,1.552876
799001,-.1876154
799005,-.1876154
799006,-.1876154
799009,-.1876154
799010,-.1876154
799012,-.1876154
799013,-.1876154
799015,-.1876154
801001,1.552876
801003,1.552876
801005,1.552876
801011,1.552876
801012,1.552876
801013,1.552876
801016,1.552876
801019,1.552876
805002,1.552876
805004,1.552876
805005,1.552876
805009,1.552876
805010,1.552876
805011,1.552876
805012,1.552876
805013,1.552876
811001,4.172521
811002,4.172521
811003,4.172521
811004,4.172521
811006,4.172521
811008,4.172521
811009,4.172521
811010,4.172521
812003,1.552876
812005,1.552876
812006,1.552876
812010,1.552876
812013,1.552876
812015,1.552876
812016,1.552876
812018,1.552876
812024,1.552876
813001,-.1876154
813005,-.1876154
813011,-.1876154
813012,-.1876154
813015,-.1876154
813017,-.1876154
813022,-.1876154
813035,-.1876154
816009,4.172521
816010,4.172521
816012,4.172521
816014,4.172521
816015,4.172521
816016,4.172521
816017,4.172521
816020,4.172521
816024,4.172521
817008,1.552876
817009,1.552876
817020,1.552876
817021,1.552876
817022,1.552876
817023,1.552876
817024,1.552876
817031,1.552876
819001,4.172521
819002,4.172521
819004,4.172521
819010,4.172521
819011,4.172521
819015,4.172521
819017,4.172521
820001,4.172521
820002,4.172521
820005,4.172521
820007,4.172521
820011,4.172521
820012,4.172521
820014,4.172521
820017,4.172521
821001,4.172521
821004,4.172521
821005,4.172521
821006,4.172521
821008,4.172521
821009,4.172521
821012,4.172521
821014,4.172521
822002,1.552876
822003,1.552876
822004,1.552876
822007,1.552876
822008,1.552876
822009,1.552876
822012,1.552876
822014,1.552876
823001,1.552876
823006,1.552876
823012,1.552876
823013,1.552876
823014,1.552876
823015,1.552876
823020,1.552876
823029,1.552876
824001,1.552876
824003,1.552876
824006,1.552876
824008,1.552876
824010,1.552876
824013,1.552876
824015,1.552876
824017,1.552876
826001,1.552876
826002,1.552876
826003,1.552876
826004,1.552876
826005,1.552876
826006,1.552876
826007,1.552876
826012,1.552876
828001,4.172521
828002,4.172521
828003,4.172521
828004,4.172521
828005,4.172521
828007,4.172521
828008,4.172521
828009,4.172521
831001,4.172521
831002,4.172521
831003,4.172521
831004,4.172521
831006,4.172521
831007,4.172521
831010,4.172521
831012,4.172521
832001,-.1876154
832002,-.1876154
832005,-.1876154
832007,-.1876154
832012,-.1876154
832016,-.1876154
832019,-.1876154
832024,-.1876154
834004,4.172521
834005,4.172521
834009,4.172521
834010,4.172521
834011,4.172521
834012,4.172521
834019,4.172521
834021,4.172521
835001,1.552876
835002,1.552876
835003,1.552876
835005,1.552876
835006,1.552876
835007,1.552876
835008,1.552876
835009,1.552876
836001,4.172521
836002,4.172521
836003,4.172521
836004,4.172521
836007,4.172521
836011,4.172521
836013,4.172521
836014,4.172521
837001,1.552876
837002,1.552876
837004,1.552876
837005,1.552876
837007,1.552876
837009,1.552876
837010,1.552876
837011,1.552876
838003,1.552876
838004,1.552876
838007,1.552876
838009,1.552876
838011,1.552876
838013,1.552876
838014,1.552876
838015,1.552876
841005,-.1876154
841008,-.1876154
841010,-.1876154
841012,-.1876154
841016,-.1876154
841017,-.1876154
841018,-.1876154
841019,-.1876154
842004,-.1876154
842005,-.1876154
842006,-.1876154
842007,-.1876154
842008,-.1876154
842009,-.1876154
842014,-.1876154
842015,-.1876154
843001,1.552876
843003,1.552876
843005,1.552876
843006,1.552876
843007,1.552876
843008,1.552876
843009,1.552876
843013,1.552876
844003,-.1876154
844006,-.1876154
844009,-.1876154
844014,-.1876154
844015,-.1876154
844016,-.1876154
844017,-.1876154
844020,-.1876154
845001,1.552876
845004,1.552876
845015,1.552876
845016,1.552876
845017,1.552876
845018,1.552876
845020,1.552876
845025,1.552876
847005,4.172521
847007,4.172521
847010,4.172521
847011,4.172521
847014,4.172521
847016,4.172521
847017,4.172521
847018,4.172521
848006,4.172521
848007,4.172521
848009,4.172521
848010,4.172521
848013,4.172521
848018,4.172521
848021,4.172521
848027,4.172521
849001,-.1876154
849002,-.1876154
849005,-.1876154
849006,-.1876154
849009,-.1876154
849010,-.1876154
849013,-.1876154
849017,-.1876154
850011,1.552876
850012,1.552876
850013,1.552876
850016,1.552876
850017,1.552876
850018,1.552876
850019,1.552876
850021,1.552876
851001,1.552876
851004,1.552876
851008,1.552876
851010,1.552876
851014,1.552876
851019,1.552876
851020,1.552876
851021,1.552876
852001,4.172521
852002,4.172521
852003,4.172521
852004,4.172521
852009,4.172521
852012,4.172521
852018,4.172521
852020,4.172521
853002,1.552876
853003,1.552876
853004,1.552876
853005,1.552876
853006,1.552876
853008,1.552876
853009,1.552876
853010,1.552876
854001,1.552876
854002,1.552876
854007,1.552876
854009,1.552876
854013,1.552876
854018,1.552876
854021,1.552876
854024,1.552876
855001,1.552876
855002,1.552876
855003,1.552876
855004,1.552876
855007,1.552876
855009,1.552876
855017,1.552876
855019,1.552876
856001,4.172521
856004,4.172521
856007,4.172521
856008,4.172521
856009,4.172521
856011,4.172521
856012,4.172521
856014,4.172521
857003,1.552876
857004,1.552876
857008,1.552876
857012,1.552876
857013,1.552876
857018,1.552876
857026,1.552876
857030,1.552876
858004,-.1876154
858007,-.1876154
858008,-.1876154
858011,-.1876154
858013,-.1876154
858016,-.1876154
858019,-.1876154
858021,-.1876154
859001,1.552876
859002,1.552876
859003,1.552876
859005,1.552876
859006,1.552876
859009,1.552876
859010,1.552876
859011,1.552876
861003,4.172521
861005,4.172521
861006,4.172521
861009,4.172521
861011,4.172521
861012,4.172521
861013,4.172521
861014,4.172521
862001,4.172521
862005,4.172521
862009,4.172521
862016,4.172521
862023,4.172521
862025,4.172521
862030,4.172521
862031,4.172521
863004,-.1876154
863005,-.1876154
863009,-.1876154
863010,-.1876154
863019,-.1876154
863022,-.1876154
863029,-.1876154
863031,-.1876154
864002,1.552876
864004,1.552876
864007,1.552876
864010,1.552876
864011,1.552876
864013,1.552876
864015,1.552876
864018,1.552876
866002,1.552876
866004,1.552876
866006,1.552876
866007,1.552876
866010,1.552876
866011,1.552876
866013,1.552876
866014,1.552876
867002,4.172521
867004,4.172521
867005,4.172521
867006,4.172521
867008,4.172521
867015,4.172521
867017,4.172521
867018,4.172521
870001,1.552876
870002,1.552876
870007,1.552876
870008,1.552876
870010,1.552876
870016,1.552876
870017,1.552876
870020,1.552876
872001,1.552876
872002,1.552876
872003,1.552876
872004,1.552876
872005,1.552876
872007,1.552876
872008,1.552876
872009,1.552876
873001,1.552876
873002,1.552876
873003,1.552876
873007,1.552876
873008,1.552876
873009,1.552876
873012,1.552876
873013,1.552876
874001,1.552876
874002,1.552876
874003,1.552876
874006,1.552876
874010,1.552876
874015,1.552876
874017,1.552876
874021,1.552876
875001,4.172521
875002,4.172521
875003,4.172521
875004,4.172521
875006,4.172521
875011,4.172521
875015,4.172521
875020,4.172521
875024,4.172521
876002,1.552876
876003,1.552876
876004,1.552876
876005,1.552876
876006,1.552876
876007,1.552876
876010,1.552876
876015,1.552876
881002,4.172521
881003,4.172521
881004,4.172521
881005,4.172521
881008,4.172521
881012,4.172521
881013,4.172521
882002,-.1876154
882005,-.1876154
882007,-.1876154
882008,-.1876154
882009,-.1876154
882010,-.1876154
882011,-.1876154
882013,-.1876154
883001,1.552876
883006,1.552876
883007,1.552876
883008,1.552876
883009,1.552876
883010,1.552876
883011,1.552876
883018,1.552876
884009,4.172521
884011,4.172521
884012,4.172521
884013,4.172521
884014,4.172521
884015,4.172521
884017,4.172521
884018,4.172521
885002,1.552876
885003,1.552876
885007,1.552876
885014,1.552876
885016,1.552876
885018,1.552876
885021,1.552876
885022,1.552876
886004,4.172521
886007,4.172521
886010,4.172521
886011,4.172521
886015,4.172521
886018,4.172521
886020,4.172521
886026,4.172521
887001,1.552876
887004,1.552876
887005,1.552876
887007,1.552876
887009,1.552876
887010,1.552876
887012,1.552876
887017,1.552876
930002,1.552876
930005,1.552876
930008,1.552876
930012,1.552876
930014,1.552876
930018,1.552876
930020,1.552876
930022,1.552876
