subject,WTP
3001,-19.04074
3004,77.30591
3008,10.29905
3009,-19.04074
3010,77.30591
3011,36.61324
3014,36.61324
3015,10.29905
4003,77.30591
4006,-19.04074
4010,77.30591
4011,10.29905
4013,-19.04074
4016,-19.04074
4022,-19.04074
4024,-19.04074
11006,36.61324
11008,-19.04074
11009,36.61324
11010,10.29905
11012,36.61324
11016,-19.04074
11022,10.29905
11032,36.61324
11034,10.29905
12001,-19.04074
12002,77.30591
12014,10.29905
12029,-19.04074
12036,36.61324
12037,36.61324
12041,36.61324
12054,77.30591
13001,36.61324
13003,10.29905
13004,77.30591
13007,-19.04074
13010,36.61324
13012,36.61324
13013,36.61324
13019,10.29905
15005,36.61324
15012,-19.04074
15016,10.29905
15023,36.61324
15024,-19.04074
15026,77.30591
15027,10.29905
15030,36.61324
23003,-19.04074
23007,36.61324
23016,10.29905
23027,-19.04074
23031,-19.04074
23035,-19.04074
23036,36.61324
23039,36.61324
27001,-19.04074
27003,10.29905
27006,36.61324
27009,77.30591
27011,77.30591
27029,36.61324
27030,-19.04074
27039,77.30591
31001,10.29905
31002,36.61324
31003,36.61324
31004,77.30591
31005,-19.04074
31009,77.30591
31012,77.30591
31014,10.29905
36002,36.61324
36011,36.61324
36013,10.29905
36018,10.29905
36021,10.29905
36040,10.29905
36046,77.30591
36053,10.29905
38001,10.29905
38002,10.29905
38003,36.61324
38005,10.29905
38006,-19.04074
38007,-19.04074
38010,10.29905
38013,77.30591
39004,36.61324
39006,-19.04074
39007,36.61324
39011,36.61324
39012,77.30591
39013,77.30591
39018,-19.04074
39023,77.30591
40001,36.61324
40003,36.61324
40004,77.30591
40005,77.30591
40006,36.61324
40008,77.30591
40009,10.29905
40011,10.29905
42001,36.61324
42007,36.61324
42008,36.61324
42010,10.29905
42011,-19.04074
42012,77.30591
42013,36.61324
42018,36.61324
42025,-19.04074
44003,10.29905
44006,-19.04074
44007,10.29905
44008,-19.04074
44013,10.29905
44019,-19.04074
44027,-19.04074
44028,10.29905
45001,36.61324
45002,36.61324
45009,36.61324
45010,10.29905
45011,10.29905
45012,36.61324
45016,10.29905
45019,77.30591
51002,36.61324
51006,10.29905
51009,-19.04074
51011,77.30591
51022,-19.04074
51027,-19.04074
51030,10.29905
57001,10.29905
57003,77.30591
57004,-19.04074
57005,36.61324
57006,-19.04074
57007,10.29905
57008,36.61324
57009,-19.04074
57010,-19.04074
66001,-19.04074
66002,36.61324
66003,77.30591
66004,36.61324
66006,10.29905
66009,77.30591
66010,77.30591
74003,36.61324
74007,-19.04074
74008,77.30591
74013,36.61324
74015,77.30591
74016,10.29905
74019,-19.04074
74026,77.30591
95002,36.61324
95003,10.29905
95008,10.29905
95020,-19.04074
95025,77.30591
95028,77.30591
95030,-19.04074
95032,77.30591
98006,77.30591
98008,36.61324
98009,77.30591
98010,36.61324
98011,-19.04074
98017,77.30591
98018,10.29905
98026,77.30591
99002,10.29905
99003,-19.04074
99004,-19.04074
99007,10.29905
99009,36.61324
99011,77.30591
99012,10.29905
99013,-19.04074
100001,36.61324
100003,10.29905
100006,77.30591
100007,36.61324
100011,10.29905
100016,77.30591
100017,77.30591
102002,-19.04074
102003,36.61324
102005,-19.04074
102007,36.61324
102013,77.30591
102016,36.61324
102017,36.61324
102018,77.30591
103002,36.61324
103003,36.61324
103007,-19.04074
103010,10.29905
103012,10.29905
103013,-19.04074
103016,77.30591
103022,36.61324
109001,-19.04074
109005,36.61324
109006,36.61324
109007,36.61324
109011,36.61324
109014,77.30591
109018,77.30591
109025,36.61324
111001,-19.04074
111002,36.61324
111004,10.29905
111006,10.29905
111009,77.30591
111011,36.61324
111012,-19.04074
111016,-19.04074
112006,36.61324
112009,-19.04074
112012,77.30591
112016,10.29905
112030,10.29905
112031,-19.04074
112037,-19.04074
112040,36.61324
114002,36.61324
114003,10.29905
114006,77.30591
114007,10.29905
114010,10.29905
114012,77.30591
114015,10.29905
114016,10.29905
117003,77.30591
117009,-19.04074
117012,-19.04074
117015,-19.04074
117020,10.29905
117026,77.30591
117028,36.61324
117029,36.61324
121004,-19.04074
121007,36.61324
121008,-19.04074
121009,10.29905
121013,-19.04074
121018,36.61324
121021,10.29905
122001,36.61324
122003,36.61324
122009,-19.04074
122012,-19.04074
122018,-19.04074
122021,36.61324
122027,-19.04074
122031,-19.04074
123001,77.30591
123005,10.29905
123006,36.61324
123008,10.29905
123015,77.30591
123025,36.61324
123026,10.29905
123028,-19.04074
126001,77.30591
126003,36.61324
126006,36.61324
126008,-19.04074
126009,77.30591
126010,10.29905
126011,-19.04074
126014,77.30591
127004,-19.04074
127006,-19.04074
127007,10.29905
127008,77.30591
127012,10.29905
127018,-19.04074
127020,-19.04074
128001,10.29905
128003,10.29905
128007,77.30591
128008,10.29905
128010,77.30591
128012,36.61324
128013,36.61324
128017,77.30591
132009,77.30591
132014,77.30591
132018,36.61324
132019,-19.04074
132025,10.29905
132026,-19.04074
132029,36.61324
132030,-19.04074
132031,10.29905
134004,-19.04074
134005,36.61324
134015,-19.04074
134020,-19.04074
134021,10.29905
134029,-19.04074
134039,-19.04074
134042,-19.04074
137002,10.29905
137003,77.30591
137004,77.30591
137006,36.61324
137014,10.29905
137017,-19.04074
137021,10.29905
137025,77.30591
148004,10.29905
148005,36.61324
148009,36.61324
148011,77.30591
148012,36.61324
148013,77.30591
148019,36.61324
148034,10.29905
160001,-19.04074
160003,36.61324
160005,36.61324
160008,10.29905
160017,77.30591
160018,77.30591
160021,10.29905
160027,77.30591
161003,-19.04074
161018,10.29905
161022,10.29905
161025,36.61324
161040,77.30591
161049,10.29905
161052,10.29905
161055,10.29905
165007,77.30591
165010,36.61324
165013,10.29905
165015,-19.04074
165021,-19.04074
165022,10.29905
165023,36.61324
165041,36.61324
167003,77.30591
167004,-19.04074
167009,-19.04074
167013,-19.04074
167014,10.29905
167015,10.29905
167020,-19.04074
167021,-19.04074
172001,36.61324
172008,-19.04074
172012,10.29905
172017,10.29905
172018,77.30591
172019,36.61324
172022,36.61324
172031,10.29905
180001,77.30591
180002,10.29905
180003,-19.04074
180004,10.29905
180006,-19.04074
180007,77.30591
180009,-19.04074
180012,36.61324
182001,10.29905
182005,36.61324
182006,-19.04074
182008,36.61324
182025,77.30591
182028,77.30591
182030,10.29905
182047,-19.04074
184003,10.29905
184019,36.61324
184021,36.61324
184024,36.61324
184025,36.61324
184035,10.29905
184040,-19.04074
184049,10.29905
201001,10.29905
201004,-19.04074
201005,10.29905
201006,-19.04074
201008,36.61324
201009,77.30591
201011,10.29905
201012,77.30591
215002,10.29905
215005,10.29905
215006,10.29905
215008,10.29905
215015,77.30591
215017,-19.04074
215018,36.61324
215025,-19.04074
217001,10.29905
217003,-19.04074
217006,77.30591
217012,36.61324
217015,-19.04074
217016,36.61324
217019,-19.04074
217023,77.30591
219012,36.61324
219022,36.61324
219024,36.61324
219033,10.29905
219038,10.29905
219046,77.30591
219048,10.29905
219054,-19.04074
220002,10.29905
220010,-19.04074
220013,10.29905
220019,77.30591
220022,77.30591
220023,36.61324
220029,10.29905
220031,10.29905
227008,10.29905
227013,77.30591
227016,-19.04074
227017,36.61324
227019,10.29905
227026,10.29905
227031,10.29905
227035,10.29905
229004,-19.04074
229008,-19.04074
229012,-19.04074
229024,10.29905
229025,-19.04074
229027,36.61324
229031,10.29905
229032,-19.04074
231002,36.61324
231006,-19.04074
231011,10.29905
231013,36.61324
231032,-19.04074
231035,36.61324
231036,77.30591
231037,36.61324
232010,77.30591
232011,-19.04074
232013,36.61324
232017,36.61324
232036,10.29905
232041,10.29905
232049,10.29905
232057,-19.04074
243001,-19.04074
243002,10.29905
243003,10.29905
243008,77.30591
243011,-19.04074
243015,10.29905
243016,77.30591
243022,77.30591
249001,77.30591
249002,77.30591
249003,10.29905
249004,-19.04074
249005,10.29905
249007,77.30591
249008,77.30591
249009,36.61324
253002,77.30591
253003,10.29905
253004,77.30591
253007,10.29905
253015,-19.04074
253017,-19.04074
253021,-19.04074
253028,77.30591
286005,36.61324
286007,36.61324
286015,10.29905
286026,36.61324
286028,36.61324
286029,77.30591
286034,36.61324
286041,-19.04074
286044,10.29905
287001,36.61324
287005,77.30591
287006,36.61324
287013,77.30591
287014,-19.04074
287017,36.61324
287023,36.61324
287026,36.61324
294005,77.30591
294011,-19.04074
294013,77.30591
294018,-19.04074
294019,10.29905
294022,-19.04074
294048,10.29905
294051,-19.04074
299014,10.29905
299016,10.29905
299017,77.30591
299033,36.61324
299045,-19.04074
299047,-19.04074
299048,-19.04074
299058,10.29905
500011,10.29905
500012,-19.04074
500016,10.29905
500018,-19.04074
500019,36.61324
500022,-19.04074
500023,10.29905
500024,10.29905
502003,36.61324
502004,10.29905
502006,77.30591
502011,77.30591
502012,36.61324
502013,-19.04074
