subject,WTP
3001,-.2845262
3004,31.15508
3008,20.40839
3009,30.84028
3010,40.25788
3011,-11.2502
3014,17.08896
3015,-5.493066
4003,3.195568
4006,-80.58512
4010,3.195568
4011,29.1774
4013,-35.99945
4016,106.0224
4022,-26.23318
4024,-39.72227
11006,25.54564
11008,88.12156
11009,36.07925
11010,29.59175
11012,-128.0639
11016,11.82666
11022,-66.40491
11032,3.068116
11034,-11.02788
12001,7.710448
12002,4.634759
12014,-4.586071
12029,13.75107
12036,104.0343
12037,35.90982
12041,104.0343
12054,42.215
13001,49.5547
13003,-66.40491
13004,29.01424
13007,111.7793
13010,3.068116
13012,49.24755
13013,22.43646
13019,16.06132
15005,-5.329208
15012,42.51584
15016,-30.80227
15023,-3.337668
15024,31.75117
15026,181.6532
15027,-102.9325
15030,24.10907
23003,29.83218
23007,68.16986
23016,24.76347
23027,-16.12793
23031,73.60583
23035,-16.12793
23036,5.121832
23039,48.98505
27001,75.18059
27003,-.6523365
27006,59.21942
27009,22.57942
27011,-25.20885
27029,59.21942
27030,29.62634
27039,26.46962
31001,15.92311
31002,52.26889
31003,59.21942
31004,57.30009
31005,75.18059
31009,26.46962
31012,26.46962
31014,173.5272
36002,20.77892
36011,-75.94249
36013,-66.40491
36018,176.7372
36021,16.06132
36040,16.06132
36046,29.01424
36053,-11.02788
38001,-102.9325
38002,86.49992
38003,36.03165
38005,38.38404
38006,106.6092
38007,14.9155
38010,-102.9325
38013,58.77143
39004,14.13145
39006,7.710448
39007,104.2309
39011,35.90982
39012,35.72594
39013,24.53799
39018,35.79829
39023,10.50702
40001,71.76986
40003,-7.134699
40004,14.93454
40005,-2.328891
40006,-.5004683
40008,42.37395
40009,26.71108
40011,20.40839
42001,83.92474
42007,83.92474
42008,2.934726
42010,-9.113097
42011,7.710448
42012,-16.47243
42013,21.20033
42018,104.0343
42025,7.710448
44003,38.38404
44006,101.2723
44007,8.844734
44008,42.51584
44013,3.024216
44019,106.6092
44027,-12.36893
44028,3.024216
45001,56.37869
45002,-1.734229
45009,32.41197
45010,25.20584
45011,159.302
45012,19.297
45016,-9.476251
45019,47.49236
51002,130.935
51006,10.12615
51009,-.3670146
51011,93.11068
51022,341.4499
51027,26.75901
51030,159.302
57001,-1.682622
57003,30.14603
57004,.6549601
57005,-50.25406
57006,-9.00354
57007,28.69463
57008,-50.25406
57009,-1.686017
57010,-7.219626
66001,-21.78856
66002,104.0343
66003,35.72594
66004,41.47506
66006,50.04494
66009,-16.47243
66010,42.215
74003,32.41197
74007,1.328587
74008,48.63093
74013,73.13007
74015,47.49236
74016,-21.36173
74019,1.328587
74026,33.69706
95002,35.47791
95003,14.34221
95008,14.34221
95020,1.328587
95025,11.98978
95028,42.17962
95030,3.683746
95032,42.17962
98006,33.69706
98008,56.37869
98009,31.89547
98010,56.37869
98011,341.4499
98017,47.49236
98018,-36.31967
98026,90.28262
99002,-46.49545
99003,-63.60676
99004,33.97705
99007,89.68731
99009,-8.060914
99011,-16.47243
99012,-9.113097
99013,7.710448
100001,32.41197
100003,10.12615
100006,60.09607
100007,36.71161
100011,41.99992
100016,31.89547
100017,42.17962
102002,42.51584
102003,28.7937
102005,46.98197
102007,34.00415
102013,47.10158
