subject,WTP
3001,24.07264
3004,-23.7071
3008,-47.35924
3009,-47.35924
3010,24.07264
3011,24.07264
3014,-23.7071
3015,24.07264
4003,24.07264
4006,-23.7071
4010,24.07264
4011,57.19636
4013,-47.35924
4016,-23.7071
4022,24.07264
4024,-47.35924
11006,-23.7071
11008,-47.35924
11009,57.19636
11010,24.07264
11012,-47.35924
11016,-47.35924
11022,-47.35924
11032,-23.7071
11034,57.19636
12001,-47.35924
12002,24.07264
12014,-47.35924
12029,24.07264
12036,24.07264
12037,57.19636
12041,24.07264
12054,57.19636
13001,24.07264
13003,-47.35924
13004,24.07264
13007,24.07264
13010,-23.7071
13012,57.19636
13013,57.19636
13019,57.19636
15005,24.07264
15012,24.07264
15016,-23.7071
15023,57.19636
15024,-23.7071
15026,57.19636
15027,-47.35924
15030,-23.7071
23003,57.19636
23007,24.07264
23016,-23.7071
23027,57.19636
23031,57.19636
23035,57.19636
23036,24.07264
23039,24.07264
27001,-47.35924
27003,24.07264
27006,57.19636
27009,24.07264
27011,-47.35924
27029,57.19636
27030,-23.7071
27039,24.07264
31001,57.19636
31002,57.19636
31003,57.19636
31004,24.07264
31005,-47.35924
31009,24.07264
31012,24.07264
31014,24.07264
36002,24.07264
36011,24.07264
36013,-47.35924
36018,24.07264
36021,57.19636
36040,57.19636
36046,24.07264
36053,57.19636
38001,-47.35924
38002,24.07264
38003,57.19636
38005,-23.7071
38006,-23.7071
38007,24.07264
38010,-47.35924
38013,24.07264
39004,24.07264
39006,-47.35924
39007,57.19636
39011,57.19636
39012,-47.35924
39013,-23.7071
39018,57.19636
39023,-23.7071
40001,-23.7071
40003,24.07264
40004,57.19636
40005,24.07264
40006,24.07264
40008,-23.7071
40009,24.07264
40011,-47.35924
42001,-23.7071
42007,-23.7071
42008,57.19636
42010,24.07264
42011,-47.35924
42012,-23.7071
42013,24.07264
42018,24.07264
42025,-47.35924
44003,-23.7071
44006,-23.7071
44007,-23.7071
44008,24.07264
44013,57.19636
44019,-23.7071
44027,-23.7071
44028,57.19636
45001,57.19636
45002,24.07264
45009,-23.7071
45010,-23.7071
45011,24.07264
45012,24.07264
45016,24.07264
45019,-47.35924
51002,57.19636
51006,57.19636
51009,24.07264
51011,57.19636
51022,57.19636
51027,57.19636
51030,24.07264
57001,-23.7071
57003,-23.7071
57004,-47.35924
57005,-23.7071
57006,-47.35924
57007,-47.35924
57008,-23.7071
57009,57.19636
57010,24.07264
66001,-23.7071
66002,24.07264
66003,-47.35924
66004,57.19636
66006,24.07264
66009,-23.7071
66010,57.19636
74003,-23.7071
74007,-47.35924
74008,-23.7071
74013,24.07264
74015,-47.35924
74016,57.19636
74019,-47.35924
74026,57.19636
95002,-23.7071
95003,-23.7071
95008,-23.7071
95020,-47.35924
95025,57.19636
95028,-23.7071
95030,24.07264
95032,-23.7071
98006,57.19636
98008,57.19636
98009,57.19636
98010,57.19636
98011,57.19636
98017,-47.35924
98018,-47.35924
98026,24.07264
99002,57.19636
99003,-23.7071
99004,24.07264
99007,24.07264
99009,24.07264
99011,-23.7071
99012,24.07264
99013,-47.35924
100001,-23.7071
100003,57.19636
100006,57.19636
100007,57.19636
100011,-23.7071
100016,57.19636
100017,-23.7071
102002,24.07264
102003,-23.7071
102005,57.19636
102007,24.07264
102013,57.19636
102016,-23.7071
102017,24.07264
102018,57.19636
103002,-23.7071
103003,57.19636
103007,-47.35924
103010,-23.7071
103012,57.19636
103013,24.07264
103016,-47.35924
103022,-23.7071
109001,57.19636
109005,24.07264
109006,24.07264
109007,24.07264
109011,-23.7071
109014,-23.7071
109018,-23.7071
109025,-23.7071
111001,-23.7071
111002,57.19636
111004,24.07264
111006,57.19636
111009,57.19636
111011,24.07264
111012,57.19636
111016,-47.35924
112006,57.19636
112009,24.07264
112012,24.07264
112016,-47.35924
112030,24.07264
112031,-47.35924
112037,-23.7071
112040,-23.7071
114002,57.19636
114003,-47.35924
114006,57.19636
114007,-47.35924
114010,57.19636
114012,57.19636
114015,57.19636
114016,57.19636
117003,-47.35924
117009,-47.35924
117012,24.07264
117015,24.07264
117020,24.07264
117026,-47.35924
117028,57.19636
117029,57.19636
121004,-23.7071
121007,-23.7071
121008,-23.7071
121009,-47.35924
121013,-23.7071
121018,57.19636
121021,24.07264
122001,57.19636
122003,24.07264
122009,57.19636
122012,-47.35924
122018,57.19636
122021,24.07264
122027,-47.35924
122031,24.07264
123001,24.07264
123005,24.07264
123006,24.07264
123008,-23.7071
123015,-23.7071
123025,-23.7071
123026,24.07264
123028,57.19636
126001,57.19636
126003,57.19636
126006,24.07264
126008,24.07264
126009,24.07264
126010,57.19636
126011,-47.35924
126014,24.07264
127004,-47.35924
127006,24.07264
127007,24.07264
127008,-23.7071
127012,24.07264
127018,-47.35924
127020,-47.35924
128001,-23.7071
128003,-23.7071
128007,-47.35924
128008,-47.35924
128010,57.19636
128012,57.19636
128013,24.07264
128017,-23.7071
132009,57.19636
132014,57.19636
132018,24.07264
132019,-47.35924
132025,57.19636
132026,-47.35924
132029,57.19636
132030,-47.35924
132031,-47.35924
134004,57.19636
134005,57.19636
134015,-47.35924
134020,-23.7071
134021,57.19636
134029,24.07264
134039,-47.35924
134042,-23.7071
137002,24.07264
137003,-47.35924
137004,57.19636
137006,57.19636
137014,-47.35924
137017,24.07264
137021,-23.7071
137025,-23.7071
148004,24.07264
148005,57.19636
148009,24.07264
148011,24.07264
148012,24.07264
148013,24.07264
148019,-23.7071
148034,-47.35924
160001,57.19636
160003,-23.7071
160005,-23.7071
160008,-23.7071
160017,-23.7071
160018,-23.7071
160021,-47.35924
160027,57.19636
161003,24.07264
161018,-23.7071
161022,24.07264
161025,24.07264
161040,24.07264
161049,24.07264
161052,24.07264
161055,24.07264
165007,24.07264
165010,24.07264
165013,24.07264
165015,24.07264
165021,24.07264
165022,-23.7071
165023,24.07264
165041,24.07264
167003,24.07264
167004,-23.7071
167009,-47.35924
167013,57.19636
167014,24.07264
167015,-23.7071
167020,-47.35924
167021,24.07264
172001,57.19636
172008,-47.35924
172012,24.07264
172017,24.07264
172018,57.19636
172019,-47.35924
172022,24.07264
172031,24.07264
180001,-47.35924
180002,24.07264
180003,24.07264
180004,24.07264
180006,-47.35924
180007,57.19636
180009,-47.35924
180012,57.19636
182001,24.07264
182005,-47.35924
182006,-23.7071
182008,57.19636
182025,-23.7071
182028,-23.7071
182030,-23.7071
182047,24.07264
184003,24.07264
184019,24.07264
184021,24.07264
184024,57.19636
184025,24.07264
184035,57.19636
184040,-23.7071
184049,24.07264
201001,-47.35924
201004,24.07264
201005,57.19636
201006,24.07264
201008,-23.7071
201009,24.07264
201011,57.19636
201012,24.07264
215002,24.07264
215005,-23.7071
215006,-23.7071
215008,24.07264
215015,24.07264
215017,57.19636
215018,-23.7071
215025,24.07264
217001,24.07264
217003,57.19636
217006,57.19636
217012,24.07264
217015,24.07264
217016,24.07264
217019,-47.35924
217023,-47.35924
219012,24.07264
219022,24.07264
