subject,WTP
3001,-8.482445
3004,4.793889
3008,-88.15425
3009,-88.15425
3010,70.84313
3011,46.40079
3014,28.7981
3015,-8.482445
4003,-8.482445
4006,4.793889
4010,-8.482445
4011,31.80011
4013,-88.15425
4016,28.7981
4022,46.40079
4024,-7.294092
11006,28.7981
11008,-88.15425
11009,31.80011
11010,46.40079
11012,-88.15425
11016,-88.15425
11022,-7.294092
11032,4.793889
11034,31.80011
12001,-7.294092
12002,70.84313
12014,-88.15425
12029,-8.482445
12036,46.40079
12037,31.80011
12041,46.40079
12054,31.80011
13001,-8.482445
13003,-7.294092
13004,46.40079
13007,46.40079
13010,4.793889
13012,31.80011
13013,31.80011
13019,31.80011
15005,-8.482445
15012,46.40079
15016,4.793889
15023,31.80011
15024,4.793889
15026,31.80011
15027,-88.15425
15030,28.7981
23003,31.80011
23007,70.84313
23016,4.793889
23027,31.80011
23031,85.75301
23035,31.80011
23036,-8.482445
23039,46.40079
27001,-7.294092
27003,70.84313
27006,31.80011
27009,-8.482445
27011,-88.15425
27029,31.80011
27030,4.793889
27039,46.40079
31001,31.80011
31002,31.80011
31003,31.80011
31004,70.84313
31005,-7.294092
31009,46.40079
31012,46.40079
31014,-8.482445
36002,46.40079
36011,-8.482445
36013,-7.294092
36018,46.40079
36021,31.80011
36040,31.80011
36046,46.40079
36053,31.80011
38001,-88.15425
38002,-8.482445
38003,31.80011
38005,4.793889
38006,28.7981
38007,-8.482445
38010,-88.15425
38013,70.84313
39004,70.84313
39006,-7.294092
39007,51.7533
39011,31.80011
39012,-88.15425
39013,4.793889
39018,51.7533
39023,4.793889
40001,28.7981
40003,-8.482445
40004,31.80011
40005,46.40079
40006,-8.482445
40008,28.7981
40009,46.40079
40011,-88.15425
42001,28.7981
42007,28.7981
42008,31.80011
42010,-8.482445
42011,-7.294092
42012,4.793889
42013,-8.482445
42018,46.40079
42025,-7.294092
44003,4.793889
44006,4.793889
44007,4.793889
44008,46.40079
44013,31.80011
44019,28.7981
44027,28.7981
44028,31.80011
45001,31.80011
45002,-8.482445
45009,28.7981
45010,28.7981
45011,-8.482445
45012,46.40079
45016,70.84313
45019,-7.294092
51002,48.98407
51006,31.80011
51009,-8.482445
51011,85.75301
51022,51.7533
51027,51.7533
51030,-8.482445
57001,4.793889
57003,4.793889
57004,-88.15425
57005,4.793889
57006,-88.15425
57007,-88.15425
57008,4.793889
57009,31.80011
57010,-8.482445
66001,28.7981
66002,46.40079
66003,-88.15425
66004,51.7533
66006,46.40079
66009,4.793889
66010,31.80011
74003,28.7981
74007,-88.15425
74008,28.7981
74013,70.84313
74015,-7.294092
74016,31.80011
74019,-88.15425
74026,31.80011
95002,28.7981
95003,4.793889
95008,4.793889
95020,-88.15425
95025,31.80011
95028,4.793889
95030,-8.482445
95032,4.793889
98006,31.80011
98008,31.80011
98009,31.80011
98010,31.80011
98011,51.7533
98017,-7.294092
98018,-88.15425
98026,70.84313
99002,85.75301
99003,4.793889
99004,-8.482445
99007,46.40079
99009,70.84313
99011,4.793889
99012,-8.482445
99013,-7.294092
100001,28.7981
100003,31.80011
100006,48.98407
100007,31.80011
100011,28.7981
100016,31.80011
100017,4.793889
102002,46.40079
102003,4.793889
102005,31.80011
102007,46.40079
102013,48.98407
102016,28.7981
102017,-8.482445
102018,51.7533
103002,28.7981
103003,31.80011
103007,-88.15425
103010,28.7981
103012,51.7533
103013,-8.482445
103016,-7.294092
103022,4.793889
109001,85.75301
109005,46.40079
109006,46.40079
109007,46.40079
109011,28.7981
109014,28.7981
