subject,WTP
3001,-23.63864
3004,19.20409
3008,-5.117775
3009,74.37164
3010,12.86578
3011,58.67249
3014,12.86578
3015,-115.9884
4003,74.37164
4006,-5.117775
4010,74.37164
4011,12.86578
4013,-5.117775
4016,40.305
4022,-5.117775
4024,-166.8595
11006,12.86578
11008,-166.8595
11009,58.67249
11010,74.37164
11012,-5.117775
11016,-9.03651
11022,-166.8595
11032,12.86578
11034,-9.03651
12001,-166.8595
12002,74.37164
12014,-115.9884
12029,-166.8595
12036,74.37164
12037,19.20409
12041,74.37164
12054,-23.63864
13001,-5.117775
13003,-166.8595
13004,19.20409
13007,-23.63864
13010,12.86578
13012,74.37164
13013,12.86578
13019,19.20409
15005,-5.117775
15012,12.86578
15016,-115.9884
15023,48.61978
15024,-9.03651
15026,-115.9884
15027,-5.117775
15030,19.20409
23003,-115.9884
23007,74.37164
23016,-23.63864
23027,48.61978
23031,74.37164
23035,48.61978
23036,-5.117775
23039,-115.9884
27001,-166.8595
27003,19.20409
27006,-5.117775
27009,-5.117775
27011,74.37164
27029,-5.117775
27030,12.86578
27039,40.305
31001,74.37164
31002,19.20409
31003,-5.117775
31004,40.305
31005,-166.8595
31009,40.305
31012,40.305
31014,-115.9884
36002,48.61978
36011,-166.8595
36013,-166.8595
36018,12.86578
36021,19.20409
36040,19.20409
36046,19.20409
36053,-9.03651
38001,-5.117775
38002,58.67249
38003,74.37164
38005,19.20409
38006,-115.9884
38007,-9.03651
38010,-5.117775
38013,74.37164
39004,-5.117775
39006,-166.8595
39007,12.86578
39011,19.20409
39012,74.37164
39013,74.37164
39018,-9.03651
39023,3.140809
40001,-9.03651
40003,19.20409
40004,74.37164
40005,-9.03651
40006,74.37164
40008,19.20409
40009,12.86578
40011,-5.117775
42001,40.305
42007,40.305
42008,74.37164
42010,-5.117775
42011,-166.8595
42012,12.86578
42013,74.37164
42018,74.37164
42025,-166.8595
44003,19.20409
44006,-23.63864
44007,-5.117775
44008,12.86578
44013,-5.117775
44019,-115.9884
44027,-5.117775
44028,-5.117775
45001,19.20409
45002,-35.78819
45009,19.20409
45010,74.37164
45011,74.37164
45012,12.86578
45016,-5.117775
45019,-166.8595
51002,48.61978
51006,48.61978
51009,-115.9884
51011,19.20409
51022,19.20409
51027,-5.117775
51030,74.37164
57001,-5.117775
57003,74.37164
57004,31.16615
57005,19.20409
57006,-5.117775
57007,12.86578
57008,19.20409
57009,-5.117775
57010,12.86578
66001,-9.03651
66002,74.37164
66003,74.37164
66004,58.67249
66006,-115.9884
66009,12.86578
66010,-23.63864
74003,19.20409
74007,-5.117775
74008,-9.03651
74013,12.86578
74015,-166.8595
74016,-23.63864
74019,-5.117775
74026,-115.9884
95002,-115.9884
95003,-35.78819
95008,-35.78819
95020,-5.117775
95025,40.305
95028,74.37164
95030,-9.03651
95032,74.37164
98006,-115.9884
98008,19.20409
98009,12.86578
98010,19.20409
98011,19.20409
98017,-166.8595
98018,-23.63864
98026,3.140809
99002,-5.117775
99003,-5.117775
99004,-115.9884
99007,-5.117775
99009,12.86578
99011,12.86578
99012,-5.117775
99013,-166.8595
100001,19.20409
100003,48.61978
100006,-35.78819
100007,74.37164
100011,-5.117775
100016,12.86578
100017,74.37164
102002,12.86578
102003,12.86578
102005,-35.78819
102007,19.20409
102013,74.37164
102016,19.20409
102017,-5.117775
102018,74.37164
103002,19.20409
103003,19.20409
103007,-5.117775
103010,74.37164
103012,48.61978
103013,-115.9884
103016,-166.8595
103022,58.67249
109001,74.37164
109005,19.20409
109006,19.20409
109007,19.20409
109011,12.86578
109014,19.20409
109018,19.20409
109025,-9.03651
111001,-5.117775
111002,19.20409
111004,-5.117775
111006,-5.117775
111009,-115.9884
111011,19.20409
111012,-5.117775
111016,-166.8595
112006,-5.117775
112009,19.20409
112012,19.20409
112016,-166.8595
112030,12.86578
112031,74.37164
112037,-5.117775
112040,12.86578
114002,40.305
114003,-5.117775
114006,74.37164
114007,-5.117775
114010,-115.9884
114012,74.37164
114015,74.37164
114016,58.67249
117003,-166.8595
117009,-5.117775
117012,-5.117775
117015,-5.117775
117020,12.86578
117026,12.86578
117028,74.37164
117029,74.37164
121004,-5.117775
121007,19.20409
121008,-5.117775
121009,19.20409
121013,-5.117775
121018,12.86578
121021,12.86578
122001,74.37164
122003,-23.63864
122009,-5.117775
122012,-166.8595
122018,-5.117775
122021,-5.117775
122027,-9.03651
122031,-23.63864
123001,147.673
123005,12.86578
123006,-5.117775
123008,58.67249
123015,19.20409
123025,-5.117775
123026,-115.9884
123028,-9.03651
126001,40.305
126003,58.67249
126006,74.37164
126008,19.20409
126009,-9.03651
126010,58.67249
126011,-166.8595
126014,58.67249
127004,-5.117775
127006,-115.9884
127007,12.86578
127008,74.37164
127012,74.37164
127018,-5.117775
127020,-5.117775
128001,74.37164
128003,147.673
128007,-166.8595
128008,-23.63864
128010,74.37164
128012,74.37164
128013,48.61978
128017,40.305
132009,-115.9884
132014,40.305
132018,12.86578
132019,-35.78819
132025,74.37164
132026,-166.8595
132029,44.35124
132030,-166.8595
132031,-115.9884
134004,-5.117775
134005,74.37164
134015,-5.117775
134020,-5.117775
134021,-5.117775
134029,-115.9884
134039,-5.117775
134042,-5.117775
137002,74.37164
137003,-166.8595
137004,-115.9884
137006,3.140809
137014,-23.63864
137017,-5.117775
137021,12.86578
137025,74.37164
148004,12.86578
148005,58.67249
148009,74.37164
148011,-35.78819
148012,19.20409
148013,3.140809
148019,12.86578
148034,-5.117775
160001,-5.117775
160003,-5.117775
160005,-5.117775
160008,74.37164
160017,19.20409
160018,19.20409
160021,-5.117775
160027,-9.03651
161003,-5.117775
161018,74.37164
161022,74.37164
161025,74.37164
161040,74.37164
161049,-5.117775
161052,-5.117775
161055,19.20409
165007,-9.03651
165010,74.37164
165013,12.86578
165015,-5.117775
165021,-38.55975
165022,74.37164
165023,19.20409
165041,-5.117775
167003,19.20409
167004,74.37164
167009,-5.117775
167013,19.20409
167014,-35.78819
167015,-38.55975
167020,-5.117775
167021,-5.117775
172001,19.20409
172008,-38.55975
172012,-115.9884
172017,-5.117775
172018,12.86578
172019,12.86578
172022,74.37164
172031,-5.117775
180001,19.20409
180002,40.305
180003,-115.9884
180004,-115.9884
180006,-166.8595
180007,12.86578
180009,-5.117775
180012,74.37164
182001,12.86578
182005,19.20409
182006,-115.9884
182008,19.20409
182025,40.305
182028,19.20409
182030,74.37164
182047,-115.9884
184003,-5.117775
184019,58.67249
184021,19.20409
184024,19.20409
184025,12.86578
184035,-9.03651
184040,-9.03651
184049,-115.9884
201001,-166.8595
201004,12.86578
201005,19.20409
201006,74.37164
201008,58.67249
201009,74.37164
201011,74.37164
201012,-23.63864
215002,48.61978
215005,74.37164
215006,74.37164
215008,19.20409
215015,44.35124
215017,-9.03651
215018,19.20409
215025,-9.03651
217001,-5.117775
217003,-5.117775
217006,12.86578
217012,74.37164
217015,-35.78819
217016,74.37164
217019,-166.8595
217023,74.37164
219012,58.67249
219022,40.305
219024,40.305
219033,-23.63864
219038,74.37164
219046,48.61978
219048,74.37164
219054,-5.117775
220002,74.37164
220010,-38.55975
220013,12.86578
220019,3.140809
220022,74.37164
220023,19.20409
220029,-5.117775
220031,48.61978
227008,-9.03651
227013,12.86578
227016,19.20409
227017,19.20409
227019,-5.117775
227026,-23.63864
227031,19.20409
227035,-23.63864
229004,-5.117775
229008,-5.117775
229012,74.37164
229024,74.37164
229025,74.37164
229027,-9.03651
229031,-9.03651
229032,-23.63864
231002,19.20409
231006,19.20409
231011,40.305
231013,74.37164
231032,-5.117775
231035,19.20409
231036,3.140809
231037,58.67249
232010,74.37164
232011,-5.117775
232013,19.20409
232017,19.20409
232036,40.305
232041,-9.03651
232049,-115.9884
232057,74.37164
243001,-115.9884
243002,74.37164
243003,-23.63864
243008,-166.8595
243011,-115.9884
243015,-5.117775
243016,-9.03651
243022,74.37164
249001,-115.9884
249002,74.37164
249003,-5.117775
249004,-9.03651
249005,58.67249
249007,58.67249
249008,74.37164
249009,74.37164
253002,12.86578
253003,-5.117775
253004,-115.9884
253007,58.67249
253015,-5.117775
253017,-166.8595
253021,-9.03651
253028,74.37164
286005,74.37164
286007,19.20409
286015,-5.117775
286026,74.37164
286028,3.140809
286029,3.140809
286034,74.37164
286041,-5.117775
286044,74.37164
287001,40.305
287005,74.37164
287006,58.67249
287013,12.86578
287014,-5.117775
287017,19.20409
287023,74.37164
287026,74.37164
294005,12.86578
294011,-115.9884
294013,58.67249
294018,-5.117775
294019,40.305
294022,-5.117775
294048,74.37164
294051,-115.9884
299014,19.20409
299016,12.86578
299017,74.37164
299033,3.140809
299045,19.20409
299047,-5.117775
299048,-115.9884
299058,-5.117775
500011,-5.117775
500012,-9.03651
500016,-5.117775
500018,-166.8595
500019,19.20409
500022,-5.117775
500023,-5.117775
500024,-5.117775
502003,58.67249
502004,40.305
502006,3.140809
502011,74.37164
502012,12.86578
502013,74.37164
502015,-38.55975
502033,-9.03651
508002,40.305
508004,74.37164
508007,-115.9884
508008,12.86578
508011,74.37164
508013,-5.117775
508017,-115.9884
508027,74.37164
510007,-5.117775
510010,-5.117775
510011,12.86578
510012,3.140809
510023,3.140809
510025,74.37164
510026,74.37164
510029,-23.63864
513001,-5.117775
513003,-9.03651
513005,44.35124
513007,19.20409
513014,19.20409
513017,74.37164
513019,-115.9884
513021,-166.8595
516009,58.67249
516011,-23.63864
516014,-5.117775
516015,-9.03651
516018,-5.117775
516020,-5.117775
516023,74.37164
516026,19.20409
517005,-9.03651
517010,58.67249
517013,-115.9884
517024,74.37164
517038,-9.03651
517041,12.86578
517044,19.20409
517047,19.20409
519006,40.305
519008,-5.117775
519009,12.86578
519013,-115.9884
519022,74.37164
519027,74.37164
519035,-115.9884
519038,-5.117775
524002,74.37164
524004,12.86578
524005,12.86578
524008,-5.117775
524010,-9.03651
524011,-5.117775
524014,-5.117775
524023,19.20409
526001,-5.117775
526002,74.37164
526011,19.20409
526021,-38.55975
526022,74.37164
526023,-5.117775
526025,19.20409
526035,-166.8595
529001,74.37164
529006,-5.117775
529010,-166.8595
529011,19.20409
529016,-5.117775
529020,-5.117775
529023,-5.117775
529024,40.305
531002,-9.03651
531005,74.37164
531013,40.305
531020,-5.117775
531026,-9.03651
531029,-23.63864
531032,19.20409
532002,48.61978
532009,19.20409
532010,19.20409
532011,19.20409
532017,-5.117775
532020,74.37164
532024,74.37164
537001,48.61978
537005,-115.9884
537006,19.20409
537007,-9.03651
537009,-166.8595
537012,74.37164
537019,19.20409
537026,-5.117775
538002,12.86578
538008,40.305
538010,-5.117775
538020,-9.03651
538022,74.37164
538023,12.86578
538032,19.20409
538038,44.35124
550001,74.37164
550002,74.37164
550006,-166.8595
550007,12.86578
550011,-5.117775
550013,74.37164
550014,48.61978
550015,12.86578
552001,-5.117775
552002,40.305
552005,19.20409
552008,19.20409
552022,19.20409
552035,58.67249
552040,74.37164
552043,12.86578
554008,74.37164
554010,-9.03651
554011,58.67249
554017,58.67249
554018,19.20409
