subject,WTP
3001,33.08195
3004,110.3194
3008,33.08195
3009,19.85938
3010,-2.867905
3011,110.3194
3014,-2.867905
3015,-2.867905
4003,19.85938
4006,33.08195
4010,19.85938
4011,-2.867905
4013,33.08195
4016,110.3194
4022,33.08195
4024,19.85938
11006,-2.867905
11008,19.85938
11009,110.3194
11010,19.85938
11012,33.08195
11016,33.08195
11022,19.85938
11032,-2.867905
11034,33.08195
12001,19.85938
12002,19.85938
12014,-2.867905
12029,19.85938
12036,19.85938
12037,110.3194
12041,19.85938
12054,33.08195
13001,33.08195
13003,19.85938
13004,110.3194
13007,33.08195
13010,-2.867905
13012,19.85938
13013,-2.867905
13019,110.3194
15005,33.08195
15012,-2.867905
15016,-2.867905
15023,-2.867905
15024,33.08195
15026,-2.867905
15027,33.08195
15030,110.3194
23003,-2.867905
23007,19.85938
23016,33.08195
23027,-2.867905
23031,19.85938
23035,-2.867905
23036,33.08195
23039,-2.867905
27001,19.85938
27003,110.3194
27006,33.08195
27009,33.08195
27011,19.85938
27029,33.08195
27030,-2.867905
27039,110.3194
31001,19.85938
31002,110.3194
31003,33.08195
31004,110.3194
31005,19.85938
31009,110.3194
31012,110.3194
31014,-2.867905
36002,-2.867905
36011,19.85938
36013,19.85938
36018,-2.867905
36021,110.3194
36040,110.3194
36046,110.3194
36053,33.08195
38001,33.08195
38002,110.3194
38003,19.85938
38005,110.3194
38006,-2.867905
38007,33.08195
38010,33.08195
38013,19.85938
39004,33.08195
39006,19.85938
39007,-2.867905
39011,110.3194
39012,19.85938
39013,19.85938
39018,33.08195
39023,110.3194
40001,33.08195
40003,110.3194
40004,19.85938
40005,33.08195
40006,19.85938
40008,110.3194
40009,-2.867905
40011,33.08195
42001,110.3194
42007,110.3194
42008,19.85938
42010,33.08195
42011,19.85938
42012,-2.867905
42013,19.85938
42018,19.85938
42025,19.85938
44003,110.3194
44006,33.08195
44007,33.08195
44008,-2.867905
44013,33.08195
44019,-2.867905
44027,33.08195
44028,33.08195
45001,110.3194
45002,-2.867905
45009,110.3194
45010,19.85938
45011,19.85938
45012,-2.867905
45016,33.08195
45019,19.85938
51002,-2.867905
51006,-2.867905
51009,-2.867905
51011,110.3194
51022,110.3194
51027,33.08195
51030,19.85938
57001,33.08195
57003,19.85938
57004,33.08195
57005,110.3194
57006,33.08195
57007,-2.867905
57008,110.3194
57009,33.08195
57010,-2.867905
66001,33.08195
66002,19.85938
66003,19.85938
66004,110.3194
66006,-2.867905
66009,-2.867905
66010,33.08195
74003,110.3194
74007,33.08195
74008,33.08195
74013,-2.867905
74015,19.85938
74016,33.08195
74019,33.08195
74026,-2.867905
95002,-2.867905
95003,-2.867905
95008,-2.867905
95020,33.08195
95025,110.3194
95028,19.85938
95030,33.08195
95032,19.85938
98006,-2.867905
98008,110.3194
98009,-2.867905
98010,110.3194
98011,110.3194
98017,19.85938
98018,33.08195
98026,110.3194
99002,33.08195
99003,33.08195
99004,-2.867905
99007,33.08195
99009,-2.867905
99011,-2.867905
99012,33.08195
99013,19.85938
100001,110.3194
100003,-2.867905
100006,-2.867905
100007,19.85938
100011,33.08195
100016,-2.867905
100017,19.85938
102002,-2.867905
102003,-2.867905
102005,-2.867905
102007,110.3194
102013,19.85938
102016,110.3194
102017,33.08195
102018,19.85938
103002,110.3194
103003,110.3194
103007,33.08195
103010,19.85938
103012,-2.867905
103013,-2.867905
103016,19.85938
103022,110.3194
109001,19.85938
109005,110.3194
109006,110.3194
109007,110.3194
109011,-2.867905
109014,110.3194
109018,110.3194
109025,33.08195
111001,33.08195
111002,110.3194
111004,33.08195
111006,33.08195
111009,-2.867905
111011,110.3194
111012,33.08195
111016,19.85938
112006,33.08195
112009,110.3194
112012,110.3194
112016,19.85938
112030,-2.867905
112031,19.85938
112037,33.08195
112040,-2.867905
114002,110.3194
114003,33.08195
114006,19.85938
114007,33.08195
114010,-2.867905
114012,19.85938
114015,19.85938
114016,110.3194
117003,19.85938
117009,33.08195
117012,33.08195
117015,33.08195
117020,-2.867905
117026,-2.867905
117028,19.85938
117029,19.85938
121004,33.08195
121007,110.3194
121008,33.08195
121009,110.3194
121013,33.08195
121018,-2.867905
121021,-2.867905
122001,19.85938
122003,33.08195
122009,33.08195
122012,19.85938
122018,33.08195
122021,33.08195
122027,33.08195
122031,33.08195
123001,-2.867905
123005,-2.867905
123006,33.08195
123008,110.3194
123015,110.3194
123025,33.08195
123026,-2.867905
123028,33.08195
126001,110.3194
126003,110.3194
126006,19.85938
126008,110.3194
126009,33.08195
126010,110.3194
126011,19.85938
126014,110.3194
127004,33.08195
127006,-2.867905
127007,-2.867905
127008,19.85938
127012,19.85938
127018,33.08195
127020,33.08195
128001,19.85938
128003,-2.867905
128007,19.85938
128008,33.08195
128010,19.85938
128012,19.85938
128013,-2.867905
128017,110.3194
132009,-2.867905
132014,110.3194
132018,-2.867905
132019,-2.867905
132025,19.85938
132026,19.85938
132029,-2.867905
132030,19.85938
132031,-2.867905
134004,33.08195
134005,19.85938
134015,33.08195
134020,33.08195
134021,33.08195
134029,-2.867905
134039,33.08195
134042,33.08195
137002,19.85938
137003,19.85938
137004,-2.867905
137006,110.3194
137014,33.08195
137017,33.08195
137021,-2.867905
137025,19.85938
148004,-2.867905
148005,110.3194
148009,19.85938
148011,-2.867905
148012,110.3194
148013,110.3194
148019,-2.867905
148034,33.08195
160001,33.08195
160003,33.08195
160005,33.08195
160008,19.85938
160017,110.3194
160018,110.3194
160021,33.08195
160027,33.08195
161003,33.08195
161018,19.85938
161022,19.85938
161025,19.85938
161040,19.85938
161049,33.08195
161052,33.08195
161055,110.3194
165007,33.08195
165010,19.85938
165013,-2.867905
165015,33.08195
165021,-2.867905
165022,19.85938
165023,110.3194
165041,33.08195
167003,110.3194
167004,19.85938
167009,33.08195
167013,110.3194
167014,-2.867905
167015,-2.867905
167020,33.08195
167021,33.08195
172001,110.3194
172008,-2.867905
172012,-2.867905
172017,33.08195
172018,-2.867905
172019,-2.867905
172022,19.85938
172031,33.08195
180001,110.3194
180002,110.3194
180003,-2.867905
180004,-2.867905
180006,19.85938
180007,-2.867905
180009,33.08195
180012,19.85938
182001,-2.867905
182005,110.3194
182006,-2.867905
182008,110.3194
182025,110.3194
182028,110.3194
182030,19.85938
182047,-2.867905
184003,33.08195
184019,110.3194
184021,110.3194
184024,110.3194
184025,-2.867905
184035,33.08195
184040,33.08195
