subject,WTP
3001,46.09675
3004,46.09675
3008,46.09675
3009,46.09675
3010,46.09675
3011,46.09675
3014,46.09675
3015,46.09675
4003,46.09675
4006,46.09675
4010,46.09675
4011,46.09675
4013,46.09675
4016,46.09675
4022,46.09675
4024,46.09675
11006,-14.97417
11008,-14.97417
11009,-14.97417
11010,-14.97417
11012,-14.97417
11016,-14.97417
11022,-14.97417
11032,-14.97417
11034,-14.97417
12001,46.09675
12002,46.09675
12014,46.09675
12029,46.09675
12036,46.09675
12037,46.09675
12041,46.09675
12054,46.09675
13001,-14.97417
13003,-14.97417
13004,-14.97417
13007,-14.97417
13010,-14.97417
13012,-14.97417
13013,-14.97417
13019,-14.97417
15005,-14.97417
15012,-14.97417
15016,-14.97417
15023,-14.97417
15024,-14.97417
15026,-14.97417
15027,-14.97417
15030,-14.97417
23003,46.09675
23007,46.09675
23016,46.09675
23027,46.09675
23031,46.09675
23035,46.09675
23036,46.09675
23039,46.09675
27001,46.09675
27003,46.09675
27006,46.09675
27009,46.09675
27011,46.09675
27029,46.09675
27030,46.09675
27039,46.09675
31001,46.09675
31002,46.09675
31003,46.09675
31004,46.09675
31005,46.09675
31009,46.09675
31012,46.09675
31014,46.09675
36002,-14.97417
36011,-14.97417
36013,-14.97417
36018,-14.97417
36021,-14.97417
36040,-14.97417
36046,-14.97417
36053,-14.97417
38001,-14.97417
38002,-14.97417
38003,-14.97417
38005,-14.97417
38006,-14.97417
38007,-14.97417
38010,-14.97417
38013,-14.97417
39004,46.09675
39006,46.09675
39007,46.09675
39011,46.09675
39012,46.09675
39013,46.09675
39018,46.09675
39023,46.09675
40001,46.09675
40003,46.09675
40004,46.09675
40005,46.09675
40006,46.09675
40008,46.09675
40009,46.09675
40011,46.09675
42001,46.09675
42007,46.09675
42008,46.09675
42010,46.09675
42011,46.09675
42012,46.09675
42013,46.09675
42018,46.09675
42025,46.09675
44003,-14.97417
44006,-14.97417
44007,-14.97417
44008,-14.97417
44013,-14.97417
44019,-14.97417
44027,-14.97417
44028,-14.97417
45001,8.073377
45002,8.073377
45009,8.073377
45010,8.073377
45011,8.073377
45012,8.073377
45016,8.073377
45019,8.073377
51002,8.073377
51006,8.073377
51009,8.073377
51011,8.073377
51022,8.073377
51027,8.073377
51030,8.073377
57001,46.09675
57003,46.09675
57004,46.09675
57005,46.09675
57006,46.09675
57007,46.09675
57008,46.09675
57009,46.09675
57010,46.09675
66001,46.09675
66002,46.09675
66003,46.09675
66004,46.09675
66006,46.09675
66009,46.09675
66010,46.09675
74003,8.073377
74007,8.073377
74008,8.073377
74013,8.073377
74015,8.073377
74016,8.073377
74019,8.073377
74026,8.073377
95002,8.073377
95003,8.073377
95008,8.073377
95020,8.073377
95025,8.073377
95028,8.073377
95030,8.073377
95032,8.073377
98006,8.073377
98008,8.073377
98009,8.073377
98010,8.073377
98011,8.073377
98017,8.073377
98018,8.073377
98026,8.073377
99002,46.09675
99003,46.09675
99004,46.09675
99007,46.09675
99009,46.09675
99011,46.09675
99012,46.09675
99013,46.09675
100001,8.073377
100003,8.073377
100006,8.073377
100007,8.073377
100011,8.073377
100016,8.073377
100017,8.073377
102002,-14.97417
102003,-14.97417
102005,-14.97417
102007,-14.97417
102013,-14.97417
102016,-14.97417
102017,-14.97417
102018,-14.97417
103002,8.073377
103003,8.073377
103007,8.073377
103010,8.073377
103012,8.073377
103013,8.073377
103016,8.073377
103022,8.073377
109001,46.09675
109005,46.09675
