subject,WTP
3001,-32.19716
3004,-32.19716
3008,-32.19716
3009,-32.19716
3010,-32.19716
3011,-32.19716
3014,-32.19716
3015,-32.19716
4003,-131.6768
4006,-131.6768
4010,-131.6768
4011,-131.6768
4013,-131.6768
4016,-131.6768
4022,-131.6768
4024,-131.6768
11006,3.494896
11008,3.494896
11009,3.494896
11010,3.494896
11012,3.494896
11016,3.494896
11022,3.494896
11032,3.494896
11034,3.494896
12001,15.93196
12002,15.93196
12014,15.93196
12029,15.93196
12036,15.93196
12037,15.93196
12041,15.93196
12054,15.93196
13001,3.494896
13003,3.494896
13004,3.494896
13007,3.494896
13010,3.494896
13012,3.494896
13013,3.494896
13019,3.494896
15005,-30.93747
15012,-30.93747
15016,-30.93747
15023,-30.93747
15024,-30.93747
15026,-30.93747
15027,-30.93747
15030,-30.93747
23003,-32.19716
23007,-32.19716
23016,-32.19716
23027,-32.19716
23031,-32.19716
23035,-32.19716
23036,-32.19716
23039,-32.19716
27001,11.31507
27003,11.31507
27006,11.31507
27009,11.31507
27011,11.31507
27029,11.31507
27030,11.31507
27039,11.31507
31001,11.31507
31002,11.31507
31003,11.31507
31004,11.31507
31005,11.31507
31009,11.31507
31012,11.31507
31014,11.31507
36002,3.494896
36011,3.494896
36013,3.494896
36018,3.494896
36021,3.494896
36040,3.494896
36046,3.494896
36053,3.494896
38001,-30.93747
38002,-30.93747
38003,-30.93747
38005,-30.93747
38006,-30.93747
38007,-30.93747
38010,-30.93747
38013,-30.93747
39004,15.93196
39006,15.93196
39007,15.93196
39011,15.93196
39012,15.93196
39013,15.93196
39018,15.93196
39023,15.93196
40001,-32.19716
40003,-32.19716
40004,-32.19716
40005,-32.19716
40006,-32.19716
40008,-32.19716
40009,-32.19716
40011,-32.19716
42001,15.93196
42007,15.93196
42008,15.93196
42010,15.93196
42011,15.93196
42012,15.93196
42013,15.93196
42018,15.93196
42025,15.93196
44003,-30.93747
44006,-30.93747
44007,-30.93747
44008,-30.93747
44013,-30.93747
44019,-30.93747
44027,-30.93747
44028,-30.93747
45001,-11.29944
45002,-11.29944
45009,-11.29944
45010,-11.29944
45011,-11.29944
45012,-11.29944
45016,-11.29944
45019,-11.29944
51002,-11.29944
51006,-11.29944
51009,-11.29944
51011,-11.29944
51022,-11.29944
51027,-11.29944
51030,-11.29944
57001,43.86677
57003,43.86677
57004,43.86677
57005,43.86677
57006,43.86677
57007,43.86677
57008,43.86677
57009,43.86677
57010,43.86677
66001,15.93196
66002,15.93196
66003,15.93196
66004,15.93196
66006,15.93196
66009,15.93196
66010,15.93196
74003,-11.29944
74007,-11.29944
74008,-11.29944
74013,-11.29944
74015,-11.29944
74016,-11.29944
74019,-11.29944
74026,-11.29944
95002,-11.29944
95003,-11.29944
95008,-11.29944
95020,-11.29944
95025,-11.29944
95028,-11.29944
95030,-11.29944
95032,-11.29944
98006,-11.29944
98008,-11.29944
98009,-11.29944
98010,-11.29944
98011,-11.29944
98017,-11.29944
98018,-11.29944
98026,-11.29944
99002,15.93196
99003,15.93196
99004,15.93196
99007,15.93196
99009,15.93196
99011,15.93196
99012,15.93196
99013,15.93196
100001,-11.29944
100003,-11.29944
100006,-11.29944
100007,-11.29944
100011,-11.29944
100016,-11.29944
100017,-11.29944
102002,-30.93747
102003,-30.93747
102005,-30.93747
102007,-30.93747
102013,-30.93747
102016,-30.93747
102017,-30.93747
102018,-30.93747
103002,-11.29944
103003,-11.29944
103007,-11.29944
103010,-11.29944
103012,-11.29944
103013,-11.29944
103016,-11.29944
103022,-11.29944
109001,-32.19716
109005,-32.19716
109006,-32.19716
109007,-32.19716
109011,-32.19716
109014,-32.19716
109018,-32.19716
109025,-32.19716
111001,15.93196
111002,15.93196
111004,15.93196
111006,15.93196
111009,15.93196
111011,15.93196
111012,15.93196
111016,15.93196
112006,3.494896
112009,3.494896
112012,3.494896
112016,3.494896
112030,3.494896
112031,3.494896
112037,3.494896
112040,3.494896
114002,-32.19716
114003,-32.19716
114006,-32.19716
114007,-32.19716
114010,-32.19716
114012,-32.19716
114015,-32.19716
114016,-32.19716
117003,-11.29944
117009,-11.29944
117012,-11.29944
117015,-11.29944
117020,-11.29944
117026,-11.29944
117028,-11.29944
117029,-11.29944
121004,3.494896
121007,3.494896
121008,3.494896
121009,3.494896
121013,3.494896
121018,3.494896
121021,3.494896
122001,15.93196
122003,15.93196
122009,15.93196
122012,15.93196
122018,15.93196
122021,15.93196
122027,15.93196
122031,15.93196
123001,-32.19716
123005,-32.19716
123006,-32.19716
123008,-32.19716
123015,-32.19716
123025,-32.19716
123026,-32.19716
123028,-32.19716
126001,15.93196
126003,15.93196
126006,15.93196
126008,15.93196
126009,15.93196
126010,15.93196
126011,15.93196
126014,15.93196
127004,-11.29944
127006,-11.29944
127007,-11.29944
127008,-11.29944
127012,-11.29944
127018,-11.29944
127020,-11.29944
128001,-11.29944
128003,-11.29944
128007,-11.29944
128008,-11.29944
128010,-11.29944
128012,-11.29944
128013,-11.29944
128017,-11.29944
132009,15.93196
132014,15.93196
132018,15.93196
132019,15.93196
132025,15.93196
132026,15.93196
132029,15.93196
132030,15.93196
132031,15.93196
134004,-11.29944
134005,-11.29944
134015,-11.29944
134020,-11.29944
134021,-11.29944
134029,-11.29944
134039,-11.29944
134042,-11.29944
137002,-11.29944
137003,-11.29944
137004,-11.29944
137006,-11.29944
137014,-11.29944
137017,-11.29944
137021,-11.29944
137025,-11.29944
148004,-32.19716
148005,-32.19716
148009,-32.19716
148011,-32.19716
148012,-32.19716
148013,-32.19716
148019,-32.19716
148034,-32.19716
160001,-32.19716
160003,-32.19716
160005,-32.19716
160008,-32.19716
160017,-32.19716
160018,-32.19716
160021,-32.19716
160027,-32.19716
161003,-11.29944
161018,-11.29944
161022,-11.29944
161025,-11.29944
161040,-11.29944
161049,-11.29944
161052,-11.29944
161055,-11.29944
165007,-32.19716
165010,-32.19716
165013,-32.19716
165015,-32.19716
165021,-32.19716
165022,-32.19716
165023,-32.19716
165041,-32.19716
167003,-35.65869
167004,-35.65869
167009,-35.65869
167013,-35.65869
167014,-35.65869
167015,-35.65869
167020,-35.65869
167021,-35.65869
172001,15.93196
172008,15.93196
172012,15.93196
172017,15.93196
172018,15.93196
172019,15.93196
172022,15.93196
172031,15.93196
180001,15.93196
180002,15.93196
180003,15.93196
180004,15.93196
180006,15.93196
180007,15.93196
180009,15.93196
180012,15.93196
182001,-11.29944
182005,-11.29944
182006,-11.29944
182008,-11.29944
182025,-11.29944
182028,-11.29944
182030,-11.29944
182047,-11.29944
184003,-11.29944
184019,-11.29944
184021,-11.29944
184024,-11.29944
184025,-11.29944
184035,-11.29944
184040,-11.29944
184049,-11.29944
201001,3.494896
201004,3.494896
201005,3.494896
201006,3.494896
201008,3.494896
201009,3.494896
201011,3.494896
201012,3.494896
215002,-11.29944
215005,-11.29944
215006,-11.29944
215008,-11.29944
215015,-11.29944
215017,-11.29944
215018,-11.29944
215025,-11.29944
217001,15.93196
217003,15.93196
217006,15.93196
217012,15.93196
217015,15.93196
217016,15.93196
217019,15.93196
217023,15.93196
219012,-11.29944
219022,-11.29944
219024,-11.29944
219033,-11.29944
219038,-11.29944
219046,-11.29944
219048,-11.29944
219054,-11.29944
220002,-11.29944
220010,-11.29944
220013,-11.29944
220019,-11.29944
220022,-11.29944
220023,-11.29944
220029,-11.29944
220031,-11.29944
227008,-11.29944
227013,-11.29944
227016,-11.29944
227017,-11.29944
227019,-11.29944
227026,-11.29944
227031,-11.29944
227035,-11.29944
229004,-35.65869
229008,-35.65869
229012,-35.65869
229024,-35.65869
229025,-35.65869
229027,-35.65869
229031,-35.65869
229032,-35.65869
231002,-11.29944
231006,-11.29944
231011,-11.29944
231013,-11.29944
231032,-11.29944
231035,-11.29944
231036,-11.29944
231037,-11.29944
232010,-131.6768
232011,-131.6768
232013,-131.6768
232017,-131.6768
232036,-131.6768
232041,-131.6768
232049,-131.6768
232057,-131.6768
243001,-11.29944
243002,-11.29944
243003,-11.29944
243008,-11.29944
243011,-11.29944
243015,-11.29944
243016,-11.29944
243022,-11.29944
249001,-30.93747
249002,-30.93747
249003,-30.93747
249004,-30.93747
249005,-30.93747
249007,-30.93747
249008,-30.93747
249009,-30.93747
253002,15.93196
253003,15.93196
253004,15.93196
253007,15.93196
253015,15.93196
253017,15.93196
253021,15.93196
253028,15.93196
286005,-11.29944
286007,-11.29944
286015,-11.29944
286026,-11.29944
286028,-11.29944
286029,-11.29944
286034,-11.29944
286041,-11.29944
286044,-11.29944
287001,-11.29944
287005,-11.29944
287006,-11.29944
287013,-11.29944
287014,-11.29944
287017,-11.29944
287023,-11.29944
287026,-11.29944
294005,-35.65869
294011,-35.65869
294013,-35.65869
294018,-35.65869
294019,-35.65869
294022,-35.65869
294048,-35.65869
294051,-35.65869
299014,-35.65869
299016,-35.65869
299017,-35.65869
299033,-35.65869
299045,-35.65869
299047,-35.65869
299048,-35.65869
299058,-35.65869
500011,15.93196
500012,15.93196
500016,15.93196
500018,15.93196
500019,15.93196
500022,15.93196
500023,15.93196
500024,15.93196
502003,-35.65869
502004,-35.65869
502006,-35.65869
502011,-35.65869
502012,-35.65869
502013,-35.65869
502015,-35.65869
502033,-35.65869
508002,-131.6768
508004,-131.6768
508007,-131.6768
508008,-131.6768
508011,-131.6768
508013,-131.6768
508017,-131.6768
508027,-131.6768
510007,-30.93747
510010,-30.93747
510011,-30.93747
510012,-30.93747
510023,-30.93747
510025,-30.93747
510026,-30.93747
510029,-30.93747
513001,15.93196
513003,15.93196
513005,15.93196
513007,15.93196
513014,15.93196
513017,15.93196
513019,15.93196
513021,15.93196
516009,-131.6768
516011,-131.6768
516014,-131.6768
516015,-131.6768
516018,-131.6768
516020,-131.6768
516023,-131.6768
516026,-131.6768
517005,-35.65869
517010,-35.65869
517013,-35.65869
517024,-35.65869
517038,-35.65869
517041,-35.65869
517044,-35.65869
517047,-35.65869
519006,-32.19716
519008,-32.19716
519009,-32.19716
519013,-32.19716
519022,-32.19716
519027,-32.19716
519035,-32.19716
519038,-32.19716
524002,-11.29944
524004,-11.29944
524005,-11.29944
524008,-11.29944
524010,-11.29944
524011,-11.29944
524014,-11.29944
524023,-11.29944
526001,-11.29944
526002,-11.29944
526011,-11.29944
526021,-11.29944
526022,-11.29944
526023,-11.29944
526025,-11.29944
526035,-11.29944
529001,-11.29944
529006,-11.29944
529010,-11.29944
529011,-11.29944
529016,-11.29944
529020,-11.29944
529023,-11.29944
529024,-11.29944
531002,11.31507
531005,11.31507
531013,11.31507
531020,11.31507
531026,11.31507
531029,11.31507
531032,11.31507
532002,-19.08438
532009,-19.08438
532010,-19.08438
532011,-19.08438
532017,-19.08438
532020,-19.08438
532024,-19.08438
537001,15.93196
537005,15.93196
537006,15.93196
537007,15.93196
537009,15.93196
537012,15.93196
537019,15.93196
537026,15.93196
538002,-11.29944
538008,-11.29944
538010,-11.29944
538020,-11.29944
538022,-11.29944
538023,-11.29944
538032,-11.29944
538038,-11.29944
550001,-11.29944
550002,-11.29944
550006,-11.29944
550007,-11.29944
550011,-11.29944
550013,-11.29944
550014,-11.29944
550015,-11.29944
552001,-11.29944
552002,-11.29944
552005,-11.29944
552008,-11.29944
552022,-11.29944
552035,-11.29944
