subject,WTP
3001,-26.419052
3004,88.74855
3008,-47.276012
3009,15.062806
3010,3.0732248
3011,20.036808
3014,124.5551
3015,-43.552128
4003,-28.149221
4006,2.7399874
4010,-28.149221
4011,48.081196
4013,-95.417229
4016,65.840897
4022,26.883629
4024,23.688919
11006,-8.8918695
11008,52.846115
11009,8.0626078
11010,-2.6316192
11012,-29.754192
11016,-46.909161
11022,-12.571007
11032,242.8868
11034,-19.013039
12001,64.411072
12002,87.45813
12014,-8.4348593
12029,81.747223
12036,37.656498
12037,52.232563
12041,37.656498
12054,124.17123
13001,-7.6347642
13003,-12.571007
13004,11.193266
13007,20.554781
13010,242.8868
13012,-62.518852
13013,-241.43217
13019,-.59992778
15005,-75.604813
15012,57.111145
15016,108.12688
15023,90.356995
15024,41.352203
15026,47.96838
15027,3.8796289
15030,34.965092
23003,7.3714004
23007,173.10321
23016,-37.516701
23027,41.007462
23031,77.020905
23035,41.007462
23036,-49.916759
23039,-2.8476279
27001,71.224403
27003,75.986145
27006,-16.562729
27009,26.657835
27011,-18.919168
27029,-16.562729
27030,49.859959
27039,136.85718
31001,-72.676758
31002,8.3136005
31003,-16.562729
31004,71.378342
31005,71.224403
31009,136.85718
31012,136.85718
31014,18.224308
36002,54.770294
36011,-2.8428493
36013,-12.571007
36018,-10.777857
36021,-.59992778
36040,-.59992778
36046,11.193266
36053,-19.013039
38001,3.8796289
38002,54.580612
38003,72.072037
38005,39.140652
38006,39.162399
38007,-153.05748
38010,3.8796289
38013,.058021292
39004,-28.498672
39006,64.411072
39007,153.97789
39011,52.232563
39012,49.689095
39013,-8.680522
39018,5.3785362
39023,22.740728
40001,37.029675
40003,91.34494
40004,1.2404258
40005,32.929024
40006,22.963999
40008,58.712196
40009,49.981339
40011,-47.276012
42001,16.782007
42007,16.782007
42008,70.028847
42010,-11.270926
42011,64.411072
42012,-10.838378
42013,1.4217638
42018,37.656498
42025,64.411072
44003,39.140652
44006,-7.2071981
44007,-5.2798405
44008,57.111145
