subject,WTP
3001,35.576935
3004,-20.25466
3008,35.576935
3009,35.576935
3010,13.550703
3011,82.227837
3014,82.227837
3015,13.550703
4003,82.227837
4006,13.550703
4010,82.227837
4011,-20.25466
4013,-20.25466
4016,13.550703
4022,13.550703
4024,13.550703
11006,35.576935
11008,13.550703
11009,35.576935
11010,13.550703
11012,-20.25466
11016,13.550703
11022,13.550703
11032,13.550703
11034,35.576935
12001,-20.25466
12002,82.227837
12014,-20.25466
12029,35.576935
12036,35.576935
12037,82.227837
12041,35.576935
12054,13.550703
13001,-20.25466
13003,13.550703
13004,13.550703
13007,13.550703
13010,13.550703
13012,82.227837
13013,-20.25466
13019,82.227837
15005,-20.25466
15012,35.576935
15016,-20.25466
15023,13.550703
15024,82.227837
15026,-20.25466
15027,13.550703
15030,35.576935
23003,13.550703
23007,82.227837
23016,82.227837
23027,82.227837
23031,82.227837
23035,82.227837
23036,-20.25466
23039,82.227837
27001,13.550703
27003,13.550703
27006,13.550703
27009,-20.25466
27011,-20.25466
27029,13.550703
27030,-20.25466
27039,82.227837
31001,35.576935
31002,-20.25466
31003,13.550703
31004,82.227837
31005,13.550703
31009,82.227837
31012,82.227837
31014,-20.25466
36002,35.576935
36011,-20.25466
36013,13.550703
36018,35.576935
36021,82.227837
36040,82.227837
36046,13.550703
36053,35.576935
38001,13.550703
38002,13.550703
38003,13.550703
38005,35.576935
38006,-20.25466
38007,13.550703
38010,13.550703
38013,82.227837
39004,-20.25466
39006,-20.25466
39007,35.576935
39011,82.227837
39012,82.227837
39013,-20.25466
39018,82.227837
39023,-20.25466
40001,35.576935
40003,-20.25466
40004,82.227837
40005,82.227837
40006,-20.25466
40008,82.227837
40009,-20.25466
40011,35.576935
42001,35.576935
42007,35.576935
42008,82.227837
42010,82.227837
42011,-20.25466
42012,13.550703
42013,-20.25466
42018,35.576935
42025,-20.25466
44003,35.576935
44006,-20.25466
44007,13.550703
44008,35.576935
44013,13.550703
44019,-20.25466
44027,-20.25466
44028,13.550703
45001,35.576935
45002,13.550703
45009,82.227837
45010,13.550703
45011,82.227837
45012,35.576935
45016,-20.25466
45019,13.550703
51002,82.227837
51006,82.227837
51009,-20.25466
51011,82.227837
51022,35.576935
51027,13.550703
51030,82.227837
57001,-20.25466
57003,82.227837
57004,-20.25466
57005,82.227837
57006,-20.25466
57007,35.576935
57008,82.227837
57009,13.550703
57010,-20.25466
66001,13.550703
66002,35.576935
66003,82.227837
66004,-20.25466
66006,13.550703
66009,13.550703
66010,13.550703
74003,82.227837
74007,35.576935
74008,35.576935
74013,82.227837
74015,13.550703
74016,35.576935
74019,35.576935
74026,35.576935
95002,82.227837
95003,35.576935
95008,35.576935
95020,35.576935
95025,82.227837
95028,35.576935
95030,-20.25466
95032,35.576935
98006,35.576935
98008,35.576935
98009,13.550703
98010,35.576935
98011,35.576935
98017,13.550703
98018,-20.25466
98026,35.576935
99002,-20.25466
99003,-20.25466
99004,-20.25466
99007,-20.25466
99009,35.576935
99011,13.550703
99012,82.227837
99013,-20.25466
100001,82.227837
100003,82.227837
100006,13.550703
100007,82.227837
100011,-20.25466
100016,13.550703
100017,35.576935
102002,35.576935
102003,-20.25466
102005,13.550703
102007,-20.25466
102013,82.227837
102016,35.576935
102017,-20.25466
102018,-20.25466
103002,82.227837
103003,35.576935
103007,35.576935
103010,13.550703
103012,82.227837
103013,-20.25466
103016,13.550703
103022,-20.25466
109001,82.227837
109005,82.227837
109006,82.227837
109007,82.227837
109011,82.227837
109014,82.227837
109018,82.227837
109025,35.576935
111001,-20.25466
111002,35.576935
111004,-20.25466
111006,35.576935
111009,13.550703
111011,-20.25466
111012,-20.25466
111016,-20.25466
112006,-20.25466
112009,35.576935
112012,13.550703
112016,13.550703
112030,35.576935
112031,35.576935
112037,-20.25466
112040,35.576935
114002,13.550703
114003,35.576935
114006,82.227837
114007,35.576935
114010,13.550703
114012,-20.25466
114015,13.550703
114016,13.550703
117003,13.550703
117009,35.576935
117012,35.576935
117015,35.576935
117020,-20.25466
117026,13.550703
117028,82.227837
117029,82.227837
121004,-20.25466
121007,35.576935
121008,-20.25466
121009,-20.25466
121013,-20.25466
121018,-20.25466
121021,35.576935
122001,82.227837
122003,82.227837
122009,-20.25466
122012,-20.25466
122018,-20.25466
122021,-20.25466
122027,-20.25466
122031,-20.25466
123001,82.227837
123005,35.576935
123006,-20.25466
123008,35.576935
123015,82.227837
123025,35.576935
123026,13.550703
123028,82.227837
126001,13.550703
126003,-20.25466
126006,35.576935
126008,35.576935
126009,82.227837
126010,35.576935
126011,-20.25466
126014,35.576935
127004,35.576935
127006,-20.25466
127007,-20.25466
127008,35.576935
127012,82.227837
127018,35.576935
127020,35.576935
128001,13.550703
128003,13.550703
128007,13.550703
128008,-20.25466
128010,35.576935
128012,82.227837
128013,13.550703
128017,13.550703
132009,13.550703
132014,13.550703
132018,35.576935
132019,-20.25466
132025,82.227837
132026,-20.25466
132029,-20.25466
132030,-20.25466
132031,-20.25466
134004,13.550703
134005,35.576935
134015,35.576935
134020,13.550703
134021,13.550703
134029,-20.25466
134039,35.576935
134042,13.550703
137002,82.227837
137003,13.550703
137004,35.576935
137006,35.576935
137014,-20.25466
137017,35.576935
137021,35.576935
137025,35.576935
148004,-20.25466
148005,82.227837
148009,82.227837
148011,13.550703
148012,82.227837
148013,35.576935
148019,82.227837
148034,35.576935
160001,-20.25466
160003,35.576935
160005,35.576935
160008,13.550703
160017,-20.25466
160018,82.227837
160021,35.576935
160027,13.550703
161003,35.576935
161018,-52.538979
161022,82.227837
161025,35.576935
161040,82.227837
161049,-20.25466
161052,-20.25466
161055,35.576935
165007,82.227837
165010,82.227837
165013,35.576935
165015,35.576935
165021,-20.25466
165022,13.550703
165023,35.576935
165041,-20.25466
167003,13.550703
167004,82.227837
167009,-20.25466
167013,82.227837
167014,-20.25466
167015,-20.25466
167020,-20.25466
167021,-20.25466
172001,35.576935
172008,-20.25466
172012,13.550703
172017,82.227837
172018,82.227837
172019,35.576935
172022,-20.25466
172031,-20.25466
180001,-20.25466
180002,-20.25466
180003,-20.25466
180004,13.550703
180006,-20.25466
180007,82.227837
180009,13.550703
