subject,WTP
3001,15.166054
3004,-39.471004
3008,-1.4574986
3009,-11.13936
3010,39.83688
3011,128.23041
3014,-38.916344
3015,69.345383
4003,1.7072247
4006,-55.179916
4010,1.7072247
4011,-20.816793
4013,-26.523878
4016,92.020172
4022,-26.483372
4024,7.4770398
11006,17.638069
11008,-7.4241619
11009,39.908291
11010,61.86174
11012,-6.0405397
11016,27.795593
11022,43.537891
11032,98.630867
11034,-32.200199
12001,66.468262
12002,79.316818
12014,-44.233955
12029,-17.906181
12036,8.9991646
12037,41.195518
12041,8.9991646
12054,-6.0880156
13001,42.739624
13003,43.537891
13004,31.258528
13007,94.608414
13010,98.630867
13012,-13.264844
13013,-105.79134
13019,-31.279865
15005,4.1688719
15012,41.151802
15016,164.42775
15023,40.370853
15024,4.9356546
15026,17.923429
15027,-22.805792
15030,33.766731
23003,-50.081409
23007,43.741913
23016,.57919163
23027,163.67538
23031,13.347876
23035,163.67538
23036,6.5081158
23039,150.91743
27001,-12.263559
27003,233.2429
27006,-11.659186
27009,12.337423
27011,75.897614
27029,-11.659186
27030,81.563095
27039,124.85476
31001,41.260841
31002,61.398804
31003,-11.659186
31004,100.3409
31005,-12.263559
31009,124.85476
31012,124.85476
31014,12.578411
36002,12.816851
36011,-7.1261201
36013,43.537891
36018,46.004383
36021,-31.279865
36040,-31.279865
36046,31.258528
36053,-32.200199
38001,-22.805792
38002,75.891159
38003,53.97979
38005,1.9651073
38006,-17.034824
38007,50.048958
38010,-22.805792
38013,8.9366522
39004,-21.299412
39006,66.468262
39007,-1.8872072
39011,41.195518
39012,20.100576
39013,18.435837
39018,60.667465
39023,55.475777
40001,565.07373
40003,61.248993
40004,32.229729
40005,44.345501
40006,-186.51007
40008,73.326065
40009,11.703669
40011,-1.4574986
42001,19.630165
42007,19.630165
42008,46.904015
42010,4.5295963
42011,66.468262
42012,4.840239
42013,-9.301178
42018,8.9991646
42025,66.468262
44003,1.9651073
44006,-60.892986
44007,-89.730461
44008,41.151802
44013,8.3333044
44019,-17.034824
44027,-28.017107
44028,8.3333044
45001,89.533058
45002,25.852402
45009,348.79504
45010,-159.8521
