subject,WTP
3001,42.466732
3004,52.781933
3008,-63.448601
3009,80.144547
3010,2.5142813
3011,19.268013
3014,6.4965062
3015,18.287863
4003,4.1391649
4006,-37.970142
4010,4.1391649
4011,-15.752408
4013,-40.077873
4016,-18.103001
4022,-55.696671
4024,2.6217113
11006,41.948818
11008,-31.602577
11009,42.832977
11010,92.45755
11012,62.968506
11016,-39.198959
11022,-7.8288255
11032,3.3659377
11034,29.969133
12001,151.17094
12002,15.79307
12014,-28.143888
12029,12.87523
12036,21.745129
12037,55.302349
12041,21.745129
12054,6.8850093
13001,17.394461
13003,-7.8288255
13004,38.799141
13007,3.1540003
13010,3.3659377
13012,-79.759697
13013,85.4188
13019,56.699757
15005,-33.35355
15012,40.27861
15016,-3.8212001
15023,95.131645
15024,-6.5070777
15026,38.636192
15027,-26.201437
15030,46.0471
23003,37.449471
23007,51.285213
23016,11.560443
23027,.69483739
23031,44.972458
23035,.69483739
23036,16.905167
23039,19.759127
27001,45.47179
27003,36.343468
27006,-47.076519
27009,20.80497
27011,-3.6685808
27029,-47.076519
27030,73.95919
27039,91.087105
31001,-21.895319
31002,52.584694
31003,-47.076519
31004,-.58892977
31005,45.47179
31009,91.087105
31012,91.087105
31014,-5.193511
36002,16.652113
36011,-13.018321
36013,-7.8288255
36018,109.59789
36021,56.699757
36040,56.699757
36046,38.799141
36053,29.969133
38001,-26.201437
38002,-2.3614714
38003,59.905499
38005,54.923237
38006,-28.050432
38007,69.464836
38010,-26.201437
38013,20.510269
39004,24.265774
39006,151.17094
39007,64.089821
39011,55.302349
39012,-17.108986
39013,18.654879
39018,83.930618
39023,42.560921
40001,43.139206
40003,8.5422945
40004,171.56975
40005,7.0112987
40006,29.930086
40008,45.979778
40009,33.83062
40011,-63.448601
42001,83.168915
42007,83.168915
42008,-7.0332265
42010,6.2020011
42011,151.17094
42012,-74.610573
42013,23.18438
42018,21.745129
42025,151.17094
44003,54.923237
44006,-30.604923
44007,-25.662014
44008,40.27861
44013,41.67131
44019,-28.050432
44027,-22.269156
44028,41.67131
45001,44.917461
45002,23.730957
45009,26.226301
45010,57.141243
45011,-70.495193
45012,-6.9820609
45016,-15.240384
45019,4.8764758
51002,75.91465
51006,49.414444
51009,-9.7107325
51011,53.170452
51022,13.021515
51027,21.533438
51030,-70.495193
57001,29.668512
57003,40.635036
57004,-79.431808
57005,30.625107
57006,-36.504929
57007,26.989229
57008,30.625107
57009,28.730913
57010,-14.296252
66001,111.13343
66002,21.745129
66003,-17.108986
66004,31.031731
66006,14.423449
66009,-74.610573
